,A,B,C,D
v752,0.4,0.6,0.7,0.3
v753,0.8,0.0,0.1,0.1
v754,0.4,0.7,0.5,0.3
v755,0.5,0.5,0.6,
v756,0.8,0.5,0.5,0.7
v757,0.0,1.0,0.7,
v758,0.3,0.4,0.6,0.8
v759,0.7,0.1,0.4,0.3
v760,0.0,0.5,0.2,0.0
v761,0.5,0.5,0.5,0.5
v762,0.0,0.3,0.9,0.0
v763,0.0,0.0,1.0,0.0
v764,0.6,0.5,0.6,0.5
v765,0.2,0.3,0.3,0.3
v766,1.0,0.0,0.0,0.3
v767,0.5,0.5,0.5,0.5
v768,0.7,0.6,0.6,0.5
v769,0.5,0.8,0.5,0.3
v770,0.6,0.5,0.3,0.1
v771,0.5,0.2,0.7,0.2
v772,1.0,0.0,0.0,0.1
v773,1.0,0.0,0.5,0.5
v774,0.7,0.0,0.0,0.5
v775,0.5,0.5,0.4,0.3
v776,0.0,0.5,0.5,0.2
v777,0.5,0.5,0.5,0.5
v778,0.4,0.5,0.6,0.3
v779,0.5,0.7,0.5,
v780,0.0,0.5,0.8,0.7
v781,0.6,,,
v782,0.5,0.8,0.6,0.3
v783,0.1,0.5,0.0,0.0
v784,0.5,0.5,0.0,
v785,0.0,0.6,0.5,0.2
v786,0.6,0.5,0.5,0.4
v787,0.6,0.3,0.2,0.5
v788,0.1,0.0,0.7,0.7
v789,0.6,0.5,0.6,0.7
v790,0.1,0.8,0.3,0.2
v791,0.8,0.1,0.7,0.4
v792,0.6,0.3,0.5,0.3
v793,0.0,1.0,0.2,0.2
v794,0.0,1.0,0.0,0.0
v795,0.6,0.5,0.7,0.6
v796,0.6,0.6,0.7,0.5
v797,0.8,0.0,1.0,0.8
v798,0.7,0.8,0.7,0.7
v799,0.5,0.3,0.4,0.6
v800,0.7,0.5,0.4,0.3
v801,0.8,0.5,0.3,0.3
v802,0.5,0.5,0.5,0.4
v803,0.3,0.6,0.7,0.5
v804,0.5,0.5,0.5,0.5
v805,0.4,0.8,0.5,0.3
v806,0.5,0.5,0.5,0.5
v807,1.0,1.0,1.0,1.0
v808,0.8,0.7,0.4,0.3
v809,0.3,0.4,0.1,0.1
v810,0.3,0.5,0.6,0.7
v811,0.8,0.5,0.2,0.4
v812,0.8,0.5,0.7,0.5
v813,0.4,0.4,0.4,0.2
v814,0.2,0.6,0.2,0.2
v815,1.0,0.0,0.0,0.0
v816,0.5,0.7,,
v817,0.5,0.7,0.6,0.4
v818,0.0,0.7,0.5,0.0
v819,0.7,0.4,0.3,0.5
v820,0.2,0.5,0.6,0.5
v821,0.8,,,
v822,0.0,0.0,0.0,0.0
v823,0.6,0.5,0.7,0.4
v824,0.8,0.5,0.3,0.2
v825,0.7,0.5,0.6,0.3
v826,0.8,0.3,0.1,0.5
v827,0.3,0.6,0.8,0.5
v828,0.5,0.0,0.0,0.0
v829,0.5,0.5,0.4,0.3
v830,0.1,0.1,0.5,0.0
v831,0.8,,0.2,
v832,0.0,0.6,0.7,0.0
v833,0.6,0.5,0.4,0.4
v834,0.5,0.5,0.6,0.0
v835,0.2,0.3,0.8,0.6
v836,0.5,0.5,0.5,0.5
v837,0.8,0.3,0.5,0.5
v838,0.8,0.4,0.2,0.2
v839,0.6,0.5,0.2,0.1
v840,0.0,0.1,0.2,0.3
v841,0.6,0.3,0.5,0.1
v842,1.0,0.0,0.0,0.5
v843,0.4,0.5,0.7,0.4
v844,0.0,1.0,0.3,
v845,0.8,0.6,0.2,0.5
v846,0.9,0.4,0.0,0.5
v847,0.8,0.1,0.3,0.7
v848,0.2,0.8,0.6,0.1
v849,0.1,0.5,0.5,0.5
v850,0.2,0.8,0.5,0.1
v851,0.5,0.6,0.4,0.3
v852,0.5,0.5,0.5,0.5
v853,0.3,0.6,0.5,0.2
v854,0.0,1.0,0.5,0.4
v855,1.0,0.0,0.0,0.0
v856,0.2,0.4,0.7,
v857,0.8,0.2,0.1,0.1
v858,0.0,0.3,1.0,0.6
v859,0.5,0.3,0.6,0.2
v860,0.2,0.7,0.2,0.2
v861,0.2,0.2,0.0,0.0
v862,0.7,0.0,0.8,0.5
v863,0.5,0.8,0.4,0.3
v864,0.5,0.5,0.5,0.5
v865,0.5,0.5,0.5,0.5
v866,0.7,0.5,0.7,0.5
v867,0.7,0.7,0.5,
v868,0.6,0.4,0.1,0.3
v869,0.5,0.7,0.5,0.5
v870,0.2,0.5,0.0,0.0
v871,0.4,0.5,0.2,
v872,0.6,0.4,0.5,0.3
v873,0.8,0.3,0.3,0.5
v874,0.0,1.0,,0.0
v875,0.8,0.3,0.2,0.3
v876,0.9,0.4,0.2,0.6
v877,0.3,0.3,0.5,0.5
v878,0.3,0.7,0.7,0.6
v879,0.8,0.3,0.2,0.6
v880,0.2,0.5,1.0,0.6
v881,0.5,0.6,0.3,0.3
v882,0.5,0.6,0.4,0.4
v883,0.8,0.5,0.5,0.7
v884,0.3,0.6,0.5,0.4
v885,0.0,0.3,0.4,0.0
v886,0.0,0.5,0.8,0.4
v887,0.5,0.3,0.0,0.3
v888,0.5,0.5,0.5,0.5
v889,0.5,0.7,0.2,0.0
v890,0.5,0.6,0.3,0.2
v891,0.5,0.7,0.5,0.3
v892,0.2,0.8,0.6,0.6
v893,0.8,0.4,0.8,0.8
v894,0.5,0.8,0.3,0.3
v895,0.5,0.5,0.7,0.3
v896,0.7,0.3,0.0,0.2
v897,0.8,0.5,0.5,0.5
v898,0.5,0.5,0.5,0.5
v899,0.8,0.3,0.5,0.6
v900,0.6,0.5,0.4,0.4
v901,0.8,0.4,0.7,0.7
v902,0.5,0.4,0.6,0.5
v903,0.8,0.2,0.5,0.5
v904,0.7,0.5,0.6,0.5
v905,0.1,0.5,0.2,0.1
v906,1.0,0.5,0.2,0.2
v907,0.3,0.8,0.4,0.1
v908,0.6,0.7,0.5,0.4
v909,0.4,0.5,0.8,0.5
v910,0.5,0.6,0.7,0.5
v911,0.0,0.3,0.5,0.4
v912,0.5,0.5,0.5,0.3
v913,0.4,0.7,0.7,0.5
v914,0.5,0.5,0.3,0.7
v915,0.6,0.4,0.6,0.4
v916,0.0,0.3,0.4,0.0
v917,0.4,0.5,0.5,0.5
v918,0.9,0.3,0.0,0.0
v919,0.4,0.3,0.5,0.6
v920,0.0,0.7,0.0,0.0
v921,0.4,0.6,0.4,
v922,0.2,0.2,0.2,0.1
v923,1.0,0.5,0.0,0.0
v924,0.4,0.0,0.5,0.3
v925,0.8,0.3,0.1,0.5
v926,0.8,0.8,0.3,0.3
v927,0.0,0.8,0.1,0.0
v928,0.6,0.6,0.5,0.6
v929,0.5,0.8,0.4,0.3
v930,0.5,0.5,0.5,0.5
v931,0.5,0.5,0.5,0.5
v932,0.1,1.0,0.5,
v933,0.6,0.3,0.3,0.1
v934,0.8,0.8,,
v935,0.3,0.5,0.8,0.8
v936,0.0,0.0,0.0,0.0
v937,0.0,1.0,0.4,0.2
v938,0.4,0.6,0.5,
v939,0.2,0.8,0.4,0.1
v940,0.2,0.3,0.8,0.0
v941,0.0,1.0,0.5,0.0
v942,0.6,0.8,0.6,
v943,0.5,0.5,0.5,0.5
v944,0.6,0.5,0.7,0.4
v945,0.6,0.5,0.6,0.4
v946,0.5,0.7,0.7,0.4
v947,0.6,0.7,0.6,0.7
v948,0.5,0.6,0.8,0.7
v949,0.8,0.1,0.0,0.2
v950,0.4,0.5,0.7,0.7
v951,0.2,0.8,0.1,0.0
v952,0.5,0.7,0.6,0.6
v953,0.4,0.4,0.5,0.5
v954,1.0,0.0,0.0,0.0
v955,0.5,0.4,0.8,0.6
v956,1.0,0.0,0.0,0.5
v957,0.5,0.5,0.5,0.5
v958,0.3,0.8,0.3,0.3
v959,0.8,0.3,0.7,1.0
v960,0.5,0.5,0.5,
v961,0.1,0.1,0.5,0.3
v962,0.5,0.6,0.5,0.4
v963,0.7,0.3,0.7,0.7
v964,0.9,0.1,0.0,0.5
v965,0.8,0.5,0.7,0.7
v966,0.6,0.4,0.3,
v967,0.2,0.2,0.5,0.0
v968,0.9,0.3,0.0,0.0
v969,0.4,0.5,0.5,0.4
v970,0.8,0.7,0.6,0.2
v971,0.3,0.9,0.0,0.1
v972,0.5,0.5,0.7,0.8
v973,0.5,0.5,0.5,0.4
v974,0.8,0.4,0.5,0.5
v975,0.5,0.6,0.5,0.3
v976,0.0,0.3,0.0,0.0
v977,0.0,0.5,0.5,0.5
v978,0.5,0.6,0.6,0.6
v979,0.2,0.7,0.3,0.3
v980,0.7,0.5,0.4,0.3
v981,0.4,0.7,0.5,0.4
v982,0.7,0.0,0.1,0.3
v983,0.7,0.0,0.1,0.1
v984,0.2,0.8,0.3,0.1
v985,0.5,0.7,0.4,
v986,0.4,0.6,0.5,0.3
v987,0.5,0.5,0.5,0.5
v988,0.5,0.5,0.5,0.5
v989,0.4,0.5,0.5,0.4
v990,0.6,0.5,0.5,0.4
v991,0.3,0.6,0.5,0.3
v992,0.3,0.5,0.6,0.1
v993,0.6,0.2,0.4,0.3
v994,0.8,0.8,0.7,0.6
v995,0.5,0.2,0.5,0.5
v996,0.0,0.2,0.8,0.0
v997,0.5,0.6,0.1,0.1
v998,0.8,0.2,0.2,0.2
v999,0.0,1.0,0.7,0.0
v1000,1.0,0.0,0.0,0.5
v1001,0.6,0.5,0.4,0.4
v1002,0.1,0.3,0.5,0.0
v1003,0.8,0.5,0.2,0.2
v1004,1.0,0.0,0.0,0.0
v1005,0.0,0.6,1.0,0.5
v1006,1.0,0.0,0.0,0.0
v1007,0.5,0.5,0.5,0.5
v1008,0.2,0.7,0.5,0.3
v1009,0.5,0.2,0.9,
v1010,0.5,0.8,0.5,0.3
v1011,0.9,0.0,0.0,0.0
v1012,0.5,0.5,0.4,0.4
v1013,0.5,0.4,0.4,
v1014,0.8,0.4,0.1,0.5
v1015,0.3,0.6,0.3,0.0
v1016,0.0,0.6,0.2,0.0
v1017,0.8,0.4,0.3,0.1
v1018,0.3,0.7,0.4,0.2
v1019,0.0,0.0,0.0,0.0
v1020,1.0,0.5,0.0,0.5
v1021,0.2,1.0,0.1,0.0
v1022,0.6,0.2,0.4,0.5
v1023,0.5,0.3,0.7,0.7
v1024,0.3,0.3,0.6,0.6
v1025,0.3,0.8,0.5,0.0
v1026,0.5,0.5,0.5,0.2
v1027,1.0,0.0,0.0,0.0
v1028,0.4,0.4,0.4,0.4
v1029,0.5,0.5,0.5,0.4
v1030,0.4,0.6,0.4,0.3
v1031,0.4,0.3,0.3,0.3
v1032,0.7,0.4,0.1,0.1
v1033,0.8,0.5,0.7,0.3
v1034,0.5,0.4,0.4,0.3
v1035,0.8,0.4,0.5,0.3
v1036,0.5,0.5,0.5,0.5
v1037,0.4,0.4,0.5,0.4
v1038,0.8,0.3,0.8,0.7
v1039,0.2,0.4,0.6,0.2
v1040,0.7,0.5,0.5,0.5
v1041,0.5,0.5,1.0,0.0
v1042,0.5,0.5,0.5,0.5
v1043,0.6,0.3,0.6,0.5
v1044,0.0,1.0,0.1,0.1
v1045,0.0,0.6,0.6,0.5
v1046,0.8,0.3,0.0,0.9
v1047,0.8,0.4,0.0,0.0
v1048,0.6,0.3,0.7,0.6
v1049,0.4,0.4,0.6,0.0
v1050,0.8,0.9,0.6,0.4
v1051,0.1,1.0,0.1,
v1052,0.5,0.5,0.5,0.5
v1053,0.4,0.5,0.5,0.5
v1054,0.3,0.5,0.5,0.3
v1055,0.2,0.3,0.8,0.5
v1056,0.1,0.5,0.5,0.2
v1057,0.0,0.7,0.5,0.4
v1058,0.5,0.5,0.5,
v1059,0.0,0.5,0.7,0.5
v1060,0.5,0.5,0.5,0.5
v1061,0.5,0.5,0.5,0.5
v1062,0.7,0.2,0.7,0.5
v1063,0.6,0.3,0.8,0.8
v1064,0.5,0.5,0.6,0.5
v1065,0.2,0.6,0.5,0.5
v1066,0.7,0.8,0.8,0.5
v1067,0.2,0.9,0.4,0.0
v1068,0.3,0.6,0.6,0.2
v1069,0.7,0.3,,
v1070,0.3,0.5,0.5,0.3
v1071,0.5,0.5,0.5,0.4
v1072,0.5,0.7,0.1,0.0
v1073,0.5,0.5,0.5,0.5
v1074,0.4,0.6,0.6,0.6
v1075,0.3,0.5,0.5,0.5
v1076,0.3,0.3,0.5,0.4
v1077,0.5,0.0,1.0,0.0
v1078,0.0,0.7,0.0,0.2
v1079,0.7,0.2,0.2,0.5
v1080,0.8,0.4,0.0,0.3
v1081,0.0,0.5,0.0,0.1
v1082,0.5,0.5,0.5,0.5
v1083,0.7,0.6,0.5,0.5
v1084,0.6,0.0,0.0,0.7
v1085,0.5,0.5,0.5,0.5
v1086,0.7,0.0,0.6,0.7
v1087,0.5,0.5,0.5,0.5
v1088,0.6,0.3,0.4,0.4
v1089,0.3,0.7,0.7,0.7
v1090,0.5,0.0,0.5,0.5
v1091,0.0,0.8,0.5,0.0
v1092,0.5,0.3,0.8,0.6
v1093,0.6,0.5,0.5,0.5
v1094,0.7,0.0,0.5,0.4
v1095,0.2,0.8,1.0,0.0
v1096,1.0,0.0,0.0,1.0
v1097,0.6,0.4,0.3,0.2
v1098,0.7,0.3,0.2,0.3
v1099,0.9,0.5,0.0,0.4
v1100,0.0,1.0,0.5,
v1101,0.6,0.7,0.5,0.5
v1102,0.5,0.5,0.5,0.5
v1103,0.3,0.7,0.4,0.2
v1104,0.7,0.0,0.7,0.7
v1105,0.8,0.4,0.3,0.1
v1106,0.6,0.2,0.6,0.7
v1107,0.5,0.7,0.4,0.3
v1108,0.2,0.1,0.5,0.2
v1109,0.3,0.2,0.7,0.4
v1110,0.7,0.2,0.6,0.9
v1111,0.5,0.5,0.6,
v1112,0.6,0.6,0.6,0.5
v1113,0.8,0.3,0.1,
v1114,0.8,0.0,0.0,0.2
v1115,0.8,0.5,0.3,0.6
v1116,0.5,0.0,0.0,0.0
v1117,0.0,0.5,0.4,0.3
v1118,0.7,0.4,0.0,0.4
v1119,0.2,0.1,0.2,0.3
v1120,1.0,0.0,0.0,
v1121,0.5,0.2,0.5,0.4
v1122,1.0,0.1,0.0,0.9
v1123,0.3,0.7,0.3,0.3
v1124,0.6,0.3,0.5,0.5
v1125,0.8,0.3,0.1,0.2
v1126,0.0,1.0,0.1,0.1
v1127,1.0,0.0,0.0,0.4
v1128,0.7,0.7,0.8,0.6
v1129,0.5,0.5,0.5,0.2
v1130,0.0,0.7,,
v1131,0.7,0.6,0.3,
v1132,0.2,0.8,0.5,0.2
v1133,0.5,0.5,0.3,0.3
v1134,0.3,0.6,0.3,0.4
v1135,0.5,0.5,0.6,0.6
v1136,0.5,0.6,0.5,0.5
v1137,0.1,0.8,0.5,0.2
v1138,0.2,0.5,0.5,0.5
v1139,0.9,0.7,0.5,0.6
v1140,0.2,1.0,1.0,0.8
v1141,0.8,0.3,0.5,0.2
v1142,0.6,0.6,0.5,0.4
v1143,0.5,0.7,0.3,0.1
v1144,0.5,0.8,0.6,0.4
v1145,0.7,0.4,0.3,0.2
v1146,0.3,0.2,0.1,0.7
v1147,1.0,0.0,,
v1148,0.5,0.4,0.5,0.4
v1149,0.9,0.5,0.3,
v1150,0.9,0.2,0.1,0.4
v1151,0.9,0.2,0.3,0.3
v1152,0.5,0.8,0.3,
v1153,0.9,0.5,0.3,0.2
v1154,0.0,0.3,0.7,
v1155,0.0,0.3,0.4,0.0
v1156,1.0,0.1,0.0,0.1
