,A,B,C,D,E,F,G,H
v412,0.2,0.4,0.5,0.7,0.3,0.2,0.2,0.3
v413,1.0,0.0,0.6,0.4,0.3,0.4,0.3,0.1
v414,0.1,0.5,0.2,0.7,0.4,0.2,0.1,0.7
v415,1.0,0.0,0.1,0.2,0.1,0.1,0.8,0.1
v416,0.9,0.2,0.2,0.2,0.5,0.3,0.5,0.2
v417,0.5,0.5,0.4,0.6,0.8,0.4,0.6,0.6
v418,0.8,0.1,0.1,0.2,0.4,0.5,0.6,0.2
v419,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.2
v420,0.0,1.0,0.8,0.6,0.6,0.0,0.1,0.6
v421,0.8,0.1,0.3,0.1,0.7,0.2,0.7,0.1
v422,0.0,0.5,0.6,0.9,0.6,0.2,0.2,0.8
v423,0.9,0.1,0.4,0.2,0.3,0.4,0.5,0.1
v424,1.0,0.0,0.0,0.0,0.3,0.4,0.7,0.0
v425,0.4,,,,,,,0.5
v426,0.2,0.4,0.9,0.8,0.6,0.2,0.5,0.7
v427,0.0,0.8,0.7,0.7,0.5,0.0,0.0,0.6
v428,1.0,0.0,0.0,0.2,0.0,0.1,0.1,0.0
v429,0.9,0.0,0.1,0.5,0.3,0.6,0.2,0.1
v430,0.1,0.3,0.2,0.1,0.4,1.0,0.3,0.1
v431,0.5,0.4,0.1,0.7,0.7,0.4,1.0,0.1
v432,0.3,1.0,0.8,0.5,0.6,0.1,0.1,0.5
v433,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
v434,0.1,0.8,0.6,0.4,0.4,0.0,0.1,0.6
v435,0.0,0.6,0.7,0.5,0.5,0.1,0.0,0.5
v436,0.0,1.0,0.3,0.6,0.6,0.0,0.0,0.5
v437,1.0,0.0,0.3,0.1,0.3,0.9,1.0,0.1
v438,0.0,0.7,0.5,0.4,0.2,0.0,0.3,0.5
v439,0.1,0.5,0.9,0.5,0.7,0.2,,0.8
v440,0.0,0.9,0.8,1.0,,0.0,,1.0
v441,0.1,1.0,0.6,0.5,0.4,0.4,0.6,0.5
v442,0.0,0.7,0.8,0.5,0.4,0.0,0.2,0.1
v443,1.0,0.2,0.0,0.0,0.3,0.6,0.2,0.3
v444,0.0,0.8,0.9,0.5,0.5,0.3,,0.2
v445,0.0,0.9,0.6,0.5,0.2,0.3,0.1,0.5
v446,0.8,0.5,,,,,,
v447,0.0,0.9,0.8,1.0,0.6,0.2,0.0,1.0
v448,0.4,0.3,0.4,0.0,0.3,0.3,,0.1
v449,0.0,0.7,1.0,0.3,0.3,0.4,0.2,0.2
v450,0.1,1.0,0.6,0.6,0.6,0.1,0.1,0.8
v451,0.6,0.0,0.4,0.2,0.1,0.9,0.5,0.1
v452,0.2,0.7,1.0,,0.5,0.6,,0.5
v453,0.8,0.2,0.4,0.6,0.3,0.6,0.6,0.4
v454,1.0,0.1,0.1,0.0,0.3,0.0,0.7,0.2
v455,0.0,1.0,0.7,0.7,0.4,0.0,0.1,0.5
v456,1.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0
v457,0.5,0.2,0.0,0.0,0.0,1.0,0.2,0.1
v458,1.0,0.0,0.4,0.1,0.3,0.2,0.9,0.0
v459,0.0,0.0,0.6,0.0,0.0,0.8,0.0,0.0
v460,1.0,0.1,0.4,0.4,0.5,0.2,0.9,0.1
v461,0.0,0.8,0.7,1.0,0.5,0.2,0.1,0.9
v462,0.0,0.5,0.7,0.0,0.5,0.0,0.0,0.5
v463,0.1,0.6,0.7,0.9,0.3,0.2,0.1,0.8
v464,0.9,0.0,0.0,,,0.3,,0.1
v465,0.1,0.5,0.3,0.5,0.2,1.0,0.2,0.4
v466,0.7,0.1,0.7,0.3,0.6,0.1,0.4,0.2
v467,0.1,1.0,0.8,0.9,0.8,0.1,0.1,0.9
v468,0.0,0.6,1.0,0.3,0.3,0.4,0.3,0.2
v469,0.1,1.0,0.4,0.7,0.5,0.1,0.5,0.2
v470,1.0,0.1,0.2,0.2,0.2,0.3,0.7,0.1
v471,0.0,0.9,0.8,1.0,0.5,0.0,0.5,1.0
v472,0.0,1.0,0.9,0.8,0.9,0.2,0.0,0.9
v473,0.0,0.8,0.7,0.8,0.6,0.0,0.0,0.7
v474,0.8,0.8,0.7,0.5,0.8,0.3,0.4,0.4
v475,0.0,0.0,0.0,0.1,0.0,1.0,0.2,0.1
v476,0.0,0.2,0.4,0.6,0.0,0.0,0.3,0.3
v477,0.1,0.7,0.6,0.6,0.6,0.1,0.1,0.8
v478,1.0,0.0,0.5,0.2,0.4,0.6,0.8,0.1
v479,0.4,0.2,0.7,0.5,0.5,0.6,0.5,0.5
v480,0.0,0.8,0.6,0.4,0.7,0.0,0.0,0.6
v481,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.2
v482,0.6,0.5,0.9,0.5,0.4,0.5,0.5,0.5
v483,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v484,1.0,0.0,0.0,0.0,0.5,0.3,0.6,0.0
v485,0.0,1.0,1.0,0.3,0.3,0.3,0.0,0.2
v486,0.1,0.2,1.0,0.4,0.2,0.0,0.1,0.3
v487,1.0,0.1,0.1,0.2,0.0,0.1,0.1,0.1
v488,0.0,0.8,0.0,0.5,0.5,1.0,0.0,0.3
v489,1.0,0.1,0.1,0.1,0.1,0.5,0.9,0.1
v490,0.9,0.4,0.7,0.3,0.5,0.3,0.5,0.3
v491,0.0,0.2,0.6,0.3,0.0,0.0,0.0,0.3
v492,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1
v493,0.7,0.3,0.1,0.2,0.5,0.7,0.6,0.3
v494,0.5,0.1,0.1,0.1,0.1,1.0,0.2,0.1
v495,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v496,0.0,0.8,0.3,0.2,0.2,0.3,0.2,0.2
v497,0.0,1.0,0.9,0.5,0.3,0.4,0.8,0.5
v498,0.1,0.8,0.7,0.7,0.7,0.2,0.2,0.7
v499,0.0,0.2,0.1,0.2,0.2,0.1,0.0,0.0
v500,0.0,1.0,0.8,0.8,0.9,0.0,0.0,0.7
v501,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.6
v502,0.0,0.2,0.6,0.3,0.5,0.0,0.0,0.3
v503,0.5,0.5,,,0.5,0.5,,
v504,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
v505,1.0,0.0,0.0,0.0,0.1,0.0,0.6,0.0
v506,0.0,0.5,0.5,0.4,0.6,0.0,,0.4
v507,1.0,0.8,1.0,0.8,1.0,0.9,0.7,0.9
v508,0.9,0.1,0.2,0.1,0.5,0.1,0.2,0.1
v509,0.2,0.4,0.7,0.5,0.7,0.4,0.3,0.4
v510,0.0,0.6,1.0,,1.0,,,
v511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v512,0.0,0.6,0.5,0.3,0.1,0.4,0.3,0.2
v513,0.9,0.4,0.4,0.4,0.4,0.4,0.4,0.4
v514,0.3,0.6,0.5,0.5,0.6,0.4,0.6,0.5
v515,1.0,0.2,,,0.5,,0.8,
v516,0.0,1.0,0.5,0.4,0.4,0.0,0.3,0.3
v517,0.0,1.0,0.5,0.8,0.5,0.0,0.0,0.8
v518,0.1,0.8,1.0,0.4,0.4,0.2,0.4,0.6
v519,0.5,0.3,0.5,,0.4,0.2,,
v520,0.1,0.8,0.5,0.3,0.4,0.6,0.3,0.3
v521,0.3,0.3,0.4,0.4,0.5,0.3,0.4,0.4
v522,0.0,0.8,0.8,0.5,0.5,0.1,,0.7
v523,0.9,0.0,0.1,0.0,0.7,0.4,0.2,0.5
v524,0.9,0.1,0.3,0.0,0.4,0.5,0.7,0.0
v525,0.0,1.0,0.5,0.2,0.6,0.0,,0.4
v526,1.0,0.0,0.4,0.0,0.6,0.4,0.8,0.0
v527,0.3,0.8,1.0,0.5,0.9,0.6,0.4,0.4
v528,0.0,0.7,0.3,0.3,0.3,1.0,0.3,0.3
v529,1.0,0.2,0.3,0.2,0.5,0.5,0.2,0.2
v530,0.3,0.4,0.2,0.9,0.2,0.2,,0.7
v531,0.0,0.6,0.4,0.5,0.1,0.2,0.2,0.3
v532,0.0,0.8,0.7,0.6,0.2,0.8,0.1,0.2
v533,0.4,0.8,0.6,0.7,0.8,0.7,0.4,0.7
v534,1.0,0.0,0.3,0.1,0.4,0.2,0.0,0.3
v535,0.0,0.8,0.7,0.4,0.6,0.4,0.2,0.5
v536,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.5
v537,0.1,0.7,0.8,0.5,0.7,0.2,0.5,0.5
v538,0.3,0.6,0.9,0.6,0.6,0.0,0.0,0.7
v539,0.2,0.6,0.9,0.9,0.9,0.0,0.0,0.7
v540,1.0,0.0,0.3,0.0,0.2,0.4,0.1,0.2
v541,0.1,0.5,0.5,1.0,0.6,0.2,,1.0
v542,0.9,0.1,0.1,0.2,0.4,0.5,0.7,0.1
v543,0.1,0.8,0.5,0.5,0.2,0.1,0.3,0.5
v544,0.2,0.6,0.8,0.3,0.6,0.1,0.3,0.5
v545,0.2,1.0,0.8,0.5,0.8,0.4,0.2,0.4
v546,0.0,0.9,0.8,0.6,0.5,0.0,0.0,0.6
v547,0.0,0.9,0.7,0.7,0.7,0.2,0.1,0.7
v548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v549,0.4,0.5,0.7,0.6,0.5,0.2,0.3,0.4
v550,0.0,1.0,0.8,0.9,0.8,0.1,0.0,0.9
v551,0.2,0.9,0.6,0.6,0.5,0.3,0.2,0.6
v552,0.3,0.9,0.8,0.8,0.7,0.0,0.0,0.8
v553,0.0,0.9,0.6,0.6,0.5,0.0,0.1,0.6
v554,0.5,0.5,,,0.5,,,
v555,0.7,0.4,0.4,0.4,0.3,0.4,0.3,0.4
v556,0.0,1.0,0.6,0.6,0.5,0.2,0.1,0.7
v557,0.0,0.9,1.0,0.2,0.6,0.4,0.1,0.3
v558,0.4,0.6,0.6,0.7,0.6,0.5,0.6,0.7
v559,0.0,0.7,0.6,1.0,0.4,0.0,0.0,0.8
v560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v561,0.8,0.1,0.1,0.2,0.3,0.5,0.6,0.4
v562,0.0,1.0,0.4,0.8,0.4,0.0,0.4,0.5
v563,0.0,0.8,0.5,0.5,0.0,0.1,0.0,0.5
v564,0.3,0.6,0.7,0.5,0.4,0.3,,0.5
v565,0.7,0.0,0.1,0.1,0.5,0.9,0.6,0.1
v566,0.0,1.0,0.6,0.5,0.5,0.0,0.0,0.6
v567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v568,1.0,0.0,0.5,0.0,0.1,0.0,0.1,0.2
v569,0.0,0.8,0.8,0.7,0.5,0.0,0.2,0.5
v570,0.5,0.8,0.5,0.4,0.4,0.2,0.5,0.4
v571,0.8,0.7,1.0,0.5,0.6,0.7,0.4,0.5
v572,0.8,0.7,0.6,0.8,0.8,0.7,0.7,0.7
v573,1.0,0.0,0.2,0.0,0.2,0.0,0.7,0.0
v574,0.2,0.6,0.4,0.4,0.2,0.1,0.4,0.4
v575,0.6,0.1,0.4,0.1,0.4,0.3,0.3,0.1
v576,0.1,0.9,0.7,0.5,0.6,0.4,0.1,0.5
v577,0.4,0.3,1.0,0.1,0.3,0.5,0.7,0.1
v578,0.0,0.2,1.0,0.6,0.0,0.5,0.0,1.0
v579,0.0,0.8,0.6,0.7,0.5,0.1,0.0,0.7
v580,0.8,0.2,0.4,0.2,0.4,0.3,0.2,0.4
v581,0.1,0.8,0.7,0.8,0.6,0.2,0.1,0.8
v582,0.9,0.0,0.2,0.1,0.6,0.3,0.8,0.1
v583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v584,0.2,1.0,1.0,1.0,1.0,0.0,0.3,1.0
v585,0.3,0.5,0.4,0.4,0.3,0.5,0.6,0.4
v586,0.1,0.4,0.5,0.3,0.4,0.2,0.2,0.2
v587,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
v588,0.0,0.6,1.0,0.2,0.6,0.0,0.1,0.4
v589,0.5,0.6,0.8,0.4,0.6,0.5,,0.3
v590,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v591,0.5,0.9,0.5,0.3,0.2,0.7,0.5,0.2
v592,0.0,0.9,0.5,,,0.5,,0.5
v593,0.0,0.9,0.5,0.4,0.6,0.4,0.4,0.6
v594,,0.2,,,,0.6,,
v595,0.4,0.5,0.2,0.1,0.3,0.0,0.1,0.2
v596,0.8,0.2,0.2,0.2,0.2,,,0.2
v597,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5
v598,0.4,0.6,0.5,0.5,0.6,0.4,0.5,0.5
v599,0.3,0.3,0.6,,,0.6,,0.3
v600,0.0,0.8,0.4,0.2,0.2,0.0,0.0,0.0
v601,0.0,0.5,0.5,0.5,0.5,0.3,0.1,0.5
v602,0.0,0.5,0.6,0.8,0.4,0.0,0.0,1.0
v603,1.0,0.8,0.5,0.2,0.5,0.1,0.8,0.2
v604,0.0,0.3,0.1,0.1,0.1,0.9,0.3,0.1
v605,0.2,0.8,0.6,0.6,0.6,0.3,0.1,0.5
v606,0.9,0.0,0.0,0.0,0.0,1.0,0.9,0.0
v607,0.0,0.8,0.8,0.7,0.6,0.1,0.0,0.6
v608,0.5,0.1,0.1,0.1,0.2,0.1,0.2,0.2
v609,0.0,0.8,0.8,0.9,0.7,0.0,0.0,0.7
v610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v611,0.4,0.1,0.5,0.0,,0.7,0.0,0.0
v612,0.0,0.3,1.0,0.5,0.3,0.0,0.0,0.3
v613,0.4,0.5,0.3,0.5,0.5,0.4,0.5,0.6
v614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v615,0.0,1.0,0.6,0.6,0.7,0.0,0.6,0.7
v616,0.0,0.8,0.7,0.2,0.3,0.2,0.3,0.4
v617,0.2,0.5,0.8,0.2,0.3,0.1,0.4,0.4
v618,0.6,0.5,0.5,0.2,0.2,0.0,0.2,0.0
v619,0.9,0.2,0.4,0.5,0.4,0.5,0.6,0.4
v620,1.0,0.0,0.2,0.2,0.2,0.0,0.1,0.2
v621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
v622,0.0,0.7,0.2,0.2,0.3,0.2,0.2,0.4
v623,0.0,0.7,0.6,0.6,0.6,0.2,0.0,0.7
v624,0.6,0.4,0.3,0.3,0.3,0.5,0.3,0.2
v625,0.1,0.7,0.5,0.6,0.3,0.0,0.0,0.5
v626,0.0,0.9,0.5,0.3,0.3,0.4,0.6,0.2
v627,1.0,0.1,0.2,0.0,0.5,0.7,0.7,0.0
v628,0.6,0.5,0.5,0.3,0.5,0.4,0.6,0.6
v629,0.2,0.8,0.8,0.8,0.5,0.0,,0.9
v630,1.0,0.7,0.4,0.1,0.6,0.6,0.4,0.5
v631,0.0,0.8,0.7,0.7,0.7,0.1,0.0,0.7
v632,0.9,0.1,0.2,0.3,0.3,0.2,0.6,0.1
v633,0.0,0.8,0.6,0.6,0.6,0.2,0.0,0.6
v634,0.9,0.2,0.2,0.2,0.3,0.2,0.1,0.1
v635,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0
v636,0.3,0.6,0.5,0.4,0.6,0.4,0.3,0.4
v637,0.1,0.9,0.8,0.8,0.8,0.1,0.0,0.8
v638,0.4,0.4,0.6,0.4,0.9,0.4,0.5,0.3
v639,0.6,0.0,0.0,0.1,0.1,0.1,0.5,0.1
v640,0.0,1.0,0.3,0.5,0.6,0.5,0.3,0.2
v641,0.8,1.0,0.9,1.0,1.0,1.0,1.0,0.9
v642,1.0,0.0,0.1,0.1,0.3,0.1,0.6,0.1
v643,0.2,0.2,0.7,0.2,0.5,0.2,0.2,0.2
v644,0.0,0.7,,,,0.2,,
v645,0.1,0.7,0.3,0.3,0.4,0.1,0.0,0.3
v646,0.0,1.0,0.8,0.7,0.4,0.2,0.0,0.2
v647,1.0,0.0,0.1,0.0,0.2,0.1,0.1,0.0
v648,0.5,0.0,0.0,0.0,0.2,0.3,1.0,0.0
v649,0.7,0.7,0.8,0.7,0.6,0.8,0.8,0.8
v650,0.1,0.9,0.6,0.6,0.4,0.3,0.0,0.7
v651,0.7,0.0,0.0,0.2,0.0,0.9,0.2,0.0
v652,0.1,0.5,1.0,0.5,0.4,0.0,0.0,0.3
v653,0.5,0.2,0.2,0.3,0.5,0.7,0.5,0.5
v654,0.7,0.9,0.6,0.6,0.8,0.6,0.5,0.2
v655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v656,1.0,0.0,0.1,0.0,0.2,0.2,0.6,0.0
v657,0.2,0.5,1.0,0.6,0.9,,0.2,0.8
v658,0.0,0.7,0.2,0.3,0.1,0.1,0.2,0.2
v659,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0
v660,0.0,0.7,0.4,0.3,0.4,0.0,0.3,0.0
v661,0.0,1.0,0.7,0.4,0.3,0.1,0.4,0.4
v662,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
v663,0.4,0.7,0.6,0.3,0.4,0.4,0.7,0.7
v664,0.0,0.9,0.6,0.5,0.4,0.0,0.1,0.4
v665,1.0,0.0,0.4,0.0,0.3,0.6,0.3,0.1
v666,0.2,0.4,0.2,,,,0.0,0.4
v667,0.7,0.2,0.3,0.1,0.5,0.3,0.4,0.2
v668,0.0,0.8,0.8,0.8,0.8,0.0,0.0,0.8
v669,1.0,0.4,0.6,0.3,0.6,0.6,0.6,0.4
v670,0.2,0.3,0.9,0.2,0.1,0.2,0.2,0.2
v671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
v672,0.0,0.3,1.0,0.5,0.5,0.1,0.3,0.6
v673,1.0,0.1,0.5,0.1,0.2,0.5,0.2,0.1
v674,1.0,0.1,0.4,0.1,0.6,0.5,0.9,0.1
v675,0.0,0.0,0.7,0.5,0.8,0.0,,0.4
v676,1.0,0.0,0.0,0.1,0.1,0.2,0.1,0.0
v677,0.1,0.9,0.8,0.7,0.7,0.6,0.1,0.6
v678,0.0,1.0,0.8,0.4,0.5,0.0,0.3,0.4
v679,0.0,1.0,0.6,0.6,0.4,0.0,0.0,0.5
v680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v681,0.7,0.4,,,0.4,,,
v682,0.9,0.1,0.4,0.2,0.4,0.4,0.7,0.3
v683,1.0,0.1,0.1,0.0,0.4,0.5,0.8,0.1
v684,0.9,0.2,0.3,0.1,0.2,0.2,0.2,0.2
v685,1.0,0.4,0.5,0.4,0.3,0.3,0.1,0.5
v686,0.0,0.9,1.0,0.9,0.5,0.0,0.0,0.5
v687,0.1,0.7,0.8,0.4,0.4,0.3,0.3,0.3
v688,1.0,0.1,0.6,0.3,0.7,0.6,0.7,
v689,0.5,0.3,0.4,0.5,0.4,0.4,0.1,0.3
v690,0.0,0.2,0.7,0.3,0.2,0.4,0.0,0.3
v691,0.8,0.4,0.3,0.0,0.0,0.2,0.2,0.0
v692,0.0,0.9,0.6,0.6,0.1,0.0,0.0,0.4
v693,0.1,0.4,0.6,0.2,0.4,0.3,0.4,0.3
v694,0.0,0.7,0.9,0.3,0.7,0.0,0.0,0.3
v695,0.0,0.9,1.0,0.9,1.0,0.0,0.0,0.9
v696,0.2,0.6,0.5,0.7,0.6,0.3,0.2,0.7
v697,0.1,0.5,0.5,0.5,0.3,0.1,0.5,0.5
v698,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.4
v699,0.0,0.9,0.9,0.4,0.5,0.3,0.0,0.5
v700,0.0,1.0,0.2,0.3,0.2,0.0,0.3,0.2
v701,0.3,0.8,0.4,0.5,0.6,0.4,0.8,0.5
v702,0.9,0.6,0.6,0.4,0.7,0.3,0.7,0.4
v703,0.0,0.7,0.6,0.4,0.0,0.1,0.7,0.6
v704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v705,1.0,0.1,0.2,0.0,0.3,0.2,0.3,0.2
v706,0.2,0.5,0.7,0.5,0.5,0.1,0.1,0.3
v707,1.0,0.1,0.1,0.1,0.0,0.2,0.5,0.1
v708,0.3,0.5,0.9,0.7,0.3,0.6,0.5,0.6
v709,0.4,0.4,0.3,0.6,0.3,0.5,0.3,0.4
v710,0.2,0.4,0.8,0.5,0.5,0.5,0.3,0.3
v711,0.0,0.8,0.6,0.8,0.5,0.0,0.5,0.8
v712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v713,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1
v714,0.0,1.0,0.8,0.7,0.6,0.0,0.0,0.7
v715,0.9,0.2,0.5,0.0,0.5,0.6,0.8,0.0
v716,0.0,1.0,0.8,0.6,0.7,0.2,0.0,0.5
v717,0.4,0.5,0.4,0.3,0.4,0.4,0.3,0.5
v718,0.9,0.1,0.1,0.1,0.2,0.6,0.8,0.1
v719,1.0,0.0,0.1,0.2,0.6,0.2,0.6,0.3
v720,0.0,0.8,0.5,0.5,0.5,0.5,0.1,0.3
v721,0.0,0.7,0.5,0.4,,0.0,0.0,0.4
v722,0.9,0.0,0.0,0.1,0.3,0.3,0.3,0.1
v723,0.1,1.0,0.7,0.6,0.5,0.3,0.1,0.5
v724,0.5,0.3,0.6,0.3,0.3,0.6,0.3,0.3
v725,1.0,0.1,0.2,0.2,0.2,0.5,0.7,0.2
v726,0.4,0.2,0.4,0.3,0.4,0.2,0.3,0.2
v727,0.4,0.8,0.4,0.7,0.5,0.9,0.6,0.6
v728,0.0,0.4,0.5,0.1,0.0,0.2,0.0,0.1
v729,0.2,0.5,0.6,0.3,0.4,0.5,0.3,0.5
v730,1.0,0.0,0.2,0.4,0.4,0.8,1.0,0.2
v731,0.0,0.7,0.5,0.2,0.2,0.1,0.2,0.3
v732,0.0,0.8,0.8,0.9,0.5,0.0,0.0,0.9
v733,1.0,0.0,0.0,0.0,0.6,0.5,0.4,0.0
v734,0.3,0.7,0.8,0.8,0.8,0.4,0.2,0.7
v735,0.2,0.6,0.3,,,,,
v736,0.1,0.7,0.7,0.6,0.5,0.6,0.7,0.6
v737,0.7,0.0,0.5,0.2,0.4,0.3,0.4,0.1
v738,0.0,0.3,1.0,0.4,0.3,0.2,0.2,0.4
v739,0.8,0.0,,,,0.0,,0.0
v740,0.2,0.6,0.5,,,,,0.5
v741,0.3,0.6,0.7,0.5,0.8,0.2,0.2,0.5
v742,0.0,0.9,0.9,0.9,0.8,0.0,0.0,0.9
v743,0.0,1.0,1.0,0.6,0.7,0.0,0.5,0.7
v744,0.0,0.8,0.6,0.5,0.3,0.4,0.0,0.5
v745,0.1,0.9,0.7,0.8,0.6,0.0,0.0,0.9
v746,0.1,0.5,1.0,0.3,0.5,0.1,0.1,0.5
v747,0.1,0.6,,,,,,0.1
v748,1.0,0.0,0.6,0.1,0.3,0.6,0.6,0.2
v749,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6
v750,0.2,0.7,0.7,0.7,0.6,0.2,0.5,0.7
v751,0.1,0.9,0.7,0.8,0.7,0.0,0.1,0.8
v752,0.6,0.0,0.1,0.2,0.0,0.3,0.3,0.2
v753,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
v754,0.0,0.8,0.5,0.4,0.5,0.4,0.0,0.3
v755,0.0,0.4,0.9,0.2,0.2,0.0,0.0,0.2
v756,0.8,0.2,0.3,0.1,0.4,0.5,0.1,0.5
v757,1.0,0.1,0.2,0.0,0.5,0.6,0.8,0.1
v758,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.1
v759,0.2,0.8,0.6,0.2,0.0,0.4,0.2,0.4
v760,1.0,0.0,0.1,0.0,0.5,0.5,0.9,0.0
v761,0.9,0.1,0.6,0.2,0.3,0.3,0.9,0.3
v762,0.2,0.2,0.2,0.2,0.2,1.0,0.2,0.2
v763,0.2,0.6,0.5,0.3,0.2,0.5,0.2,0.4
v764,0.0,0.9,0.8,0.9,,0.0,,0.9
v765,0.0,0.8,0.7,0.4,0.5,0.3,0.0,0.4
v766,0.0,0.9,0.6,0.5,0.6,0.5,0.1,0.5
v767,0.2,0.3,0.6,0.2,0.1,0.0,0.1,0.1
v768,0.0,1.0,0.4,0.6,0.4,0.0,0.2,0.7
v769,0.1,0.5,0.7,0.4,0.3,0.3,0.3,0.4
v770,0.9,0.3,0.7,0.1,0.5,0.6,0.5,0.2
v771,0.0,0.8,1.0,0.8,0.8,0.0,0.0,0.8
v772,0.0,0.4,0.8,0.2,0.4,0.2,0.1,0.1
v773,0.1,0.8,0.5,0.5,0.5,0.5,0.1,0.5
v774,0.4,0.1,0.6,0.2,0.6,1.0,0.7,0.1
v775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v776,0.7,0.1,0.3,,,,0.2,
v777,0.3,0.8,0.6,,0.4,0.0,,
v778,0.4,0.7,0.2,0.2,0.2,0.1,0.5,0.1
v779,0.1,1.0,0.5,0.1,0.3,0.0,0.0,0.4
v780,0.6,0.5,0.5,0.5,0.4,0.6,0.5,0.5
v781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v782,1.0,0.0,0.2,0.0,0.3,0.6,0.6,0.0
v783,1.0,0.0,0.3,0.3,0.2,0.2,0.7,0.1
v784,0.2,0.7,0.5,0.4,0.4,0.2,0.2,0.4
v785,0.1,0.5,0.7,0.3,0.6,0.2,0.3,0.4
v786,0.9,0.1,0.1,0.4,0.4,0.7,0.6,0.4
v787,0.2,0.7,1.0,0.8,0.6,0.0,0.0,0.8
v788,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0
v789,0.0,0.9,0.8,0.7,0.7,0.0,0.0,0.9
v790,0.1,0.8,0.2,,0.3,,,0.2
v791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v792,0.6,0.2,,,0.5,,,
v793,0.5,0.4,0.7,0.4,0.5,0.5,0.5,0.2
v794,0.3,1.0,0.7,0.4,0.3,0.6,0.2,0.0
v795,0.1,0.8,0.6,0.5,0.6,0.5,0.2,0.5
v796,0.0,1.0,0.7,0.5,0.5,0.0,0.4,0.5
v797,,,,,0.7,,,
v798,0.8,0.0,0.2,0.0,0.2,1.0,0.7,0.0
v799,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0
v800,0.0,1.0,0.7,0.7,0.5,0.0,0.0,0.7
v801,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.4
v802,1.0,0.0,0.1,0.0,0.4,0.5,0.9,0.0
v803,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.8
v804,0.1,0.4,0.3,0.1,0.7,1.0,0.4,0.0
v805,0.7,0.5,0.4,0.1,0.5,0.5,0.6,0.3
v806,0.0,0.9,0.6,0.1,0.6,0.1,0.1,0.4
v807,0.0,1.0,0.7,0.7,0.3,0.2,0.3,0.8
v808,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v809,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v810,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.1
v811,1.0,0.2,0.3,,,,,0.2
v812,0.2,0.1,0.8,0.8,0.5,0.4,0.2,0.7
v813,0.6,0.7,0.7,0.8,0.7,0.6,0.6,0.9
v814,0.4,0.6,0.6,0.5,0.5,0.3,0.3,0.5
v815,0.0,0.8,0.8,1.0,0.7,0.2,0.3,1.0
v816,0.1,0.2,0.2,0.1,0.2,0.9,0.5,0.1
v817,0.9,0.1,0.1,0.1,0.1,0.5,0.7,0.1
v818,0.3,0.7,0.7,0.3,0.6,0.7,0.5,0.5
v819,0.1,0.6,0.7,0.6,0.6,0.1,0.1,0.6
v820,1.0,0.1,0.4,0.1,0.1,0.5,0.5,0.1
v821,0.9,0.1,0.1,0.1,0.1,0.4,0.3,0.1
