,A,B
v1250,0.6,0.1
v1251,0.7,0.5
v1252,0.0,1.0
v1253,0.3,0.8
v1254,0.7,0.2
v1255,0.4,0.5
v1256,0.3,0.7
v1257,0.0,1.0
v1258,0.3,0.6
v1259,0.6,
v1260,0.2,0.1
v1261,1.0,0.5
v1262,1.0,0.0
v1263,0.9,0.3
v1264,0.7,0.1
v1265,0.6,0.4
v1266,0.5,0.5
v1267,0.9,0.9
v1268,0.3,0.8
v1269,0.0,1.0
v1270,0.8,0.0
v1271,1.0,0.0
v1272,0.1,0.8
v1273,0.3,0.7
v1274,0.2,0.3
v1275,0.6,0.3
v1276,0.1,0.7
v1277,0.8,0.1
v1278,0.0,0.9
v1279,0.0,1.0
v1280,1.0,0.0
v1281,0.3,0.7
v1282,0.2,0.8
v1283,0.0,0.9
v1284,0.8,0.0
v1285,0.6,0.4
v1286,0.3,0.3
v1287,0.3,0.5
v1288,0.2,0.7
v1289,0.3,0.5
v1290,1.0,0.0
v1291,0.5,0.3
v1292,0.9,0.2
v1293,1.0,0.0
v1294,0.4,0.7
v1295,0.9,0.1
v1296,0.0,0.9
v1297,0.5,0.5
v1298,1.0,0.0
v1299,0.8,0.2
v1300,0.4,1.0
v1301,0.0,0.7
v1302,1.0,0.0
v1303,0.0,0.8
v1304,0.4,0.9
v1305,0.7,0.0
v1306,1.0,0.0
v1307,0.7,0.0
v1308,0.7,0.6
v1309,0.8,0.2
v1310,1.0,0.0
v1311,0.2,0.8
v1312,1.0,0.0
v1313,0.1,1.0
v1314,0.1,0.7
v1315,0.7,0.2
v1316,0.6,0.6
v1317,0.8,0.1
v1318,0.1,0.7
v1319,0.7,0.2
v1320,1.0,0.2
v1321,0.0,0.0
v1322,0.1,0.9
v1323,1.0,1.0
v1324,0.5,0.3
v1325,0.3,0.3
v1326,0.7,0.1
v1327,0.4,0.5
v1328,0.5,0.6
v1329,0.2,0.3
v1330,0.2,0.3
v1331,0.1,1.0
v1332,0.5,0.9
v1333,0.3,0.6
v1334,0.0,1.0
v1335,0.2,1.0
v1336,0.0,0.9
v1337,0.8,0.0
v1338,0.7,0.3
v1339,0.5,0.5
v1340,0.5,0.5
v1341,0.6,0.5
v1342,0.7,0.3
v1343,0.3,0.8
v1344,0.2,0.9
v1345,0.0,1.0
v1346,1.0,1.0
v1347,0.6,0.4
v1348,0.3,0.3
v1349,0.8,0.4
v1350,0.0,0.9
v1351,0.5,0.5
v1352,0.1,0.3
v1353,0.2,0.6
v1354,0.7,0.8
v1355,1.0,0.0
v1356,0.5,0.9
v1357,0.0,0.9
v1358,0.1,0.9
v1359,1.0,0.0
v1360,0.0,0.8
v1361,0.9,0.0
v1362,1.0,0.4
v1363,1.0,0.0
v1364,0.3,0.0
v1365,0.0,0.5
v1366,0.2,0.3
v1367,0.5,0.5
v1368,0.8,0.0
v1369,0.4,0.7
v1370,0.8,0.9
v1371,0.8,0.2
v1372,0.3,0.8
v1373,0.6,0.2
v1374,0.2,0.6
v1375,0.5,1.0
v1376,0.4,0.8
v1377,0.7,0.7
v1378,0.3,0.5
v1379,0.6,0.4
v1380,0.7,0.1
v1381,0.8,0.2
v1382,0.0,0.8
v1383,0.0,1.0
v1384,0.0,1.0
v1385,0.5,0.2
v1386,0.5,0.5
v1387,0.0,0.6
v1388,0.8,0.3
v1389,0.8,0.2
v1390,1.0,0.0
v1391,0.0,0.5
v1392,0.3,0.8
v1393,0.8,0.5
v1394,1.0,0.0
v1395,0.2,0.8
v1396,0.7,0.5
v1397,0.4,0.7
v1398,0.0,0.8
v1399,0.8,0.1
v1400,0.1,1.0
v1401,0.6,0.4
v1402,0.1,0.9
v1403,0.9,0.1
v1404,0.4,0.7
v1405,0.0,1.0
v1406,0.0,1.0
v1407,1.0,0.1
v1408,0.5,0.5
v1409,0.4,0.5
v1410,0.6,0.6
v1411,0.8,0.0
v1412,0.3,1.0
v1413,0.3,0.8
v1414,0.0,1.0
v1415,0.9,0.2
v1416,0.3,0.8
v1417,0.7,0.0
v1418,1.0,1.0
v1419,0.8,0.0
v1420,0.8,0.2
v1421,0.0,0.0
v1422,0.0,0.8
v1423,0.5,0.5
v1424,1.0,0.0
v1425,0.7,0.4
v1426,0.3,0.9
v1427,0.0,0.0
v1428,0.0,0.9
v1429,0.0,0.7
v1430,0.6,0.0
v1431,0.4,0.5
v1432,0.4,0.4
v1433,0.6,0.2
v1434,0.9,0.0
v1435,0.5,0.5
v1436,0.0,0.5
v1437,0.4,0.6
v1438,0.0,0.6
v1439,0.8,0.3
v1440,0.2,0.5
v1441,0.2,0.7
v1442,0.2,0.7
v1443,0.3,0.8
v1444,1.0,0.0
v1445,0.8,0.0
v1446,0.5,0.9
v1447,0.2,0.5
v1448,0.3,0.7
v1449,1.0,0.0
v1450,0.4,0.7
v1451,0.8,0.0
v1452,0.1,0.8
v1453,0.6,0.0
v1454,0.4,0.5
v1455,0.8,0.2
v1456,0.3,0.7
v1457,0.2,0.8
v1458,0.1,0.5
v1459,0.7,0.5
v1460,1.0,0.0
v1461,0.0,1.0
v1462,0.0,1.0
v1463,0.2,1.0
v1464,0.9,0.0
v1465,1.0,0.0
v1466,0.8,0.0
v1467,0.9,0.1
v1468,0.0,0.8
v1469,0.7,0.1
v1470,0.0,0.9
v1471,0.8,0.0
v1472,0.7,0.3
v1473,0.4,0.6
v1474,0.7,0.4
v1475,0.2,0.8
v1476,1.0,0.0
v1477,0.1,0.1
v1478,0.5,0.5
v1479,0.0,0.8
v1480,0.9,0.0
v1481,0.3,0.8
v1482,1.0,0.0
v1483,0.7,0.2
v1484,0.0,0.8
v1485,0.5,0.8
v1486,0.4,0.6
v1487,0.4,0.8
v1488,0.4,0.6
v1489,0.1,0.6
v1490,0.6,0.3
v1491,0.2,0.8
v1492,0.1,0.9
v1493,0.1,0.7
v1494,0.8,0.0
v1495,0.9,0.1
v1496,0.5,0.5
v1497,0.9,0.1
v1498,0.3,0.7
v1499,0.1,1.0
v1500,0.8,0.3
v1501,0.6,0.3
v1502,0.4,0.5
v1503,0.0,1.0
v1504,0.2,0.7
v1505,0.7,0.0
v1506,0.8,0.7
v1507,0.3,0.6
v1508,0.4,0.6
v1509,0.8,0.0
v1510,0.7,0.3
v1511,0.7,0.0
v1512,0.6,0.6
v1513,0.1,0.6
v1514,0.0,1.0
v1515,0.9,0.2
v1516,0.8,0.3
v1517,0.5,0.5
v1518,0.0,1.0
v1519,0.4,0.8
v1520,0.4,0.8
v1521,0.8,0.3
v1522,1.0,0.0
v1523,0.0,0.8
v1524,0.3,0.9
v1525,0.9,0.1
v1526,0.7,0.1
v1527,0.2,0.8
v1528,0.4,0.7
v1529,0.1,0.7
v1530,0.5,0.0
v1531,0.0,0.6
v1532,0.5,0.7
v1533,0.0,1.0
v1534,0.8,0.3
v1535,1.0,0.0
v1536,0.1,0.4
v1537,0.6,0.2
v1538,0.3,0.4
v1539,0.0,0.5
v1540,0.3,0.7
v1541,1.0,0.0
v1542,0.4,0.2
v1543,0.9,1.0
v1544,0.0,1.0
v1545,0.1,0.9
v1546,0.9,0.0
v1547,0.9,0.3
v1548,0.0,1.0
v1549,0.5,0.0
v1550,0.4,0.8
v1551,0.7,0.3
v1552,0.2,1.0
v1553,0.8,0.2
v1554,0.9,0.2
v1555,0.9,0.0
v1556,0.5,0.5
v1557,0.4,0.6
v1558,0.7,0.0
v1559,0.6,0.6
v1560,0.1,0.8
v1561,0.2,0.6
v1562,0.5,0.7
v1563,0.1,0.8
v1564,0.8,0.0
v1565,0.9,0.0
v1566,0.9,0.2
v1567,0.8,0.1
v1568,0.1,0.6
v1569,0.1,0.9
v1570,0.8,0.3
v1571,0.3,0.3
v1572,0.7,0.0
v1573,0.0,0.7
v1574,0.0,0.7
v1575,1.0,0.0
v1576,0.1,0.3
v1577,0.3,0.8
v1578,0.0,0.9
v1579,0.0,0.8
v1580,0.8,0.2
v1581,0.4,1.0
v1582,0.7,0.4
v1583,0.1,0.7
v1584,0.3,1.0
v1585,0.5,0.5
v1586,0.5,0.8
v1587,0.7,0.0
v1588,0.0,0.9
v1589,0.0,0.9
v1590,0.7,0.0
v1591,0.3,0.3
v1592,1.0,0.0
v1593,0.0,0.7
v1594,1.0,0.0
v1595,0.4,0.7
v1596,1.0,0.0
v1597,0.4,0.4
v1598,0.0,0.7
v1599,1.0,0.0
v1600,0.1,0.0
v1601,0.0,0.1
v1602,0.0,0.6
v1603,0.5,0.0
v1604,0.8,0.2
v1605,0.9,0.1
v1606,0.3,0.5
v1607,0.5,0.7
v1608,0.0,0.6
v1609,1.0,0.0
v1610,0.5,0.3
v1611,0.3,0.8
v1612,0.2,0.7
v1613,0.2,0.5
v1614,0.8,0.4
v1615,0.2,0.9
v1616,0.5,0.4
v1617,0.0,0.8
v1618,0.7,0.9
v1619,0.4,0.7
v1620,1.0,1.0
v1621,0.3,0.9
v1622,0.9,0.1
v1623,0.0,0.6
v1624,0.0,0.5
v1625,0.0,0.8
v1626,0.7,0.8
v1627,0.2,0.9
v1628,0.0,1.0
v1629,0.9,0.0
v1630,1.0,0.0
v1631,1.0,0.1
v1632,0.0,0.0
v1633,0.0,1.0
v1634,0.7,0.6
v1635,0.0,0.9
v1636,1.0,0.7
v1637,0.8,0.3
v1638,0.9,0.1
v1639,1.0,1.0
v1640,0.9,0.0
v1641,0.1,0.8
v1642,1.0,0.0
v1643,0.9,0.0
v1644,0.2,0.7
v1645,0.9,0.2
v1646,0.8,0.0
v1647,0.5,0.7
v1648,1.0,0.0
v1649,0.2,1.0
v1650,0.8,0.2
v1651,0.5,0.8
v1652,1.0,0.0
v1653,0.8,0.1
v1654,0.0,0.8
v1655,0.4,0.7
v1656,0.9,0.9
v1657,0.4,0.8
v1658,1.0,0.0
v1659,0.2,0.9
v1660,0.1,0.5
v1661,0.9,0.3
v1662,0.8,0.2
v1663,0.8,0.2
v1664,0.7,0.1
v1665,0.8,0.3
v1666,0.5,0.7
v1667,0.4,0.1
v1668,0.0,0.9
v1669,0.0,0.9
v1670,0.1,0.7
v1671,0.5,0.5
v1672,0.1,0.5
v1673,0.5,0.1
v1674,0.0,0.7
v1675,0.6,0.6
v1676,0.6,0.2
v1677,0.1,0.9
v1678,0.7,0.2
v1679,0.5,0.7
v1680,1.0,0.0
v1681,0.5,0.2
v1682,0.8,0.2
v1683,0.5,0.7
v1684,1.0,1.0
v1685,0.0,1.0
v1686,0.0,1.0
v1687,0.0,1.0
v1688,0.0,0.8
v1689,0.5,1.0
v1690,0.8,0.3
v1691,0.5,0.5
v1692,0.5,0.4
v1693,0.3,0.6
v1694,0.8,0.2
v1695,0.0,1.0
v1696,0.5,1.0
v1697,0.0,1.0
v1698,0.5,0.5
v1699,0.9,0.3
v1700,0.3,1.0
v1701,1.0,0.0
v1702,0.0,0.5
v1703,0.7,0.4
v1704,0.5,0.5
v1705,0.2,0.7
v1706,0.1,0.7
v1707,0.9,0.5
v1708,0.5,0.4
v1709,0.8,0.2
v1710,0.3,0.8
v1711,0.3,0.5
v1712,0.7,0.4
v1713,0.5,0.5
v1714,0.6,0.7
v1715,0.0,1.0
v1716,0.5,0.8
v1717,0.3,0.8
v1718,0.5,0.9
v1719,0.7,0.3
v1720,0.8,0.0
v1721,0.2,0.8
v1722,0.0,0.8
v1723,0.0,0.9
v1724,1.0,0.0
v1725,0.8,0.3
v1726,0.1,0.9
v1727,0.3,0.7
v1728,0.0,0.9
v1729,0.7,0.4
v1730,0.4,0.7
v1731,0.4,0.7
v1732,0.4,0.8
v1733,0.9,0.5
v1734,0.0,1.0
v1735,0.7,0.1
v1736,0.3,0.9
v1737,0.8,0.3
v1738,0.1,0.8
v1739,0.1,0.9
v1740,0.8,0.3
v1741,0.0,0.8
v1742,0.0,1.0
v1743,0.3,0.8
v1744,0.9,0.0
v1745,0.5,0.1
v1746,0.7,0.4
v1747,0.6,0.4
v1748,0.9,0.1
v1749,0.0,0.6
v1750,0.8,0.0
v1751,0.2,0.8
v1752,0.6,0.8
v1753,0.2,0.6
v1754,1.0,0.0
v1755,1.0,0.0
v1756,0.8,0.4
v1757,1.0,0.0
v1758,0.9,0.0
v1759,1.0,0.1
v1760,1.0,0.0
v1761,0.4,0.7
v1762,0.5,0.2
v1763,0.5,0.8
v1764,0.3,1.0
v1765,0.6,0.4
v1766,0.3,0.3
v1767,1.0,0.2
v1768,0.3,0.3
v1769,1.0,0.0
v1770,0.3,0.7
v1771,0.2,0.8
v1772,0.6,0.4
v1773,0.5,0.5
v1774,0.0,0.8
v1775,0.0,0.6
v1776,0.6,0.6
v1777,1.0,0.0
v1778,0.2,0.8
v1779,0.9,0.0
v1780,0.5,0.5
v1781,0.0,0.6
v1782,0.3,0.7
v1783,0.1,0.9
v1784,0.0,0.2
v1785,0.7,0.0
v1786,0.7,0.0
v1787,0.9,0.0
v1788,1.0,0.0
v1789,0.4,0.7
v1790,0.1,0.9
v1791,0.0,0.9
v1792,0.0,0.9
v1793,1.0,0.0
v1794,0.0,0.7
v1795,0.2,1.0
v1796,0.4,0.4
v1797,0.2,0.4
v1798,0.9,0.3
v1799,1.0,0.0
v1800,0.9,0.0
v1801,1.0,0.0
v1802,0.6,0.5
v1803,0.0,0.6
v1804,0.0,0.8
v1805,0.8,0.0
v1806,0.0,1.0
v1807,0.8,0.2
v1808,0.4,0.6
v1809,0.5,0.7
v1810,1.0,0.0
v1811,0.8,0.3
v1812,0.9,0.0
v1813,0.0,1.0
v1814,0.9,0.0
v1815,0.1,0.7
v1816,0.5,0.0
v1817,0.5,0.3
v1818,0.8,0.2
v1819,0.0,0.7
v1820,0.8,0.1
v1821,0.7,0.3
v1822,0.0,0.7
v1823,0.7,0.3
v1824,0.5,0.5
v1825,0.9,0.0
v1826,0.0,0.3
v1827,0.2,1.0
v1828,0.2,0.8
v1829,1.0,0.0
v1830,0.5,0.6
v1831,0.7,0.0
v1832,1.0,0.3
v1833,0.0,1.0
v1834,0.8,0.2
v1835,0.0,0.3
v1836,0.0,0.8
v1837,0.3,0.7
v1838,0.0,0.7
v1839,0.4,0.8
v1840,0.3,0.8
v1841,0.0,0.8
v1842,0.0,0.9
v1843,0.2,0.9
v1844,0.0,0.6
v1845,0.0,0.0
v1846,0.0,1.0
v1847,0.7,0.0
v1848,0.0,0.5
v1849,1.0,0.0
v1850,0.7,0.3
v1851,1.0,0.7
v1852,0.4,0.7
v1853,0.0,1.0
v1854,0.0,0.8
v1855,0.7,0.4
v1856,0.9,0.1
v1857,1.0,0.0
v1858,0.0,0.7
v1859,0.0,0.8
v1860,0.8,0.2
v1861,0.3,1.0
v1862,0.1,0.9
v1863,0.3,0.7
v1864,0.0,1.0
v1865,0.5,0.5
v1866,0.3,0.8
v1867,0.3,0.2
v1868,0.5,0.5
v1869,0.0,0.8
v1870,1.0,0.0
v1871,0.8,0.0
v1872,0.5,0.4
v1873,0.2,0.7
v1874,0.9,0.0
v1875,0.8,0.2
v1876,0.9,0.0
v1877,0.5,0.7
v1878,0.6,0.2
v1879,0.8,0.2
v1880,0.2,0.7
v1881,0.0,1.0
v1882,0.5,0.7
v1883,0.4,0.7
v1884,0.9,0.0
v1885,0.2,0.3
v1886,0.7,0.0
v1887,0.8,0.3
v1888,0.8,0.7
v1889,0.3,0.2
v1890,1.0,0.0
v1891,0.0,1.0
v1892,0.1,0.8
v1893,0.8,0.0
v1894,1.0,0.0
v1895,0.5,0.5
v1896,0.9,0.0
v1897,0.0,0.8
v1898,1.0,0.0
v1899,0.0,0.7
v1900,0.4,0.4
v1901,0.0,0.8
v1902,0.8,0.0
v1903,0.1,0.8
v1904,1.0,0.0
v1905,0.7,0.0
v1906,0.6,0.2
v1907,0.0,0.8
v1908,0.1,0.8
v1909,0.0,1.0
v1910,0.0,1.0
v1911,0.5,0.5
v1912,0.2,0.9
v1913,0.3,0.8
v1914,0.7,0.0
v1915,0.8,0.0
v1916,0.1,0.8
v1917,0.5,0.4
v1918,0.5,0.7
v1919,0.5,0.5
v1920,0.9,0.1
v1921,0.5,0.5
v1922,0.0,0.8
v1923,0.6,0.5
v1924,0.1,0.6
v1925,0.3,0.5
v1926,0.9,0.3
v1927,0.4,0.0
v1928,0.7,0.7
v1929,0.8,0.1
v1930,0.8,0.0
v1931,0.3,0.7
v1932,0.1,0.9
v1933,0.5,0.5
v1934,1.0,0.0
v1935,0.1,0.7
v1936,0.2,0.6
v1937,0.4,0.8
v1938,0.0,0.0
v1939,0.3,0.8
v1940,0.7,0.3
v1941,0.6,0.4
v1942,0.8,0.0
v1943,1.0,0.2
v1944,0.8,0.6
v1945,0.4,0.7
v1946,0.4,0.4
v1947,0.2,0.8
v1948,0.5,0.6
v1949,0.4,0.5
v1950,0.7,0.0
v1951,0.6,0.7
v1952,0.1,0.8
v1953,0.6,0.8
v1954,0.8,0.2
v1955,0.8,0.2
v1956,0.8,0.3
v1957,0.8,0.1
v1958,0.0,0.8
v1959,0.0,0.8
v1960,0.2,0.8
v1961,0.5,0.7
v1962,0.5,0.5
v1963,0.0,0.4
v1964,0.2,0.4
v1965,0.5,0.3
v1966,0.0,0.7
v1967,0.4,1.0
v1968,0.9,0.0
v1969,0.7,1.0
v1970,0.5,0.7
v1971,1.0,0.0
v1972,0.8,0.0
v1973,0.0,0.3
v1974,0.9,0.5
v1975,0.5,0.7
v1976,0.0,0.1
v1977,0.2,0.9
v1978,0.0,0.8
v1979,0.6,0.3
v1980,0.5,0.6
v1981,0.2,0.7
v1982,0.4,0.8
v1983,0.6,0.4
v1984,0.9,0.2
v1985,0.7,0.7
v1986,0.0,0.8
v1987,0.3,0.9
v1988,0.0,1.0
v1989,0.2,0.6
v1990,0.5,0.7
v1991,0.9,0.0
v1992,0.8,0.0
v1993,0.6,0.0
v1994,0.6,0.8
v1995,0.0,1.0
v1996,0.7,0.4
v1997,0.8,0.3
v1998,0.6,0.3
v1999,0.9,0.2
v2000,0.1,0.2
v2001,0.8,0.0
v2002,0.0,1.0
v2003,0.2,0.6
v2004,0.5,0.9
v2005,0.7,0.0
v2006,0.5,0.4
v2007,0.9,0.1
v2008,1.0,0.0
v2009,0.0,0.9
v2010,0.8,0.1
v2011,0.5,0.5
v2012,0.0,1.0
v2013,0.4,0.7
v2014,0.5,0.1
v2015,0.9,0.6
v2016,0.7,0.3
v2017,0.0,0.9
v2018,0.6,0.1
v2019,0.6,0.0
v2020,0.9,0.1
v2021,0.5,0.5
v2022,1.0,0.1
v2023,0.0,0.6
v2024,0.5,0.3
v2025,0.3,0.8
v2026,0.0,1.0
v2027,1.0,0.0
v2028,0.6,0.0
v2029,0.5,0.5
v2030,1.0,0.2
v2031,0.8,0.0
v2032,0.3,0.7
v2033,1.0,0.3
v2034,0.0,1.0
v2035,0.0,1.0
v2036,0.0,0.0
v2037,0.3,0.8
v2038,0.0,1.0
v2039,0.9,0.1
v2040,0.2,0.8
v2041,0.0,1.0
v2042,1.0,0.5
v2043,0.4,0.8
v2044,0.0,1.0
v2045,1.0,0.6
v2046,0.8,0.0
v2047,0.7,0.7
v2048,0.0,0.3
v2049,0.0,0.8
v2050,0.0,0.3
v2051,0.6,0.2
v2052,0.9,0.2
v2053,0.9,0.0
v2054,0.5,0.8
v2055,1.0,1.0
v2056,0.2,0.8
v2057,1.0,0.0
v2058,0.8,0.5
v2059,0.9,0.7
v2060,0.4,1.0
v2061,0.0,0.9
v2062,0.4,0.3
v2063,0.3,0.8
v2064,0.8,0.1
v2065,0.5,0.5
v2066,0.5,0.7
v2067,0.0,0.7
v2068,1.0,1.0
v2069,0.8,0.9
v2070,0.0,0.8
v2071,0.8,0.2
v2072,0.8,0.0
v2073,0.9,0.1
v2074,0.0,0.6
v2075,1.0,0.0
v2076,0.8,0.0
v2077,0.1,1.0
v2078,0.0,0.8
v2079,0.8,0.0
v2080,0.1,0.7
v2081,0.7,0.3
v2082,0.1,0.8
v2083,0.8,0.5
v2084,0.3,1.0
v2085,0.2,0.9
v2086,0.0,0.8
v2087,0.5,0.1
v2088,0.4,0.9
v2089,0.3,0.7
v2090,0.0,0.0
v2091,0.5,0.2
v2092,0.9,0.3
v2093,0.0,0.9
v2094,0.1,0.3
v2095,0.5,0.2
v2096,0.6,0.0
v2097,0.5,0.5
v2098,0.8,0.5
v2099,0.8,0.2
v2100,0.0,1.0
v2101,0.7,0.0
v2102,0.3,0.8
v2103,0.5,0.5
v2104,0.3,0.8
v2105,0.8,0.5
v2106,0.1,0.5
v2107,1.0,0.1
v2108,0.0,0.8
v2109,0.0,0.7
v2110,0.0,0.8
v2111,0.4,0.4
v2112,0.0,0.7
v2113,0.9,0.0
v2114,0.0,0.6
v2115,0.2,0.4
v2116,0.6,0.0
v2117,1.0,0.1
v2118,0.0,0.0
v2119,0.5,0.5
v2120,1.0,0.0
v2121,0.3,0.2
v2122,0.8,0.2
v2123,0.9,0.0
v2124,0.7,0.1
v2125,0.0,1.0
v2126,0.2,0.6
v2127,0.3,0.6
v2128,0.7,0.0
v2129,0.0,1.0
v2130,0.2,1.0
v2131,0.0,0.0
v2132,0.0,0.7
v2133,0.4,0.5
v2134,0.4,0.9
v2135,0.8,0.0
v2136,0.0,0.4
v2137,0.8,0.0
v2138,0.9,0.0
v2139,0.9,0.2
v2140,0.9,0.0
v2141,0.1,0.9
v2142,0.1,0.7
v2143,0.0,0.9
v2144,0.2,0.8
v2145,0.3,0.0
v2146,0.7,0.5
v2147,0.1,1.0
v2148,0.5,0.5
v2149,0.1,0.8
v2150,0.6,0.4
v2151,0.9,0.2
v2152,0.3,0.7
v2153,0.0,0.7
v2154,0.8,0.8
v2155,0.4,0.6
v2156,0.0,0.7
v2157,0.4,0.9
v2158,1.0,1.0
v2159,0.0,1.0
v2160,0.3,0.8
v2161,0.2,0.3
v2162,0.0,0.9
v2163,0.3,0.8
v2164,0.8,0.2
v2165,0.0,0.7
v2166,0.9,0.0
v2167,0.0,0.9
v2168,0.8,0.2
v2169,0.3,0.5
v2170,0.9,0.3
v2171,0.4,0.8
v2172,0.0,0.6
v2173,0.0,1.0
v2174,0.5,0.4
v2175,0.8,0.3
v2176,0.1,0.9
v2177,0.0,0.7
v2178,0.9,0.1
v2179,0.0,0.5
v2180,0.2,0.9
v2181,0.9,0.1
v2182,0.8,0.4
v2183,0.7,0.0
v2184,0.4,0.6
v2185,0.9,0.0
v2186,0.2,0.4
v2187,0.0,1.0
v2188,0.8,0.5
v2189,0.9,0.0
v2190,0.7,0.3
v2191,0.3,0.8
v2192,0.9,0.0
v2193,0.7,0.0
v2194,0.9,0.1
v2195,0.0,1.0
v2196,0.5,0.5
v2197,0.8,0.5
v2198,0.7,0.0
v2199,0.1,1.0
v2200,1.0,0.0
v2201,0.0,0.2
v2202,0.6,0.3
v2203,0.4,0.5
v2204,1.0,0.0
v2205,0.0,0.8
v2206,0.1,0.1
v2207,1.0,1.0
v2208,0.5,0.3
v2209,0.5,0.6
v2210,0.8,0.3
v2211,0.5,0.5
v2212,0.5,0.5
v2213,0.9,0.0
v2214,1.0,0.4
v2215,0.0,1.0
v2216,0.2,0.2
v2217,0.5,0.5
v2218,0.5,0.5
v2219,0.1,0.9
v2220,0.4,0.3
v2221,0.7,0.3
v2222,0.9,0.7
v2223,0.9,0.4
v2224,0.8,0.0
v2225,0.5,0.1
v2226,0.0,0.8
v2227,0.7,0.1
v2228,0.2,0.7
v2229,0.5,0.8
v2230,0.9,0.4
v2231,0.8,0.3
v2232,1.0,0.0
v2233,0.0,1.0
v2234,0.7,0.3
v2235,0.4,0.0
v2236,0.8,0.0
v2237,0.0,1.0
v2238,0.6,0.6
v2239,0.1,0.9
v2240,1.0,1.0
v2241,0.9,0.2
v2242,0.0,0.8
v2243,0.0,0.7
v2244,0.5,0.5
v2245,0.6,0.6
v2246,0.7,0.0
v2247,0.1,0.8
v2248,0.3,0.8
v2249,0.6,0.2
v2250,0.0,1.0
v2251,0.1,0.5
v2252,0.6,0.3
v2253,0.1,0.8
v2254,0.1,0.1
v2255,0.9,0.0
v2256,0.1,0.9
v2257,0.7,0.0
v2258,0.7,0.4
v2259,0.0,0.4
v2260,0.4,0.0
v2261,0.6,0.6
v2262,0.1,0.9
v2263,0.5,0.5
v2264,0.0,1.0
v2265,0.4,0.6
v2266,0.7,0.7
v2267,0.7,0.2
v2268,0.3,0.9
v2269,0.5,0.8
v2270,0.1,0.5
v2271,0.2,0.8
v2272,0.4,0.9
v2273,0.3,0.6
v2274,0.0,0.7
v2275,0.6,0.3
v2276,0.7,0.3
v2277,0.2,0.9
v2278,1.0,0.0
v2279,1.0,0.4
v2280,0.0,0.8
v2281,0.1,0.5
v2282,0.7,0.3
v2283,1.0,1.0
v2284,0.5,1.0
v2285,1.0,0.0
v2286,0.5,0.5
v2287,0.3,1.0
v2288,1.0,0.0
v2289,0.6,0.0
v2290,0.7,0.5
v2291,0.9,0.1
v2292,0.9,0.5
v2293,0.2,0.8
v2294,0.8,0.4
v2295,0.0,0.8
v2296,0.1,0.6
v2297,0.8,0.0
v2298,1.0,0.0
v2299,0.0,1.0
v2300,0.8,0.9
v2301,0.8,0.2
v2302,1.0,0.1
v2303,1.0,0.0
v2304,1.0,0.0
v2305,0.6,0.8
v2306,0.2,0.5
v2307,1.0,0.0
v2308,0.5,0.4
v2309,0.5,0.8
v2310,0.2,0.8
v2311,0.2,0.8
v2312,0.8,0.3
v2313,0.8,0.0
v2314,0.2,0.8
v2315,0.0,0.8
v2316,0.8,0.2
v2317,0.2,0.8
v2318,0.9,1.0
v2319,0.6,0.7
v2320,0.2,0.8
v2321,0.6,0.0
v2322,0.5,0.5
v2323,0.0,0.7
v2324,0.5,0.5
v2325,0.3,0.8
v2326,0.0,0.0
v2327,0.7,0.4
v2328,0.2,0.8
v2329,1.0,0.0
v2330,0.1,0.7
v2331,0.2,0.8
v2332,0.6,0.4
v2333,0.5,0.2
v2334,0.4,0.5
v2335,0.8,0.9
v2336,0.4,0.6
v2337,0.2,0.5
v2338,0.8,0.0
v2339,0.8,0.0
v2340,0.4,1.0
v2341,0.1,0.5
v2342,0.5,0.5
v2343,0.0,1.0
v2344,0.0,0.5
v2345,0.5,0.5
v2346,0.0,0.0
v2347,0.3,0.8
v2348,0.3,0.7
v2349,0.8,0.4
v2350,0.1,0.6
v2351,0.2,0.8
v2352,0.0,1.0
v2353,0.0,0.6
v2354,0.0,1.0
v2355,0.8,0.0
v2356,0.5,0.5
v2357,0.8,0.0
v2358,0.0,0.7
v2359,1.0,0.0
v2360,0.4,0.8
v2361,0.0,0.9
v2362,0.2,0.1
v2363,1.0,0.5
v2364,0.9,0.3
v2365,1.0,1.0
v2366,0.0,0.0
v2367,1.0,0.0
v2368,0.7,0.5
v2369,0.6,0.0
v2370,0.3,0.4
v2371,0.5,0.6
v2372,0.3,0.8
v2373,0.0,0.4
v2374,0.4,0.8
v2375,0.5,0.5
v2376,0.6,0.3
v2377,0.8,0.2
v2378,0.2,0.9
v2379,0.7,0.1
v2380,0.0,0.8
v2381,0.9,0.0
v2382,1.0,0.0
v2383,0.5,0.5
v2384,0.5,0.5
v2385,0.0,0.8
v2386,0.2,0.7
v2387,0.5,0.5
v2388,1.0,0.1
v2389,0.4,0.0
v2390,0.2,0.7
v2391,0.0,0.8
v2392,0.2,0.4
v2393,0.1,0.5
v2394,0.7,0.5
v2395,0.0,0.8
v2396,0.0,0.9
v2397,0.2,0.2
v2398,0.0,0.9
v2399,0.0,1.0
v2400,0.0,0.7
v2401,0.2,0.9
v2402,0.7,0.1
v2403,1.0,0.7
v2404,1.0,0.0
v2405,0.0,0.8
v2406,0.6,0.7
v2407,0.9,1.0
v2408,0.2,0.7
v2409,0.6,0.3
v2410,0.7,0.2
v2411,1.0,0.0
v2412,0.1,0.6
v2413,0.3,0.7
v2414,0.0,0.8
v2415,0.5,0.5
