,A,B,C,D,E,F,G,H
v406,0.4,0.5,0.9,0.0,0.8,0.8,0.3,0.9
v407,0.2,0.4,0.8,0.0,0.0,0.7,0.0,0.3
v408,0.7,0.8,0.5,0.5,0.5,0.5,0.2,0.5
v409,0.9,0.6,0.4,0.5,0.5,0.5,0.6,0.6
v410,0.8,0.1,0.2,0.2,0.8,0.1,0.8,0.2
v411,0.7,0.1,0.9,0.0,0.8,0.9,0.0,1.0
v412,0.9,0.0,0.0,0.2,0.8,0.0,0.6,0.0
v413,0.9,0.7,0.8,0.2,0.8,0.2,0.2,0.8
v414,0.2,0.7,0.9,0.1,0.5,0.4,0.0,0.5
v415,0.8,1.0,0.8,0.5,0.6,0.5,0.5,0.5
v416,0.3,0.9,0.9,0.2,0.1,0.9,0.0,0.8
v417,0.5,0.0,0.5,0.3,0.9,0.2,0.3,0.7
v418,0.9,0.0,0.5,0.7,0.6,0.3,0.3,0.6
v419,0.0,0.0,0.8,0.0,0.3,0.6,0.0,0.9
v420,0.5,0.5,1.0,0.5,0.5,0.7,0.0,0.8
v421,0.7,0.0,0.1,0.9,0.6,0.0,0.8,0.1
v422,0.0,0.8,1.0,0.0,0.0,0.9,0.0,0.2
v423,0.9,0.0,0.2,0.8,0.5,0.5,0.9,0.6
v424,0.8,0.5,0.0,0.7,0.3,0.1,0.8,0.0
v425,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v426,0.9,0.0,0.2,0.9,0.6,0.0,0.9,0.2
v427,0.8,0.0,0.5,0.7,0.5,0.1,0.9,0.2
v428,0.0,1.0,0.8,0.1,0.0,0.8,0.0,0.3
v429,0.7,0.0,0.2,0.5,0.6,0.1,0.6,0.2
v430,0.9,0.1,0.8,0.8,0.9,0.5,0.9,0.8
v431,0.6,0.0,0.6,0.0,0.5,0.0,0.6,0.6
v432,0.2,0.0,0.0,0.3,0.5,0.0,0.7,0.1
v433,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
v434,1.0,0.0,0.5,0.7,0.8,0.3,0.6,0.4
v435,0.5,0.4,0.9,0.0,0.0,1.0,0.0,0.0
v436,1.0,0.0,0.7,0.7,0.8,0.7,0.9,0.7
v437,0.7,0.9,0.9,0.5,0.6,0.8,0.5,0.7
v438,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v439,0.8,0.2,0.9,0.4,0.7,0.2,0.2,0.5
v440,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v441,0.9,0.0,0.2,0.5,0.8,0.1,0.7,0.3
v442,0.3,0.6,0.9,0.3,,0.6,0.3,0.5
v443,0.6,0.6,0.8,0.4,0.6,0.5,0.1,0.9
v444,1.0,0.0,0.0,0.7,0.9,0.0,0.7,0.0
v445,0.9,0.0,0.8,0.4,0.8,0.0,0.3,0.5
v446,0.8,0.0,0.1,0.9,0.8,0.1,1.0,0.1
v447,0.9,0.0,0.5,0.7,0.7,0.1,0.4,0.2
v448,0.5,1.0,1.0,0.0,0.6,0.7,0.0,0.7
v449,0.7,0.0,0.7,0.1,0.6,0.0,0.0,0.8
v450,0.5,0.5,0.8,0.5,0.4,0.9,0.3,0.7
v451,0.9,0.0,0.4,0.4,0.8,0.1,0.5,0.2
v452,0.5,1.0,0.9,0.0,0.4,0.1,0.0,0.2
v453,0.9,0.0,0.5,0.6,0.7,0.5,0.9,0.6
v454,0.5,1.0,0.7,0.5,0.0,1.0,0.0,0.0
v455,0.9,0.0,0.5,0.7,0.7,0.1,0.8,0.6
v456,,,0.6,,,,,
v457,0.7,0.9,1.0,0.2,0.6,0.9,0.0,0.7
v458,0.6,0.8,1.0,0.6,0.5,0.2,0.2,0.2
v459,,0.0,0.2,0.4,,0.1,0.0,0.4
v460,0.8,0.9,0.9,0.9,0.3,0.9,0.5,0.9
v461,0.5,0.5,1.0,0.0,0.2,0.8,0.0,0.5
v462,1.0,0.0,0.5,0.6,0.9,0.0,0.7,0.6
v463,0.9,0.0,0.0,0.9,0.8,0.0,1.0,0.2
v464,0.6,1.0,0.9,0.3,0.0,0.8,0.0,0.3
v465,0.9,0.0,0.2,0.4,0.7,0.1,0.9,0.4
v466,0.0,0.8,0.5,0.5,0.5,0.5,0.0,0.7
v467,0.8,0.1,0.2,0.7,0.6,0.2,0.7,0.5
v468,0.7,0.0,0.2,1.0,0.4,0.5,0.6,0.4
v469,0.9,0.0,0.5,0.7,0.5,0.0,0.7,0.6
v470,0.8,0.0,0.0,1.0,0.6,0.0,0.8,0.3
v471,0.8,0.8,0.9,0.2,0.7,0.1,0.6,0.5
v472,0.9,0.1,0.6,0.8,0.6,0.5,0.7,0.3
v473,1.0,0.0,0.2,0.2,0.6,0.2,0.9,0.4
v474,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5
v475,0.8,0.0,0.2,0.3,0.8,0.2,0.1,0.7
v476,0.7,0.3,0.6,0.3,0.4,0.4,0.5,0.3
v477,0.8,0.1,0.6,0.2,0.8,0.5,0.4,0.7
v478,0.8,0.0,0.7,0.9,0.8,0.2,0.6,0.9
v479,0.0,0.2,0.8,0.0,0.0,0.6,0.0,0.6
v480,0.9,0.0,0.1,0.8,0.3,0.1,0.6,0.5
v481,0.0,0.8,0.7,0.0,0.1,0.7,0.0,0.3
v482,0.6,0.0,0.8,0.2,0.7,0.6,0.1,0.7
v483,0.9,0.5,0.5,0.8,0.7,0.5,0.8,0.5
v484,1.0,0.3,0.9,0.8,0.8,0.5,0.6,0.8
v485,0.3,0.9,0.8,0.0,0.0,0.7,0.0,0.4
v486,0.6,0.0,0.4,0.6,0.6,0.3,0.6,0.6
v487,0.6,0.7,0.9,0.0,0.4,0.7,0.3,0.6
v488,0.9,0.2,0.5,0.4,0.3,0.4,0.7,0.6
v489,0.0,1.0,0.8,0.1,0.0,0.7,0.2,0.5
v490,0.5,0.7,0.7,0.3,0.5,0.7,0.5,0.5
v491,0.9,0.1,0.3,0.8,0.5,0.1,0.7,0.2
v492,0.0,0.2,0.4,0.1,0.0,0.6,0.0,0.0
v493,1.0,0.0,0.5,0.8,0.8,0.1,0.9,0.5
v494,0.7,0.0,0.5,0.6,1.0,0.0,0.1,0.6
v495,1.0,0.0,0.5,0.8,0.8,0.5,0.8,0.5
v496,0.9,0.0,0.1,0.7,1.0,0.0,0.7,0.1
v497,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v498,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v499,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5
v500,0.8,0.5,0.8,0.6,0.3,0.3,0.6,0.5
v501,1.0,0.0,0.1,0.5,1.0,0.0,0.7,0.5
v502,0.5,1.0,1.0,0.0,0.0,0.8,0.0,0.5
v503,0.9,0.5,0.5,0.9,0.5,0.5,0.5,0.5
v504,0.8,0.0,0.9,0.0,0.8,0.5,0.6,0.9
v505,0.3,0.7,0.8,0.0,0.3,0.8,0.0,0.5
v506,0.5,1.0,0.9,0.6,0.0,1.0,0.0,0.7
v507,0.5,0.6,0.9,0.4,0.5,0.5,0.2,0.7
v508,0.2,1.0,0.9,0.0,0.0,0.9,0.0,0.2
v509,1.0,0.0,0.0,0.5,0.5,0.0,0.8,0.0
v510,0.9,0.9,0.5,0.3,0.5,0.8,0.5,0.3
v511,0.7,0.2,0.5,0.5,0.5,0.5,0.5,0.5
v512,0.6,0.8,0.9,0.0,0.3,0.9,0.1,0.9
v513,0.9,0.0,0.2,0.8,0.6,0.3,0.7,0.4
v514,0.5,0.7,0.9,0.5,,0.7,0.3,0.7
v515,0.1,1.0,0.5,0.5,0.0,0.5,0.0,0.4
v516,0.1,0.8,0.9,0.2,0.2,0.8,0.0,0.5
v517,0.5,0.9,0.9,0.4,0.3,0.8,0.0,0.6
v518,0.9,0.9,0.5,0.7,0.7,0.7,0.6,0.5
v519,0.5,0.8,0.7,0.6,0.7,1.0,0.6,0.8
v520,1.0,0.0,0.5,0.6,0.5,0.1,0.6,0.3
v521,1.0,0.0,0.5,0.5,0.8,0.0,0.9,0.5
v522,0.7,0.0,0.6,0.6,0.9,0.5,0.6,0.7
v523,0.8,0.0,0.3,0.9,0.8,0.3,0.6,0.4
v524,0.5,0.9,0.7,0.0,0.5,0.5,0.0,0.5
v525,0.0,0.8,0.8,0.0,0.0,0.8,0.0,0.5
v526,0.6,0.8,0.9,0.8,0.7,0.1,0.2,0.3
v527,0.9,0.0,0.2,0.7,0.2,0.0,0.8,0.3
v528,0.5,0.7,0.7,0.5,0.4,0.7,0.1,0.6
v529,1.0,0.0,0.0,0.3,0.3,0.0,0.7,0.5
v530,0.8,0.2,0.7,0.6,0.7,0.8,0.7,0.6
v531,0.3,0.6,0.8,0.0,0.3,0.9,0.0,0.8
v532,0.1,0.0,0.6,0.0,0.4,0.6,0.0,0.9
v533,1.0,,,,,,,
v534,0.5,0.2,0.9,0.5,0.5,0.5,0.5,0.5
v535,1.0,0.0,0.5,0.8,0.8,0.5,0.8,0.5
v536,0.8,0.3,0.7,0.7,1.0,0.7,0.6,0.7
v537,0.4,0.8,1.0,0.0,0.8,1.0,0.3,0.9
v538,0.5,1.0,0.9,0.1,0.2,0.9,0.0,0.6
v539,0.9,0.2,0.6,0.3,0.7,0.1,0.5,0.3
v540,0.8,0.7,1.0,0.5,0.5,0.5,0.8,1.0
v541,0.2,0.5,0.9,0.2,0.0,0.8,0.0,0.3
v542,0.2,0.9,1.0,0.0,0.3,0.8,0.0,0.7
v543,0.7,0.0,0.5,0.6,1.0,0.2,0.5,0.5
v544,0.6,0.0,0.8,0.6,0.5,0.4,0.3,0.9
v545,0.7,0.1,0.2,0.7,0.2,0.2,0.9,0.5
v546,0.8,0.3,0.4,0.8,0.5,0.0,0.8,0.3
v547,0.8,0.0,0.8,0.2,0.9,0.1,0.5,0.3
v548,1.0,0.7,0.5,0.6,0.6,0.5,0.5,0.5
v549,0.4,0.8,0.5,0.2,0.3,0.6,0.2,0.3
v550,0.7,0.8,0.8,0.0,0.6,0.6,0.2,0.5
v551,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v552,0.7,0.0,0.9,0.1,0.5,0.5,0.5,0.5
v553,1.0,0.0,0.5,0.5,0.7,0.0,0.0,0.5
v554,0.2,0.6,0.8,0.4,0.5,0.6,0.0,0.5
v555,1.0,0.0,0.1,0.8,0.8,0.1,0.9,0.8
v556,0.9,0.0,0.1,1.0,0.6,0.0,0.7,0.1
v557,0.2,0.0,0.9,0.0,0.4,0.3,0.5,0.9
v558,0.6,0.1,0.6,0.4,0.4,0.4,0.3,0.5
v559,0.3,0.2,1.0,0.0,0.3,0.5,0.0,0.5
v560,0.6,0.0,0.8,0.1,0.6,0.7,0.0,0.9
v561,0.5,0.2,0.6,0.3,0.5,0.4,0.4,0.8
v562,0.8,0.0,0.4,0.8,0.8,0.5,0.8,0.5
v563,0.0,1.0,0.5,0.0,0.0,0.9,0.0,0.5
v564,0.5,0.2,0.5,0.2,0.2,0.9,0.2,0.6
v565,0.3,0.8,0.9,0.0,0.2,0.8,0.1,0.7
v566,0.9,0.0,0.4,0.9,0.9,0.3,1.0,0.5
v567,0.0,0.9,1.0,0.0,0.3,0.9,0.0,0.5
v568,0.4,0.4,0.9,0.3,0.5,0.6,0.2,0.5
v569,0.9,1.0,0.8,0.5,0.5,1.0,0.2,0.5
v570,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
v571,0.6,0.6,0.9,0.0,0.1,0.8,0.2,0.6
v572,1.0,1.0,,,,,,
v573,0.8,0.0,0.6,0.8,0.7,0.2,0.5,0.3
v574,0.8,0.0,0.1,0.7,1.0,0.1,0.9,0.3
v575,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v576,0.0,0.7,0.9,0.0,0.5,0.6,0.0,0.5
v577,0.0,1.0,0.9,0.0,0.0,0.8,0.0,0.5
v578,0.8,0.6,0.8,0.0,0.0,0.3,0.0,0.6
v579,0.7,0.7,0.8,0.5,0.9,0.5,0.8,0.8
v580,0.7,0.0,0.7,0.7,0.7,0.3,0.7,0.7
v581,0.8,0.5,0.6,0.6,0.6,0.6,0.6,0.8
v582,0.2,0.7,0.7,0.1,0.0,0.5,0.0,0.6
v583,0.0,1.0,0.9,0.0,0.0,0.8,0.0,0.5
v584,0.8,0.0,0.5,0.4,0.9,0.3,0.8,0.4
v585,0.9,0.2,0.8,0.5,0.5,0.5,0.5,0.5
v586,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v587,0.5,0.9,1.0,0.0,0.0,0.9,0.5,0.5
v588,0.5,1.0,0.8,0.5,0.5,0.3,0.0,0.5
v589,0.8,0.5,0.5,0.7,0.5,0.5,1.0,0.5
v590,0.5,0.5,0.2,0.1,0.2,0.5,0.5,0.3
v591,0.5,0.6,0.8,0.3,0.3,0.5,0.3,0.5
v592,0.6,0.5,0.8,0.4,0.3,0.5,0.5,0.7
v593,0.7,0.0,0.7,0.2,0.8,0.6,0.3,0.8
v594,0.6,0.3,1.0,,0.4,0.7,0.4,
v595,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v596,1.0,0.5,0.8,0.7,0.8,0.8,0.8,0.8
v597,0.4,0.9,1.0,0.0,0.4,0.9,0.4,0.6
v598,0.8,1.0,0.7,0.6,0.6,0.5,0.0,0.5
v599,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
v600,0.9,0.0,0.0,0.7,0.2,0.3,0.7,0.3
v601,0.8,0.0,0.6,0.4,0.6,0.5,0.5,0.4
v602,0.5,1.0,0.8,0.0,0.0,0.7,0.0,0.7
v603,0.9,0.0,0.2,1.0,0.8,0.2,0.8,0.4
v604,0.7,0.5,0.5,0.7,0.0,0.0,0.0,0.0
v605,0.9,0.0,0.3,0.5,0.7,0.1,0.3,0.5
v606,0.5,0.5,0.5,0.2,0.0,0.5,0.0,0.5
v607,1.0,0.2,0.2,0.6,0.7,0.1,0.5,0.3
v608,1.0,0.2,0.0,0.8,0.2,0.0,0.1,0.1
v609,0.5,0.8,0.5,0.0,0.0,0.6,0.0,0.0
v610,0.5,0.8,1.0,0.0,0.1,0.7,0.0,0.5
v611,0.8,0.3,0.6,0.4,0.7,0.5,0.6,0.6
v612,1.0,0.0,0.5,0.3,0.5,0.0,0.5,0.5
v613,0.3,0.0,0.7,,0.0,0.0,0.0,
v614,1.0,0.0,0.6,0.8,0.9,0.2,0.9,0.6
v615,0.9,0.0,0.7,0.1,0.5,0.0,0.4,0.3
v616,0.2,0.8,0.9,0.0,0.4,0.8,0.0,0.7
v617,1.0,0.3,0.6,0.7,0.8,0.3,0.3,0.5
v618,0.2,0.5,0.2,0.1,0.0,0.0,0.0,0.1
v619,1.0,0.0,0.0,1.0,0.7,0.0,1.0,0.2
v620,0.7,1.0,0.9,0.0,0.0,0.4,0.0,0.4
v621,0.9,1.0,0.7,0.7,0.2,0.8,0.0,0.0
v622,0.7,0.7,0.9,0.5,0.8,0.8,0.5,0.8
v623,1.0,0.0,0.3,0.2,0.8,0.1,0.8,0.5
v624,,1.0,,0.4,0.2,,,
v625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v626,0.4,0.9,0.9,0.2,0.1,0.9,0.0,0.0
v627,0.8,0.0,0.1,1.0,0.2,0.0,0.8,0.1
v628,0.3,0.1,0.8,0.2,0.8,0.7,0.2,0.7
v629,0.6,0.0,1.0,0.0,0.8,0.3,0.3,0.9
v630,0.5,0.1,0.6,0.6,0.6,0.5,0.5,0.7
v631,0.9,0.0,0.2,0.7,0.5,0.1,0.7,0.5
v632,0.0,0.0,,0.0,0.4,0.2,0.0,0.1
v633,0.9,0.7,0.8,0.2,0.2,0.2,0.1,0.3
v634,0.4,0.0,0.8,0.0,0.5,0.6,0.1,0.6
v635,0.4,0.7,0.8,0.2,0.3,0.7,0.0,0.8
v636,1.0,0.0,0.5,0.5,1.0,0.0,0.7,0.5
v637,0.7,0.1,0.2,0.1,0.4,0.1,0.0,0.5
v638,0.9,0.5,,0.9,0.6,0.6,0.8,0.5
v639,1.0,0.0,0.5,0.8,0.5,0.1,0.5,0.5
v640,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v641,0.9,0.5,0.3,0.4,0.5,0.5,0.6,0.3
v642,0.8,0.1,0.6,0.5,0.2,0.1,0.6,0.2
v643,0.6,0.0,0.0,0.2,0.1,0.0,0.0,0.0
v644,0.9,0.0,0.1,0.8,0.7,0.0,0.9,0.1
v645,0.5,0.8,0.6,0.5,0.0,0.5,0.1,0.3
v646,0.0,1.0,0.7,0.0,0.0,0.9,0.0,0.0
v647,0.0,1.0,0.8,0.0,0.0,0.8,0.0,0.3
v648,0.2,0.6,1.0,0.0,0.3,0.9,0.1,0.8
v649,0.5,0.0,0.6,0.1,0.9,0.5,0.1,0.5
v650,0.9,0.0,0.7,0.5,0.5,0.4,0.7,0.4
v651,1.0,0.0,0.2,0.6,0.6,0.0,0.0,0.0
v652,0.2,1.0,1.0,0.0,0.0,0.6,0.2,0.7
v653,0.7,0.4,0.5,0.5,0.5,0.5,0.5,0.5
v654,0.8,0.0,0.1,1.0,0.6,0.1,0.9,0.5
v655,0.6,1.0,0.7,0.1,0.3,0.8,0.0,0.5
v656,0.5,0.9,1.0,0.0,0.2,0.8,0.0,0.7
v657,0.7,0.0,0.1,0.3,0.8,0.0,0.9,0.1
v658,0.1,0.6,0.9,0.0,0.9,1.0,0.0,0.6
v659,0.3,0.6,0.7,0.0,0.0,1.0,0.0,0.5
v660,0.5,0.9,0.9,0.1,0.1,0.9,0.0,0.6
v661,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
v662,1.0,0.0,0.2,0.8,0.7,0.2,0.8,0.4
v663,0.6,0.5,1.0,0.0,0.7,0.8,0.2,0.9
v664,,0.0,0.2,0.2,0.6,0.0,0.7,0.2
v665,0.9,0.0,0.0,0.4,0.2,0.0,0.4,0.0
v666,0.5,0.5,0.7,0.1,0.2,0.7,0.1,0.5
v667,0.0,0.7,0.7,0.0,0.0,0.7,0.0,0.0
v668,1.0,0.0,0.0,1.0,0.7,0.0,0.5,0.2
v669,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v670,0.5,0.0,1.0,0.0,0.5,0.5,0.0,1.0
v671,0.0,0.0,0.0,0.8,0.7,0.0,0.5,0.0
v672,0.4,0.0,0.2,0.3,0.7,0.2,0.3,0.2
v673,0.0,1.0,0.8,0.0,0.0,0.8,0.0,0.3
v674,0.1,0.9,0.9,0.2,0.2,0.6,0.2,0.5
v675,0.0,0.6,0.7,0.0,0.4,0.7,0.0,0.3
v676,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0
v677,1.0,0.0,0.3,0.1,1.0,0.0,0.4,0.1
v678,0.6,0.5,0.6,0.5,0.5,0.6,0.5,0.5
v679,1.0,0.1,0.1,0.8,0.5,0.5,0.1,0.1
v680,0.8,0.8,0.2,0.2,0.4,0.7,0.0,0.2
v681,1.0,,,,,,,
v682,,,0.5,0.5,0.5,0.5,0.5,0.5
v683,0.2,1.0,0.7,0.2,0.0,0.7,0.0,0.2
v684,1.0,0.0,0.0,0.7,1.0,0.0,1.0,0.0
v685,0.5,0.2,0.5,0.5,,0.5,0.5,0.5
v686,0.8,0.7,0.8,0.4,0.5,0.9,0.1,0.9
v687,0.7,0.2,0.9,0.6,0.4,0.2,0.0,0.2
v688,0.9,0.0,0.2,0.9,0.5,0.0,0.9,0.5
v689,0.9,0.0,0.0,1.0,0.2,0.0,0.2,0.0
v690,0.8,0.0,0.9,,1.0,0.8,0.7,
v691,0.5,0.1,0.6,0.1,0.6,0.6,0.1,0.6
v692,0.8,0.0,0.3,0.9,0.4,0.1,1.0,0.5
v693,0.5,0.3,0.8,0.0,0.3,0.8,0.0,0.5
v694,0.1,0.9,0.9,0.0,0.0,1.0,0.0,0.5
v695,1.0,0.0,0.0,0.4,0.3,0.0,0.7,0.1
v696,0.2,1.0,0.9,0.2,0.1,0.9,0.1,0.7
v697,,0.2,0.4,0.6,0.5,0.6,0.7,0.4
v698,0.0,1.0,0.2,0.0,0.0,0.2,0.0,0.0
v699,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v700,0.4,0.0,0.4,0.7,0.8,0.0,0.0,0.5
v701,0.5,0.6,0.7,0.5,0.4,0.7,0.2,0.8
v702,0.1,1.0,0.9,0.0,0.1,0.9,0.0,0.2
v703,0.0,1.0,0.9,0.2,0.0,0.8,0.0,0.3
v704,0.8,0.2,0.6,0.5,0.5,0.6,0.3,0.6
v705,0.9,0.0,0.0,1.0,0.7,0.1,0.8,0.2
v706,0.5,0.0,0.7,0.1,0.9,0.3,0.5,0.8
v707,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v708,0.6,0.0,0.5,0.5,0.5,0.3,0.5,0.5
v709,0.9,0.4,0.7,0.9,0.6,0.4,0.6,0.3
v710,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v711,0.6,1.0,1.0,0.0,0.2,0.6,0.0,0.2
v712,0.2,1.0,0.8,0.1,0.5,0.7,0.0,0.3
v713,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v714,0.3,0.9,0.4,0.2,0.5,0.7,0.0,0.2
v715,0.6,0.9,0.5,0.8,0.8,0.7,0.5,0.5
v716,0.9,0.0,0.5,0.5,0.8,0.5,0.8,0.8
v717,0.7,0.0,0.3,0.9,0.6,0.0,0.8,0.2
v718,1.0,0.0,0.1,,0.7,0.0,0.7,
v719,0.0,0.9,0.9,0.0,0.2,0.8,0.0,0.2
v720,0.3,0.5,1.0,0.0,0.5,1.0,0.0,0.8
v721,0.3,0.7,0.9,0.2,0.5,0.8,0.1,0.5
v722,0.7,0.9,0.9,0.4,0.6,0.6,0.5,0.5
v723,0.7,0.2,0.8,0.6,0.7,0.7,0.5,0.7
v724,0.0,1.0,1.0,0.2,0.5,1.0,0.1,0.2
v725,1.0,0.0,0.5,0.6,0.5,0.1,0.8,0.5
v726,0.2,0.9,0.9,0.0,0.0,0.9,0.0,0.5
v727,1.0,0.0,0.0,0.5,0.4,0.0,0.6,0.4
v728,0.9,0.0,0.1,0.9,0.3,0.2,0.8,0.5
v729,0.6,0.2,0.6,0.3,0.8,0.4,0.4,0.8
v730,0.0,0.3,0.2,0.0,0.0,0.2,0.0,0.2
v731,0.5,0.0,0.5,0.9,0.7,0.3,1.0,0.4
v732,1.0,0.0,1.0,0.0,0.7,,,0.7
v733,1.0,0.9,0.1,0.1,0.0,0.5,0.8,0.5
v734,0.0,0.6,0.5,0.0,0.0,0.5,0.0,0.0
v735,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5
v736,0.2,0.9,0.6,0.4,0.0,0.8,0.0,0.7
v737,0.9,0.0,0.0,0.9,0.4,0.0,0.7,0.2
v738,0.2,0.6,0.9,0.0,0.5,0.3,0.0,0.5
v739,0.7,0.8,1.0,0.1,0.9,0.9,0.7,0.9
v740,0.6,0.5,0.9,0.2,0.3,0.4,0.2,0.7
v741,0.4,0.6,1.0,0.1,0.4,0.4,0.1,0.6
v742,0.7,0.8,1.0,0.4,0.6,0.7,0.6,0.7
v743,1.0,0.0,0.1,0.9,0.8,0.2,0.8,0.3
v744,0.5,0.0,0.9,0.0,0.5,0.7,0.1,0.7
v745,1.0,0.0,0.5,0.4,0.0,0.0,0.0,0.4
v746,0.4,0.5,0.9,0.0,0.4,0.8,0.0,0.8
v747,1.0,,,,,,,
v748,0.9,0.0,0.1,0.4,0.7,0.1,0.9,0.2
v749,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5
v750,0.1,1.0,0.9,0.2,0.0,0.5,0.0,0.2
v751,0.2,0.4,0.5,0.0,0.3,0.5,0.0,0.5
v752,0.3,0.1,0.8,0.1,0.2,0.5,0.1,0.3
v753,1.0,0.2,0.4,0.6,0.6,0.3,0.6,0.5
v754,0.7,0.0,0.8,0.0,1.0,,0.2,0.5
v755,0.2,0.1,0.6,0.0,0.4,0.2,0.0,0.2
v756,0.2,0.7,0.8,0.2,0.8,0.8,0.0,0.8
v757,0.7,0.4,0.8,0.5,0.6,0.8,0.7,0.6
v758,0.9,0.0,0.1,0.7,0.9,0.2,1.0,0.7
v759,0.2,0.6,0.9,0.2,0.6,0.6,0.0,0.7
v760,1.0,0.0,0.7,0.5,0.7,0.3,0.8,0.3
v761,0.5,1.0,0.9,0.0,0.0,0.8,0.0,0.8
v762,0.5,0.8,0.9,0.4,0.5,0.9,0.2,0.7
v763,0.9,0.0,,0.9,0.7,0.0,0.9,0.4
v764,0.8,0.9,0.7,0.2,0.5,0.6,0.2,0.5
v765,1.0,0.1,0.5,0.8,0.9,0.2,0.8,0.6
v766,1.0,0.0,0.5,0.2,1.0,0.2,0.5,0.5
v767,0.3,0.5,0.8,0.1,0.3,0.7,0.0,0.6
v768,1.0,0.2,0.7,0.8,0.0,0.6,0.0,0.0
v769,1.0,,,,,,,
v770,,,0.9,,,0.9,,
v771,1.0,0.0,0.0,0.7,0.8,0.0,0.5,0.2
v772,0.5,0.8,1.0,0.1,0.3,0.8,0.0,0.8
v773,0.0,0.9,0.8,0.0,0.1,0.7,0.0,0.4
v774,0.5,0.0,0.4,0.1,0.3,0.2,0.2,0.5
v775,0.8,0.7,0.9,0.0,0.1,0.7,0.0,0.5
v776,0.1,0.2,0.8,0.0,0.1,0.7,0.1,0.6
v777,1.0,0.0,0.0,0.5,0.7,0.0,0.6,0.3
v778,0.2,1.0,0.8,0.5,0.3,0.0,0.0,0.5
v779,0.4,0.8,0.7,0.2,0.2,0.8,0.0,0.5
v780,0.9,0.1,0.5,0.7,0.7,0.6,0.7,0.6
v781,0.1,0.9,1.0,0.0,0.0,0.5,0.0,0.5
v782,0.8,0.0,0.6,0.6,0.9,0.4,0.8,0.8
v783,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v784,0.8,0.5,0.6,0.8,0.7,0.6,0.7,0.6
v785,0.8,0.7,0.4,0.8,0.5,0.2,0.2,0.5
v786,0.1,0.9,0.8,0.0,0.1,0.9,0.0,0.5
v787,0.4,0.4,0.9,0.2,0.1,0.9,0.0,0.8
v788,0.7,0.0,0.8,0.0,0.8,0.7,0.3,0.9
v789,0.6,0.6,0.9,0.0,0.5,0.8,0.0,0.7
v790,0.8,0.0,0.0,0.9,0.1,0.0,0.8,0.6
v791,0.2,0.8,0.8,0.0,0.4,1.0,0.0,0.2
v792,0.7,1.0,0.9,0.5,0.5,0.9,0.5,0.9
v793,,0.0,0.8,0.4,0.8,0.1,0.0,0.5
v794,1.0,0.0,0.0,0.6,0.8,0.0,0.5,0.5
v795,0.7,0.7,0.6,0.0,0.8,0.8,0.0,0.7
v796,0.9,0.0,0.7,0.2,0.2,0.2,0.8,0.5
v797,0.7,0.1,0.8,0.4,0.3,0.4,0.2,0.8
v798,0.7,0.3,0.5,0.2,0.4,0.0,0.1,0.8
v799,0.9,0.1,0.5,0.4,0.8,0.2,0.2,0.5
v800,0.7,0.1,0.5,0.3,0.5,0.0,0.7,0.7
v801,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0
v802,0.8,0.4,0.1,0.5,0.3,0.0,0.2,0.2
v803,0.4,0.9,0.6,0.1,0.7,0.3,0.0,0.3
v804,0.8,0.5,0.8,0.5,0.5,0.5,0.5,0.5
v805,1.0,0.0,0.0,0.6,0.6,0.0,0.6,0.5
v806,0.9,0.6,0.7,0.6,0.8,0.7,0.7,
v807,0.5,1.0,0.8,0.3,0.3,0.8,0.1,0.5
v808,0.4,0.0,0.4,0.1,0.2,0.2,0.1,0.4
v809,0.8,0.2,0.2,0.4,0.6,0.1,0.4,0.6
v810,0.6,0.0,0.3,0.4,0.5,0.0,0.6,0.5
v811,1.0,0.0,0.4,0.4,0.7,0.3,0.9,0.4
