,A,B,C,D,E,F,H,I
v434,0.2,0.4,0.4,0.3,0.3,0.3,0.3,0.2
v435,0.9,0.1,0.4,0.6,0.5,0.7,,0.5
v436,0.0,1.0,0.1,0.4,0.5,0.1,0.1,0.1
v437,,,0.7,,,,,
v438,0.3,0.0,0.0,0.4,0.9,0.3,0.0,0.3
v439,1.0,0.0,0.0,0.6,0.6,0.6,0.0,0.5
v440,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
v441,0.3,0.7,0.3,0.3,0.2,0.3,0.3,0.2
v442,0.6,0.0,0.2,0.5,0.9,0.5,,0.4
v443,0.2,1.0,0.9,0.0,0.0,0.0,0.6,0.0
v444,0.0,0.9,1.0,0.0,0.0,0.0,,0.0
v445,0.8,0.0,0.7,0.7,0.7,0.7,,0.6
v446,0.8,0.7,0.7,0.3,0.3,,0.4,0.0
v447,,0.9,0.6,0.7,0.0,0.0,,0.8
v448,0.3,0.0,0.0,0.1,0.2,0.0,0.4,0.1
v449,1.0,0.0,,0.9,0.9,0.5,,0.7
v450,,,,,0.0,0.0,,0.0
v451,0.9,0.0,,0.5,0.5,0.5,0.7,0.6
v452,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.4
v453,1.0,0.0,0.0,0.6,0.0,,0.0,0.0
v454,0.7,0.2,0.1,0.6,0.4,,,
v455,0.8,0.0,0.6,0.8,0.0,0.2,,0.0
v456,0.7,0.1,,0.5,0.6,0.5,,0.4
v457,0.4,0.8,0.0,0.2,0.0,0.0,0.3,0.8
v458,0.3,0.3,0.0,0.0,0.0,0.5,0.0,0.0
v459,0.3,0.2,0.0,,0.1,0.1,,0.0
v460,0.7,0.2,,,,,,
v461,0.9,0.0,0.4,0.8,0.7,,,0.5
v462,0.9,0.0,0.2,0.6,0.9,0.5,0.2,0.4
v463,0.0,0.1,0.0,0.0,0.5,0.0,0.7,0.0
v464,0.9,0.0,,0.9,0.8,0.9,,0.8
v465,0.1,1.0,0.9,0.3,0.0,0.0,0.0,0.0
v466,0.8,0.7,0.0,0.7,0.3,0.5,0.4,0.0
v467,0.6,0.6,0.8,0.8,0.4,,,
v468,0.8,0.0,0.0,0.8,0.6,0.9,0.0,0.6
v469,1.0,0.0,,0.4,0.6,0.4,,0.4
v470,0.6,0.0,0.0,0.3,0.3,0.7,0.0,0.2
v471,0.6,0.1,0.0,0.4,0.2,0.0,0.0,0.0
v472,0.8,0.2,0.4,0.8,0.5,0.5,0.3,0.5
v473,0.7,0.0,0.0,,,,,
v474,0.2,0.7,0.7,0.4,0.0,0.6,0.0,0.3
v475,0.7,0.2,0.3,0.4,0.3,0.3,0.1,0.0
v476,0.7,0.0,0.2,0.0,0.4,0.7,0.5,0.2
v477,1.0,0.0,,,,1.0,,
v478,1.0,0.0,0.1,0.5,0.5,0.7,0.2,0.3
v479,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0
v480,0.7,0.0,0.0,0.2,0.1,0.1,,0.1
v481,0.7,0.4,,0.9,0.1,,,
v482,0.3,1.0,0.5,0.4,0.4,0.4,0.0,0.5
v483,0.3,0.7,0.5,0.7,0.5,,0.2,
v484,,0.7,,0.4,0.0,0.2,,0.2
v485,0.0,1.0,0.8,0.0,0.0,0.0,,0.0
v486,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
v487,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v488,0.5,0.0,0.0,0.4,,0.4,1.0,
v489,0.4,0.4,0.3,0.5,0.5,0.3,,0.3
v490,0.9,0.0,0.2,0.7,0.5,0.7,0.2,0.5
v491,0.7,0.5,0.5,0.5,0.5,0.0,0.3,0.0
v492,0.0,0.9,0.9,0.6,0.0,0.0,0.0,0.2
v493,0.7,0.7,0.8,0.3,0.0,0.0,0.0,0.0
v494,1.0,0.0,0.0,0.9,0.9,1.0,0.2,0.5
v495,0.3,0.3,0.3,0.4,0.1,0.3,0.0,0.2
v496,1.0,0.0,0.0,0.7,0.2,0.7,0.1,0.2
v497,1.0,0.0,0.3,0.8,0.9,0.8,,0.6
v498,,,1.0,,,,1.0,
v499,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0
v500,0.8,0.2,0.7,0.7,0.5,0.7,0.3,0.5
v501,1.0,0.0,0.0,1.0,0.9,0.9,,0.9
v502,0.0,1.0,0.8,0.1,0.0,0.0,0.0,0.0
v503,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.0
v504,0.7,0.0,0.2,0.2,0.1,0.4,0.1,0.5
v505,0.2,0.0,0.0,0.8,0.1,0.1,0.3,0.0
v506,0.9,0.0,0.0,0.4,0.0,0.0,0.6,0.4
v507,0.2,0.5,0.6,0.3,0.3,0.0,0.0,0.0
v508,0.5,0.9,0.8,0.2,0.0,0.0,0.6,0.0
v509,0.7,0.7,0.5,0.8,0.5,0.7,0.4,0.5
v510,0.9,0.0,0.0,0.6,0.4,,0.0,
v511,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0
v512,0.7,0.0,0.6,0.9,0.0,0.8,0.5,0.3
v513,0.8,0.8,,0.4,0.6,,,0.8
v514,0.4,0.3,,,0.3,,0.2,0.2
v515,0.7,0.0,0.5,0.3,0.0,0.5,0.0,0.3
v516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v517,0.8,0.3,0.3,0.5,0.5,0.5,0.3,0.3
v518,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v519,0.9,0.0,0.0,0.8,0.5,0.5,0.0,0.4
v520,0.8,0.0,0.6,0.8,0.0,0.5,0.7,0.0
v521,0.8,0.0,0.0,0.8,0.9,0.6,,0.8
v522,0.8,0.0,,,,,,
v523,,0.2,,,,,1.0,0.0
v524,0.8,0.0,0.0,0.5,0.5,0.5,,0.5
v525,0.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0
v526,0.7,0.0,0.2,0.7,0.3,0.4,0.3,0.1
v527,0.0,0.5,0.0,,0.3,0.3,0.0,0.0
v528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v529,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
v530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v531,1.0,0.0,0.0,0.9,0.2,0.7,0.0,0.2
v532,0.0,0.8,0.5,0.5,0.3,0.0,,0.0
v533,0.5,0.3,0.4,0.5,0.5,0.5,,0.6
v534,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0
v535,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
v536,0.8,0.3,0.8,0.6,0.1,0.3,0.3,0.1
v537,0.9,0.0,0.5,1.0,0.8,0.8,0.0,0.7
v538,0.4,0.5,0.3,0.3,0.3,0.3,0.0,
v539,,0.2,0.3,0.3,0.3,,0.2,
v540,0.8,0.3,0.0,0.6,0.7,0.3,0.0,0.5
v541,0.4,0.5,0.5,0.4,0.0,0.3,0.0,0.3
v542,0.7,0.0,0.1,0.5,0.3,0.2,,0.0
v543,1.0,0.0,0.0,0.7,0.8,0.4,0.0,0.5
v544,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2
v545,0.3,0.9,0.3,0.5,0.5,0.0,0.3,0.3
v546,0.5,0.0,0.0,0.8,0.8,0.3,0.0,0.6
v547,0.9,0.0,0.0,0.7,0.8,0.5,,0.5
v548,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.3
v549,0.3,0.0,0.0,0.4,0.2,0.6,0.3,0.5
v550,0.9,0.0,0.2,0.5,0.8,0.5,0.0,0.2
v551,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0
v552,0.0,0.2,0.0,0.0,0.0,0.0,0.1,
v553,0.9,0.1,0.1,1.0,1.0,0.1,0.1,0.1
v554,0.0,1.0,0.5,0.0,0.0,0.0,,0.0
v555,0.0,,,0.2,,,,
v556,0.4,0.4,0.5,0.5,0.3,0.6,0.4,0.5
v557,0.2,0.5,0.4,0.2,0.0,0.0,0.0,0.2
v558,0.5,0.0,0.0,0.0,0.8,0.0,0.0,0.0
v559,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0
v560,1.0,0.0,0.0,1.0,0.2,0.2,0.1,0.2
v561,0.1,0.0,,0.3,,0.4,0.0,0.1
v562,0.5,0.0,0.3,0.9,0.9,0.4,,
v563,1.0,0.0,,0.5,0.1,0.5,,
v564,0.5,0.4,0.2,0.4,0.2,0.4,0.1,0.5
v565,0.4,0.0,0.2,0.3,0.2,0.2,0.1,0.1
v566,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0
v567,0.6,0.0,0.5,0.5,0.4,0.5,,0.4
v568,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0
v569,0.1,0.4,0.8,0.2,0.1,0.1,0.0,0.1
v570,0.7,0.0,0.3,0.7,0.2,0.3,0.0,0.1
v571,0.0,1.0,0.7,0.7,0.0,0.0,0.0,0.0
v572,0.6,0.0,0.0,0.7,0.6,,0.5,0.7
v573,1.0,0.0,0.2,0.7,0.8,0.7,0.1,0.7
v574,0.2,0.3,0.4,0.0,0.0,0.0,0.3,0.0
v575,1.0,0.0,0.1,0.9,0.1,0.7,0.1,0.7
v576,0.7,0.4,0.0,0.3,0.2,0.5,0.0,0.5
v577,0.7,0.0,0.4,0.4,0.4,0.5,0.0,0.3
v578,0.0,0.2,0.4,,,,0.0,0.0
v579,0.5,0.3,0.5,0.7,0.5,0.6,0.7,0.3
v580,1.0,0.0,0.0,1.0,0.7,0.8,,0.7
v581,0.9,0.0,0.3,0.4,0.4,0.4,0.0,0.2
v582,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0
v583,0.6,0.0,0.1,0.8,0.4,0.8,0.0,0.3
v584,0.8,0.0,0.0,0.3,0.3,0.5,0.0,0.4
v585,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
v586,0.9,0.6,0.7,0.8,0.7,0.5,,0.7
v587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v588,0.8,,,,,,,0.5
v589,0.0,0.6,0.5,,0.0,0.2,,0.0
v590,0.3,0.3,0.2,0.2,0.2,0.2,,0.4
v591,0.6,0.1,0.6,,0.1,,,
v592,0.4,0.4,,,0.3,,0.0,
v593,0.5,0.0,0.2,0.6,0.6,,,
v594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v595,0.0,0.3,0.5,0.0,0.0,0.1,0.1,0.1
v596,0.0,0.0,0.0,,,,0.0,
v597,0.6,0.0,0.6,0.9,0.6,0.9,0.6,0.0
v598,0.5,0.2,0.4,0.7,0.8,0.4,0.8,0.3
v599,,0.7,,,,,,0.6
v600,0.8,0.2,0.5,0.7,0.6,0.7,0.0,0.9
v601,,0.1,0.4,0.7,0.3,0.3,,0.5
v602,0.3,0.3,0.2,,0.2,,0.0,0.5
v603,0.1,1.0,0.8,0.0,0.0,0.0,0.0,0.0
v604,0.0,0.0,0.0,0.8,0.1,0.3,0.0,0.0
v605,0.9,0.0,0.0,0.6,0.0,,,
v606,0.7,0.0,0.0,0.5,0.6,0.5,0.8,0.3
v607,0.8,0.0,0.0,0.6,0.7,0.6,,0.7
v608,0.7,0.3,0.5,0.7,0.4,0.2,0.6,0.1
v609,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3
v610,0.6,0.2,0.0,0.3,0.3,0.2,0.4,0.4
v611,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0
v612,0.8,0.0,0.0,0.6,0.6,0.6,0.6,0.0
v613,0.5,0.0,0.0,0.5,0.3,0.0,,0.0
v614,0.6,0.0,,,,,,0.0
v615,0.9,0.0,0.2,0.5,0.2,0.5,0.2,0.5
v616,1.0,0.0,0.2,0.4,0.2,0.4,,0.4
v617,0.3,0.0,0.5,0.4,0.0,0.0,0.0,0.0
v618,1.0,0.0,0.0,,,0.2,0.0,0.0
v619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v620,0.8,,,,,,,0.8
v621,0.9,0.0,0.1,0.7,0.3,0.7,0.0,0.7
v622,1.0,0.0,0.0,0.9,0.6,0.6,0.0,0.5
v623,0.3,0.3,0.0,,0.4,0.3,0.0,0.3
v624,0.9,0.0,,0.9,0.5,,,
v625,0.9,0.0,0.2,0.8,0.6,0.8,0.2,0.6
v626,0.5,0.1,0.0,0.3,0.2,0.5,0.3,0.9
v627,0.5,0.0,0.0,0.5,1.0,0.2,0.1,0.1
v628,0.0,0.0,0.0,0.5,,0.0,0.0,0.0
v629,0.7,0.0,0.0,0.6,0.2,0.6,0.2,0.5
v630,1.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0
v631,0.0,0.3,1.0,0.2,0.1,0.0,0.0,0.1
v632,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0
v633,0.6,,0.7,0.5,0.5,,,0.5
v634,0.0,0.7,0.2,0.0,0.0,0.0,0.2,0.0
v635,0.8,0.0,0.0,,0.3,0.7,0.0,0.0
v636,,,,0.0,,,,
v637,0.9,0.7,1.0,0.7,0.3,0.7,0.6,0.7
v638,0.5,0.3,0.1,0.3,0.1,0.2,0.3,0.3
v639,0.8,0.0,0.4,0.7,0.5,0.7,0.5,0.6
v640,0.6,0.0,0.3,0.6,0.6,0.2,0.0,0.1
v641,0.7,0.7,0.9,0.2,0.2,0.4,0.7,0.4
v642,0.4,0.0,0.3,0.2,0.3,0.3,0.9,0.3
v643,0.8,0.0,0.1,0.7,0.3,0.3,0.0,0.3
v644,0.8,0.0,0.0,0.6,0.9,0.5,0.0,0.2
v645,0.8,0.0,0.0,0.7,0.3,0.6,0.0,0.5
v646,0.5,0.2,0.4,0.5,0.2,0.6,,0.5
v647,1.0,0.1,0.0,0.7,1.0,0.9,0.3,0.6
v648,0.6,0.2,0.1,0.2,0.1,0.2,0.2,0.1
v649,1.0,0.2,0.1,1.0,0.7,0.6,0.1,0.4
v650,0.8,0.1,0.3,0.5,,0.5,,0.5
v651,0.5,0.0,0.0,0.0,0.0,0.6,0.2,0.1
v652,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
v653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v654,0.8,0.0,0.2,0.7,0.6,0.7,0.0,0.4
v655,0.2,0.0,0.3,0.6,0.0,0.3,,0.0
v656,1.0,0.0,0.3,1.0,0.0,1.0,0.0,0.3
v657,0.3,0.5,0.7,0.3,0.2,0.2,0.2,0.2
v658,0.8,0.2,0.2,0.7,0.8,0.7,0.0,0.5
v659,,,0.2,,,,0.6,0.1
v660,0.6,0.3,0.4,0.5,0.2,0.4,,0.2
v661,0.9,0.2,0.2,0.8,0.4,0.8,1.0,0.6
v662,1.0,0.4,0.4,0.9,1.0,0.9,0.5,0.7
v663,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
v664,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
v665,0.7,0.8,1.0,0.6,0.2,0.4,0.6,0.4
v666,1.0,0.0,0.0,0.9,0.6,0.8,0.8,0.3
v667,0.5,0.2,0.7,,0.0,0.3,,
v668,0.3,0.2,0.3,0.3,0.0,0.1,,0.0
v669,0.8,0.2,0.6,0.5,0.3,0.8,0.3,0.5
v670,0.9,0.2,0.2,0.9,0.7,0.6,,0.7
v671,0.3,0.7,1.0,0.0,0.0,0.0,0.0,0.0
v672,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v673,1.0,0.0,0.0,0.2,0.8,0.9,0.0,0.8
v674,0.2,0.4,0.3,0.3,0.3,0.1,0.9,0.2
v675,0.8,0.0,0.0,0.9,0.8,0.7,,0.6
v676,0.8,0.0,0.0,0.8,0.5,0.0,,0.0
v677,0.7,0.0,0.0,0.7,0.3,0.5,0.0,0.0
v678,0.7,0.0,0.4,0.7,0.3,0.0,0.0,0.3
v679,0.3,0.6,0.6,0.5,0.0,0.0,0.0,0.0
v680,1.0,0.0,0.1,0.5,0.3,0.8,0.1,0.3
v681,0.6,0.0,0.0,0.7,0.8,0.7,0.0,0.6
v682,0.4,0.6,0.0,,0.0,0.0,0.0,0.0
v683,0.7,0.0,0.0,0.9,0.7,1.0,0.1,0.8
v684,0.8,0.0,0.1,0.2,0.6,0.2,0.2,0.3
v685,0.8,0.8,1.0,0.7,0.6,0.6,,0.3
v686,,,,,0.6,,0.6,
v687,0.6,0.0,0.1,0.5,0.4,0.1,,0.0
v688,0.1,0.0,0.0,0.1,0.0,0.7,0.0,0.0
v689,0.8,0.5,0.8,0.7,0.5,0.5,0.0,0.5
v690,0.8,0.0,0.0,1.0,0.4,0.8,0.0,0.8
v691,0.4,,,,0.2,0.3,,0.3
v692,0.0,0.4,,,0.0,0.7,0.4,0.3
v693,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
v694,0.8,0.0,0.0,0.5,0.4,0.5,1.0,0.4
v695,0.4,0.3,0.3,0.3,0.4,0.2,0.6,0.8
v696,0.5,0.0,,0.5,0.5,0.5,,
v697,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0
v698,0.6,0.2,0.8,0.0,0.0,0.3,1.0,0.4
v699,0.2,0.0,0.2,0.3,0.1,0.1,0.0,0.0
v700,0.9,0.0,0.0,0.9,0.9,0.2,0.0,0.0
v701,0.9,0.2,0.6,0.8,0.4,0.4,0.0,
v702,0.7,,,0.2,,,,
v703,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0
v704,0.0,0.4,0.9,0.1,0.0,0.0,0.0,0.0
v705,0.9,0.0,0.0,1.0,1.0,0.8,,0.8
v706,0.0,0.1,0.1,0.9,0.1,0.0,0.0,0.0
v707,0.0,0.2,0.4,0.1,0.0,0.1,,0.1
v708,0.8,0.1,0.2,0.5,0.6,0.3,0.2,0.3
v709,0.9,0.6,0.0,0.4,0.0,0.0,0.0,0.0
v710,0.9,0.0,0.2,0.7,0.6,0.6,0.0,0.5
v711,0.8,0.9,0.5,0.6,0.4,0.3,0.0,0.1
v712,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0
v713,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
v714,0.8,0.0,0.0,0.6,0.6,0.6,0.1,0.5
v715,0.0,0.8,1.0,0.6,0.0,0.4,0.1,0.0
v716,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
v717,0.5,0.2,0.4,0.5,0.2,0.5,,0.3
v718,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v719,0.0,0.9,0.9,0.2,0.0,0.0,,0.0
v720,,0.7,0.0,,,,0.2,
v721,0.0,0.6,1.0,0.3,0.0,0.2,0.1,0.1
v722,0.6,0.5,0.2,0.4,0.4,0.4,0.3,0.4
v723,,,,1.0,,,,
v724,0.9,0.0,0.0,0.8,0.0,0.7,0.0,0.0
v725,1.0,0.0,0.0,0.5,0.2,0.7,0.0,0.8
v726,0.3,0.6,0.3,0.5,0.4,0.4,0.3,0.3
v727,0.7,0.4,0.7,0.3,0.0,0.2,0.0,0.1
v728,1.0,0.5,0.3,0.4,0.6,0.4,0.6,0.4
v729,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
v730,0.7,0.2,0.2,0.6,0.7,0.6,0.6,0.6
v731,0.6,0.1,0.3,0.4,0.1,0.3,0.0,0.0
v732,,0.0,0.0,0.0,,0.0,0.4,0.0
v733,0.5,0.5,0.3,0.0,0.4,0.0,0.6,0.0
v734,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v735,0.9,0.8,0.9,0.9,,,0.9,
v736,0.0,,0.3,0.5,0.4,0.0,0.0,0.8
v737,0.9,0.0,0.0,0.4,0.8,0.8,0.0,0.8
v738,0.3,0.1,0.1,,0.1,0.0,0.3,0.0
v739,,0.7,0.9,,0.0,0.0,,0.0
v740,,0.6,,,0.0,0.0,,
v741,0.5,0.6,0.4,0.8,0.9,0.3,0.7,0.5
v742,0.8,0.3,0.2,,0.4,,0.3,0.6
v743,0.6,0.0,0.0,0.4,0.1,0.4,,
v744,0.0,0.8,,0.6,0.0,0.2,,0.0
v745,0.0,0.9,0.1,0.0,0.0,0.0,0.1,0.0
v746,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
v747,0.8,0.3,0.3,0.7,0.4,0.3,,0.3
v748,0.3,0.9,0.2,0.0,0.2,0.1,,0.0
v749,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0
v750,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
v751,0.0,0.8,0.7,0.1,0.0,0.0,,0.0
v752,0.7,0.6,,0.0,,,,0.1
v753,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.0
v754,0.5,0.5,0.6,0.7,0.2,0.2,,0.2
v755,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0
v756,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0
v757,0.8,0.0,,,,,0.6,
v758,0.8,0.2,0.3,0.3,0.6,0.3,0.5,0.4
v759,0.7,0.6,0.7,0.6,,0.7,0.0,
v760,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6
v761,0.9,0.0,0.4,0.5,0.6,0.5,0.3,0.4
v762,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
v763,0.6,0.0,0.0,0.7,0.7,0.5,0.3,0.4
v764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6
v765,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
v766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
