"","cand_A","cand_B","cand_C","cand_F","cand_G"
"54617",8,1,6,4,7
"54619",7,2,9,3,5
"54620",9,3,1,3,3
"54621",2,8,0,1,0
"54623",5,3,5,0,0
"54624",10,3,5,3,5
"54625",5,3,5,4,4
"54626",5,0,2,0,3
"54627",6,5,5,5,4
"54628",5,3,5,3,2
"54629",0,0,5,0,0
"54630",4,6,2,3,3
"54633",8,5,5,6,3
"54634",7,1,5,5,6
"54637",5,4,5,5,5
"54638",8,6,5,5,4
"54639",5,6,4,3,0
"54640",3,6,5,3,0
"54641",7,3,7,6,6
"54642",8,0,8,0,6
"54643",6,2,7,5,4
"54644",5,5,5,5,5
"54645",5,5,5,5,5
"54648",3,7,0,2,1
"54649",2,2,0,2,0
"54650",0,6,3,6,1
"54652",3,5,1,2,0
"54653",1,7,0,2,1
"54654",5,1,7,2,2
"54655",10,3,10,3,8
"54657",6,6,6,6,6
"54660",3,0,10,3,8
"54661",5,5,5,5,5
"54662",0,7,0,6,0
"54663",10,2,5,0,5
"54664",6,2,5,3,3
"54665",0,0,0,0,0
"54666",5,5,5,5,5
"54667",4,2,2,8,2
"54670",5,5,5,5,5
"54671",5,5,5,5,4
"54672",5,6,5,6,6
"54674",4,7,0,5,3
"54676",6,4,4,5,5
"54677",0,0,0,0,0
"54678",9,5,9,0,1
"54681",7,1,3,4,5
"54682",8,3,7,6,5
"54684",7,3,5,5,6
"54685",5,3,5,0,3
"54686",6,3,4,2,3
"54687",1,1,3,2,1
"54688",9,3,6,4,5
"54689",6,0,6,4,5
"54690",7,2,5,5,5
"54691",5,5,5,5,5
"54692",8,6,7,7,6
"54693",8,5,6,5,6
"54694",0,2,0,1,0
"54697",7,5,6,4,5
"54698",0,0,0,0,0
"54699",7,2,6,5,3
"54701",10,0,7,0,7
"54702",7,0,3,5,5
"54703",4,9,6,8,5
"54704",3,4,4,4,2
"54705",7,6,7,6,6
"54707",1,5,1,1,1
"54708",5,1,5,4,5
"54709",5,6,2,1,1
"54711",8,5,5,7,5
"54712",8,5,6,5,5
"54713",6,7,3,6,4
"54714",5,5,5,5,2
"54715",5,5,5,5,5
"54716",1,1,0,0,0
"54717",10,3,6,5,7
"54719",5,5,5,5,5
"54721",8,5,8,7,7
"54722",5,5,5,5,5
"54723",5,7,6,3,2
"54724",7,2,2,1,2
"54725",6,3,7,5,3
"54726",7,5,5,7,7
"54727",5,1,6,4,5
"54729",3,2,3,3,3
"54731",0,5,0,5,0
"54732",5,5,5,5,5
"54733",6,3,5,5,5
"54734",8,6,5,7,3
"54735",10,4,7,5,5
"54736",0,0,0,0,0
"54738",6,0,8,6,5
"54739",7,3,7,5,5
"54740",4,5,1,3,2
"54741",7,5,6,5,6
"54742",7,7,6,7,5
"54743",7,0,10,4,8
"54744",6,5,5,6,5
"54745",10,0,5,0,3
"54746",3,3,1,2,2
"54748",6,0,7,4,1
"54750",5,5,4,5,4
"54753",7,0,7,0,6
"54754",2,5,1,5,0
"54756",7,5,7,6,3
"54757",5,5,0,0,0
"54758",7,3,7,6,6
"54760",5,5,3,1,1
"54761",7,0,7,1,2
"54762",9,0,1,3,3
"54763",7,5,3,3,3
"54764",10,1,8,5,8
"54765",5,5,5,5,5
"54766",5,5,5,5,5
"54767",5,3,5,4,4
"54769",7,2,7,5,6
"54771",7,3,5,3,5
"54773",8,0,7,5,6
"54774",5,5,3,4,2
"54775",3,8,3,5,3
"54776",4,3,0,5,0
"54778",5,5,2,5,5
"54779",5,5,5,5,5
"54780",0,0,0,0,0
"54781",9,8,6,6,5
"54782",5,0,5,5,5
"54783",7,0,5,0,5
"54784",6,6,3,5,4
"54785",4,5,1,3,1
"54786",3,5,1,2,1
"54787",3,5,0,0,0
"54788",2,4,0,1,0
"54789",4,6,7,5,2
"54791",5,7,5,4,4
"54792",5,6,4,5,4
"54795",3,3,3,3,0
"54796",4,6,3,9,4
"54797",1,8,3,7,1
"54798",1,1,1,1,1
"54799",6,2,7,5,1
"54800",5,1,4,4,4
"54801",7,5,5,5,5
"54802",6,5,6,6,6
"54803",9,2,8,6,8
"54804",7,6,5,5,5
"54805",2,5,0,3,0
"54806",6,6,1,3,1
"54807",4,3,4,3,3
"54810",0,0,0,0,0
"54812",9,2,6,5,6
"54814",6,0,8,3,6
"54815",7,6,7,7,7
"54816",6,0,3,1,3
"54817",0,7,2,5,2
"54818",5,5,0,2,0
"54819",3,5,1,3,2
"54820",6,0,4,1,1
"54822",5,5,5,5,5
"54823",0,9,0,3,0
"54827",3,4,4,4,2
"54828",6,1,5,3,4
"54829",10,0,10,0,0
"54833",6,0,5,2,3
"54834",7,3,6,5,4
"54836",9,1,9,5,7
"54837",10,0,10,6,8
"54838",4,3,4,3,1
"54839",5,5,3,5,3
"54841",2,7,2,5,5
"54842",5,5,5,5,5
"54843",10,0,9,0,8
"54844",7,1,1,3,1
"54845",6,5,6,6,6
"54846",5,5,3,5,3
"54847",8,4,5,5,5
"54848",10,0,0,0,0
"54851",8,6,3,4,5
"54853",6,3,5,4,3
"54854",5,6,0,3,2
"54855",3,6,0,7,0
"54856",5,5,5,5,5
"54857",6,0,2,3,1
"54858",3,9,1,4,2
"54859",2,2,2,2,2
"54860",10,10,10,10,10
"54861",4,5,6,5,4
"54862",6,5,6,5,5
"54864",3,8,2,5,2
"54865",6,3,1,3,1
"54866",8,0,3,3,3
"54867",5,2,5,4,3
"54868",3,3,0,3,2
"54869",5,5,5,5,4
"54870",5,4,4,4,4
"54871",6,4,7,5,6
"54872",5,5,6,5,5
"54873",3,5,5,5,3
"54874",2,8,2,5,3
"54875",9,8,9,7,9
"54876",5,1,1,0,1
"54877",7,8,6,6,4
"54878",5,3,4,5,4
"54879",3,3,1,3,3
"54882",5,4,4,2,2
"54883",6,3,0,0,0
"54884",5,5,8,5,5
"54885",8,3,8,5,2
"54886",10,0,7,4,5
"54887",10,0,0,0,0
"54888",5,5,5,5,5
"54889",3,6,0,3,1
"54890",0,10,0,0,0
"54891",6,6,6,6,6
