,A,B,C,D,E,F
v530,0.0,0.0,0.0,1.0,0.0,0.0
v531,1.0,0.1,0.0,0.0,0.5,0.3
v532,0.5,0.1,0.1,1.0,0.0,0.1
v533,0.0,0.0,0.0,0.0,0.0,0.0
v534,0.0,0.5,0.0,0.0,0.1,0.2
v535,0.2,0.8,0.0,0.2,0.0,0.6
v536,1.0,0.0,0.0,0.1,0.3,0.6
v537,0.4,0.0,0.0,0.8,0.0,0.0
v538,0.0,0.5,0.4,0.1,0.0,0.0
v539,0.8,0.1,0.0,0.1,0.1,0.3
v540,0.0,0.7,1.0,0.0,0.0,0.2
v541,0.7,0.6,0.5,0.7,0.5,0.6
v542,1.0,0.0,0.0,0.0,0.0,0.2
v543,0.0,0.6,0.9,0.0,0.0,0.0
v544,0.1,0.5,0.0,0.0,0.0,0.2
v545,0.5,0.5,0.0,0.0,0.5,0.5
v546,0.1,0.1,0.1,0.1,0.1,0.1
v547,1.0,0.0,0.0,0.0,0.0,0.0
v548,0.8,0.2,0.0,0.0,0.5,0.4
v549,1.0,0.0,0.0,0.0,0.1,0.4
v550,0.1,0.4,0.0,0.1,0.7,0.5
v551,0.1,0.8,1.0,0.3,0.2,0.4
v552,0.0,0.0,0.0,0.0,0.0,1.0
v553,0.9,0.2,0.0,0.2,0.1,0.4
v554,0.7,0.2,0.1,0.1,0.7,0.4
v555,0.9,0.0,0.0,0.0,0.0,0.0
v556,0.4,0.1,0.0,0.0,0.2,0.2
v557,0.4,0.3,0.1,0.0,0.0,0.1
v558,0.8,0.0,0.0,0.1,0.2,0.2
v559,0.4,0.1,0.0,0.0,0.2,0.1
v560,0.0,0.5,0.1,0.8,0.0,0.7
v561,0.9,0.0,0.0,0.3,0.1,0.8
v562,0.0,1.0,,0.0,0.5,0.0
v563,0.2,0.0,0.0,,0.2,
v564,0.6,0.0,0.0,0.0,0.0,0.2
v565,0.4,0.5,0.9,0.4,0.7,0.6
v566,1.0,0.0,0.0,0.0,0.0,0.1
v567,0.1,0.1,0.1,0.1,0.1,0.1
v568,0.2,0.7,0.1,0.1,0.2,0.1
v569,0.5,0.5,0.0,,0.2,0.3
v570,1.0,0.0,0.0,0.0,0.0,0.0
v571,0.9,0.0,0.1,0.1,0.7,0.5
v572,0.9,0.0,0.0,0.0,0.0,0.0
v573,0.1,0.5,0.2,1.0,0.3,0.2
v574,0.2,0.3,0.7,0.7,0.0,0.1
v575,0.6,0.8,0.5,0.2,0.3,0.3
v576,0.0,1.0,0.0,0.0,0.0,0.0
v577,0.4,0.5,0.7,0.5,0.4,0.6
v578,0.0,0.9,0.0,0.0,0.0,0.2
v579,1.0,0.0,0.0,0.0,0.0,0.0
v580,0.6,0.1,0.0,0.0,0.8,0.2
v581,0.3,0.1,0.0,0.0,0.1,0.1
v582,0.2,0.8,0.0,0.0,0.0,0.3
v583,0.0,0.9,0.1,0.0,0.1,0.0
v584,0.0,0.6,0.9,0.0,0.0,0.0
v585,0.7,0.5,0.0,,0.0,0.4
v586,0.6,0.2,0.0,1.0,0.0,0.0
v587,1.0,0.0,0.0,0.1,0.2,0.3
v588,0.0,0.0,0.0,0.0,0.0,0.0
v589,0.3,0.0,0.0,0.0,0.0,0.0
v590,0.1,0.3,0.0,0.1,0.1,0.0
v591,0.3,0.0,0.0,0.0,0.0,0.2
v592,0.5,0.4,0.1,0.1,0.3,0.4
v593,0.5,0.7,0.9,0.5,0.3,0.7
v594,0.2,1.0,0.6,0.2,0.2,0.1
v595,0.6,0.6,0.6,0.6,0.6,0.6
v596,0.2,0.2,0.0,0.0,0.0,0.1
v597,0.8,0.0,0.0,0.0,0.1,0.2
v598,0.3,0.4,0.5,0.4,0.4,0.1
v599,0.4,0.5,0.8,0.6,0.4,0.2
v600,0.8,0.1,0.0,,0.2,0.1
v601,0.4,0.0,0.0,0.0,0.8,0.5
v602,0.4,0.3,0.2,0.9,0.0,0.0
v603,0.3,0.4,0.8,0.6,0.2,0.3
v604,0.0,0.2,0.0,0.0,0.1,0.1
v605,0.9,0.1,0.1,0.3,0.1,0.3
v606,0.1,1.0,0.4,0.1,0.0,0.3
v607,0.0,0.0,0.7,0.2,0.1,0.0
v608,0.3,0.0,0.0,0.0,0.3,0.2
v609,0.2,0.6,0.1,0.2,0.4,0.5
v610,0.0,0.0,0.8,0.0,0.0,0.0
v611,0.2,0.0,0.0,0.0,0.0,0.1
v612,0.4,0.0,0.0,0.0,0.5,0.9
v613,0.6,0.1,0.0,0.0,0.0,0.1
v614,0.1,0.1,0.1,0.1,0.1,0.1
v615,0.6,0.1,0.5,0.7,0.2,
v616,0.2,0.3,0.0,0.0,0.4,0.4
v617,0.0,0.4,0.9,0.0,0.0,0.0
v618,0.2,0.8,0.0,0.8,0.0,0.0
v619,0.0,0.9,0.0,0.0,0.0,0.0
v620,0.3,0.0,0.0,0.0,0.2,0.1
v621,0.7,0.0,0.0,0.9,0.0,0.0
v622,0.2,0.2,0.0,0.0,0.2,0.0
v623,0.7,0.4,0.0,0.2,0.6,0.5
v624,0.5,0.7,0.7,0.3,0.0,0.4
v625,,,0.0,0.0,,
v626,0.0,0.9,0.0,0.0,0.0,0.0
v627,0.1,0.1,0.0,0.0,0.2,0.2
v628,0.2,0.1,0.0,0.0,0.0,0.0
v629,0.3,0.0,0.0,0.0,0.4,0.2
v630,0.0,0.3,0.5,0.1,0.1,0.0
v631,0.3,0.0,0.0,0.0,0.3,0.2
v632,0.7,0.0,0.0,0.0,0.2,0.4
v633,0.2,0.8,0.0,0.1,0.1,0.1
v634,0.1,0.2,0.9,0.3,0.0,0.0
v635,0.0,0.5,0.0,0.5,0.0,0.0
v636,0.7,0.0,0.0,0.0,0.0,0.0
v637,1.0,0.0,0.0,0.0,0.0,0.0
v638,1.0,0.1,1.0,0.2,0.2,0.2
v639,0.8,1.0,0.2,0.2,0.3,0.2
v640,0.0,0.9,1.0,0.3,0.2,0.3
v641,0.3,0.2,0.3,0.3,0.2,0.3
v642,,,0.0,0.0,,
v643,0.5,0.2,0.0,0.0,0.6,0.2
v644,0.5,0.5,0.0,0.0,,0.3
v645,0.6,0.1,0.0,0.0,0.1,0.3
v646,1.0,0.0,0.0,0.3,0.9,0.6
v647,0.8,0.2,0.0,0.1,0.5,0.8
v648,0.0,0.8,0.0,,0.0,0.2
v649,0.3,0.8,1.0,0.2,0.3,0.2
v650,0.4,0.4,0.0,0.0,0.4,0.4
v651,0.4,0.0,0.1,0.9,0.0,0.0
v652,0.8,0.1,0.0,0.2,0.3,0.6
v653,0.5,0.0,0.0,0.0,0.9,0.7
v654,0.2,0.8,0.4,0.1,0.1,0.1
v655,0.0,0.8,0.0,0.0,0.0,0.0
v656,0.1,0.1,0.1,0.0,0.1,0.1
v657,1.0,0.0,0.0,0.6,0.3,0.4
v658,0.5,0.3,0.0,0.0,0.6,0.2
v659,1.0,0.0,0.0,0.0,0.0,0.5
v660,0.5,0.2,0.0,0.1,0.8,0.6
v661,0.0,0.0,0.0,0.0,0.0,0.0
v662,0.5,0.0,0.0,0.0,0.7,0.2
v663,0.0,0.0,0.0,0.0,0.0,0.0
v664,0.3,0.0,0.0,0.0,0.0,0.0
v665,0.3,0.1,0.0,0.0,0.5,0.9
v666,0.7,0.1,0.3,0.1,0.4,0.3
v667,0.4,0.5,0.4,0.5,0.5,0.5
v668,0.9,0.0,0.0,0.0,0.2,0.0
v669,0.0,0.0,0.0,1.0,0.0,0.0
v670,0.1,0.1,0.1,0.1,0.1,0.1
v671,0.2,0.6,0.0,0.0,0.0,0.2
v672,0.1,0.2,0.9,0.6,0.0,0.0
v673,0.8,0.0,0.0,0.0,0.0,0.7
v674,0.0,0.0,0.0,0.0,0.0,0.0
v675,1.0,0.0,0.0,0.0,0.0,0.0
v676,0.6,0.9,0.7,0.7,0.5,0.6
v677,0.5,0.5,0.0,0.5,0.5,0.0
v678,0.8,0.0,0.0,0.0,0.1,0.4
v679,1.0,0.0,0.0,0.1,0.8,0.7
v680,0.1,0.6,0.0,0.0,0.1,0.3
v681,0.8,0.0,0.0,0.0,0.3,0.2
v682,0.0,0.0,1.0,0.0,0.0,0.0
v683,0.6,0.0,0.0,0.1,0.0,1.0
v684,0.1,0.5,0.6,0.8,0.3,0.5
v685,0.2,0.9,0.3,0.2,0.8,0.9
v686,0.0,0.9,0.0,0.0,0.0,0.0
v687,1.0,0.1,0.1,0.1,0.1,0.4
v688,0.0,0.7,0.0,0.0,0.0,0.0
v689,0.9,0.1,0.1,0.1,0.1,0.1
v690,0.0,0.8,0.0,0.0,0.0,0.0
v691,0.0,0.0,0.0,0.7,0.0,0.0
v692,0.7,0.0,0.0,0.1,0.0,0.3
v693,1.0,0.0,0.0,0.0,0.0,1.0
v694,0.6,0.1,0.0,1.0,0.0,0.6
v695,0.0,0.0,0.0,0.0,0.0,0.0
v696,0.0,0.5,0.8,0.0,0.0,0.0
v697,0.0,0.0,0.0,0.0,0.0,0.0
v698,0.8,0.0,0.0,0.0,0.2,0.2
v699,0.1,0.1,0.0,0.0,0.0,0.1
v700,0.0,0.0,0.0,0.0,0.0,0.0
v701,0.2,0.8,0.0,0.0,0.0,0.0
v702,0.0,0.0,0.0,0.0,0.0,0.0
v703,0.0,0.0,0.0,0.0,0.0,0.0
v704,0.0,0.0,0.0,0.0,0.0,0.0
v705,1.0,0.0,0.0,0.1,0.1,0.2
v706,0.0,0.0,1.0,0.6,0.0,0.0
v707,1.0,0.4,0.7,0.7,0.7,0.3
v708,0.0,0.8,0.0,0.0,0.0,0.0
v709,1.0,0.0,0.0,0.0,0.0,0.8
v710,0.5,0.7,0.0,0.0,0.0,0.5
v711,0.0,1.0,0.0,0.0,0.9,0.0
v712,0.5,0.0,0.0,0.0,0.4,0.2
v713,0.0,1.0,0.0,0.0,0.0,0.0
v714,1.0,0.1,0.1,0.0,0.7,0.5
v715,0.0,0.9,0.0,0.0,0.0,0.0
v716,0.6,0.0,0.0,,,0.6
v717,0.1,0.0,0.0,0.0,0.2,0.0
v718,0.0,0.0,0.0,0.0,0.0,0.0
v719,0.4,0.6,0.8,0.6,0.4,0.6
v720,0.4,0.5,0.8,0.5,0.3,0.5
v721,0.5,0.0,0.0,0.0,0.2,0.4
v722,0.0,0.0,0.0,0.0,0.0,0.0
v723,0.5,0.0,0.0,0.0,0.0,0.0
v724,0.0,0.1,0.6,0.6,0.2,0.2
v725,0.5,0.3,0.0,0.7,0.0,0.0
v726,0.0,0.9,0.0,0.0,0.0,0.0
v727,0.0,0.7,0.0,0.0,0.0,0.0
v728,0.8,0.5,0.1,0.1,0.4,0.7
v729,0.9,0.4,0.0,0.0,0.0,0.0
v730,0.0,0.3,0.9,0.1,,
v731,0.0,0.0,0.0,0.0,0.0,0.0
v732,0.2,0.5,0.0,0.0,0.0,0.7
v733,0.9,0.0,0.0,0.1,0.4,0.7
v734,0.1,0.0,0.0,0.0,1.0,0.1
v735,0.2,0.8,0.0,,0.0,
v736,0.3,0.8,1.0,0.0,0.0,0.0
v737,0.2,0.1,0.0,0.0,0.3,0.3
v738,0.0,0.4,0.1,0.9,0.0,0.1
v739,0.0,1.0,0.0,0.0,0.0,0.0
v740,0.5,0.7,0.2,0.9,0.2,0.5
v741,0.6,0.6,0.6,0.6,0.0,0.6
v742,1.0,0.0,0.0,,0.0,0.5
v743,0.4,0.4,0.7,0.3,0.6,0.8
v744,0.3,0.8,0.6,0.9,0.3,0.5
v745,0.0,0.0,0.0,0.0,0.0,0.0
v746,0.0,0.0,0.0,0.0,0.8,0.0
v747,0.0,0.4,0.4,0.0,0.0,0.0
v748,0.6,0.1,0.0,0.2,0.1,0.4
v749,0.7,0.0,0.0,0.0,0.4,0.0
v750,0.7,0.1,0.1,0.1,0.1,0.1
v751,0.8,0.0,0.0,0.0,0.3,0.2
v752,0.7,0.3,0.0,0.0,0.0,0.0
v753,0.1,0.7,0.0,0.1,0.0,0.3
v754,0.2,0.4,1.0,0.0,0.0,0.2
v755,0.7,0.3,0.1,0.0,0.1,0.0
v756,1.0,0.2,0.0,0.0,0.6,0.4
v757,0.5,0.5,0.0,0.7,0.0,0.0
v758,0.6,0.0,0.0,0.3,0.0,0.0
v759,0.0,0.4,1.0,0.0,0.0,0.0
v760,0.0,0.0,0.0,0.0,0.0,0.0
v761,0.2,0.6,0.0,,,
v762,0.5,0.5,0.5,0.5,0.5,0.5
v763,0.9,0.0,0.0,0.0,0.0,0.0
v764,0.0,0.6,0.0,0.0,0.1,0.2
v765,0.8,0.1,0.0,0.0,0.0,0.0
v766,0.1,0.1,0.0,0.0,0.0,0.0
v767,0.1,0.6,0.1,0.9,0.2,0.4
v768,0.0,0.0,0.0,0.0,0.0,0.0
v769,0.0,0.7,0.7,0.0,0.0,0.0
v770,1.0,0.1,0.0,0.0,0.2,0.7
v771,0.2,0.1,0.0,0.0,0.1,0.0
v772,0.6,0.3,0.0,0.0,0.6,0.4
v773,0.1,0.3,0.5,0.1,,
v774,0.0,0.6,0.9,0.0,0.0,0.0
v775,0.1,0.1,0.0,0.6,0.2,0.1
v776,0.0,0.0,0.0,0.0,0.0,0.0
v777,0.8,0.0,0.0,0.0,0.3,0.0
v778,0.0,1.0,0.5,0.0,0.4,0.0
v779,0.0,0.9,0.0,0.0,0.0,0.0
v780,0.0,0.0,0.0,0.0,0.0,0.0
v781,1.0,0.0,0.0,0.0,0.0,0.0
v782,,0.0,0.0,0.0,0.0,0.0
v783,0.0,0.0,0.0,0.0,0.9,0.0
v784,0.4,0.3,0.0,,0.6,0.4
v785,0.3,0.5,0.0,,0.0,0.2
v786,0.5,0.0,0.0,0.0,0.1,0.1
v787,1.0,0.0,0.0,0.0,0.2,0.2
v788,0.0,0.0,0.0,0.9,0.0,0.0
v789,0.1,0.3,0.3,0.9,0.0,0.1
v790,0.8,0.3,0.0,0.0,0.1,0.0
v791,0.5,0.9,0.0,0.1,0.0,0.3
v792,0.0,0.9,0.1,0.0,0.1,0.0
v793,1.0,0.0,0.0,0.0,0.4,0.5
v794,0.0,0.0,0.0,0.0,0.0,0.0
v795,0.1,0.1,0.0,0.1,0.1,0.2
v796,0.0,0.8,0.0,0.0,0.0,0.4
v797,0.9,0.0,0.0,0.0,0.0,0.0
v798,0.4,0.5,0.8,0.8,0.5,0.5
v799,0.5,0.5,0.6,,0.4,
v800,0.0,0.0,0.0,0.0,0.1,0.0
v801,0.4,0.4,0.4,0.4,0.4,0.4
v802,0.0,0.5,0.9,0.0,0.0,0.0
v803,0.5,0.1,0.1,0.9,0.0,0.1
v804,0.2,0.0,0.0,,,0.0
v805,0.0,0.3,0.0,0.0,0.0,0.0
v806,0.9,0.0,0.0,0.0,0.0,0.0
v807,0.8,0.0,0.0,0.0,0.0,0.0
v808,0.4,0.1,0.0,0.0,0.2,0.1
v809,1.0,0.0,0.0,0.0,0.0,0.0
v810,0.0,0.0,0.0,0.0,0.0,0.0
v811,0.0,0.0,0.0,0.0,0.0,0.0
v812,0.0,0.0,0.2,0.1,0.0,0.0
v813,0.8,0.0,0.0,0.0,0.0,0.0
v814,0.8,0.0,0.0,0.0,0.1,0.0
v815,0.5,0.0,0.0,0.0,0.0,0.2
v816,0.1,0.5,0.7,0.1,0.0,0.2
v817,0.9,0.0,0.0,0.0,0.2,0.1
v818,0.9,0.1,0.0,0.0,0.1,0.1
v819,0.8,0.0,0.0,0.0,0.0,0.0
v820,0.1,0.0,0.0,0.0,0.0,0.0
v821,0.0,0.6,1.0,0.2,0.5,0.3
v822,0.4,0.6,0.8,0.7,0.6,0.4
v823,0.9,0.0,0.0,,0.0,0.0
v824,0.8,0.1,0.0,0.1,0.1,0.2
v825,0.0,0.0,0.0,0.0,0.0,0.0
v826,0.0,0.3,0.2,0.5,0.3,0.2
v827,0.5,0.5,0.0,0.0,0.5,0.2
v828,0.1,0.1,0.1,0.0,0.0,0.0
v829,0.0,0.0,0.0,0.0,0.0,0.0
v830,0.0,0.0,0.0,0.0,0.0,0.0
v831,0.5,0.4,0.4,0.9,0.0,0.0
v832,0.5,0.1,0.0,0.0,0.4,0.2
v833,0.0,1.0,0.5,0.5,0.0,0.1
v834,0.4,0.0,0.8,0.2,0.0,0.0
v835,0.0,0.0,0.0,0.0,1.0,0.0
v836,0.0,0.0,0.0,0.0,0.8,0.0
v837,0.0,0.0,0.6,0.3,0.0,0.0
v838,0.9,0.0,0.0,,0.8,0.4
v839,0.4,0.6,0.9,0.5,0.6,0.6
v840,0.2,0.8,0.1,0.1,0.2,0.3
v841,0.8,0.0,0.0,0.0,0.0,0.0
v842,0.5,0.3,0.6,0.2,0.0,0.3
v843,0.0,0.0,0.0,0.0,0.0,0.0
v844,0.0,0.0,0.0,0.0,0.0,0.0
v845,1.0,0.0,0.0,0.0,0.0,1.0
v846,0.9,0.0,0.0,0.5,0.0,0.5
v847,0.3,0.4,0.7,0.3,0.4,0.5
v848,0.0,1.0,0.0,0.0,0.0,0.1
v849,0.0,0.3,0.0,0.0,0.0,0.2
v850,0.0,0.0,0.0,1.0,0.0,0.0
v851,0.9,0.5,0.0,0.0,0.7,0.0
v852,0.0,0.0,0.0,0.0,0.0,0.0
v853,1.0,0.0,0.0,0.0,0.0,0.2
v854,0.0,0.0,0.0,0.0,1.0,0.0
v855,0.6,0.1,0.0,0.0,0.1,0.2
v856,0.3,0.3,0.0,0.0,0.0,0.2
v857,0.1,0.0,0.0,0.0,0.7,0.1
v858,0.9,0.1,0.0,0.1,0.3,0.0
v859,0.0,0.0,0.0,0.0,0.2,0.0
v860,0.1,0.0,0.0,0.0,0.7,0.1
v861,0.3,0.3,0.1,0.0,0.3,0.0
v862,0.9,0.0,0.0,0.0,0.2,0.0
v863,0.5,0.4,0.9,0.4,0.7,0.6
v864,1.0,0.0,0.0,0.5,0.1,0.8
v865,,,,1.0,0.0,
v866,0.0,0.0,0.0,0.0,0.0,0.0
v867,0.0,0.0,1.0,0.0,0.0,0.0
v868,0.2,0.0,0.0,0.7,0.0,0.0
v869,0.1,0.1,0.0,0.0,0.1,0.1
v870,0.5,0.0,0.0,0.0,0.9,0.0
v871,0.0,0.0,0.0,,,
v872,0.0,0.2,0.0,0.0,0.0,0.0
v873,0.0,0.6,0.7,0.1,0.0,0.0
v874,0.9,0.0,0.0,0.0,0.1,0.1
v875,0.0,0.2,0.0,0.0,0.0,0.0
v876,0.0,1.0,0.2,0.0,0.1,0.0
v877,0.0,0.2,0.0,0.4,0.0,0.0
v878,0.9,0.0,0.0,0.0,0.3,0.4
v879,0.8,0.4,0.2,0.1,0.2,0.4
v880,0.7,0.9,0.8,0.4,0.4,1.0
v881,0.0,0.0,0.7,0.7,0.0,0.0
v882,0.0,0.8,0.0,1.0,0.2,0.0
v883,0.0,0.9,1.0,0.2,0.2,0.3
v884,0.8,0.0,0.0,0.0,0.0,0.3
v885,0.8,0.0,0.0,0.0,0.0,0.3
v886,0.0,0.5,0.5,0.7,0.0,0.0
v887,1.0,0.0,0.0,0.1,0.5,0.3
v888,0.6,0.6,0.0,0.0,0.2,0.5
v889,1.0,0.0,0.0,0.0,0.0,0.0
v890,0.5,0.2,0.0,0.0,0.5,0.4
v891,0.3,0.6,0.0,0.1,0.0,0.3
v892,1.0,0.0,0.0,0.0,0.0,0.3
v893,0.1,0.3,1.0,0.4,0.2,0.3
v894,0.9,0.0,0.0,0.0,0.0,0.7
v895,0.0,0.5,0.9,0.0,0.0,0.0
v896,0.0,0.0,0.0,0.0,0.0,0.0
v897,,,0.0,0.0,0.7,0.4
v898,0.0,0.6,0.9,0.0,0.0,0.0
v899,0.4,0.2,0.0,0.0,0.3,0.3
v900,0.0,0.9,0.6,0.2,0.1,0.1
v901,0.7,0.1,0.0,0.0,0.0,0.1
v902,0.0,0.0,0.0,0.0,0.0,0.0
v903,0.7,0.1,0.0,0.0,0.0,0.0
v904,0.5,1.0,0.2,0.8,0.5,0.3
v905,0.0,0.0,0.0,0.0,0.3,0.0
v906,0.8,0.1,0.0,0.0,0.0,0.1
v907,0.1,0.1,0.0,0.0,0.2,0.1
v908,0.0,0.0,0.0,0.0,0.0,0.0
v909,0.0,0.0,0.0,0.0,0.0,0.0
v910,0.0,0.0,0.0,0.0,0.0,0.0
v911,1.0,0.0,0.0,0.0,0.0,0.0
v912,0.0,0.0,0.0,0.0,0.0,0.0
v913,0.0,0.0,1.0,0.0,0.0,0.0
v914,0.0,0.3,0.0,0.9,,
v915,0.0,0.0,0.0,0.0,0.1,0.0
v916,0.0,1.0,0.6,0.0,0.0,0.1
v917,0.6,0.8,0.0,,0.3,
v918,0.0,0.0,0.0,0.0,0.0,1.0
v919,0.1,0.0,0.0,0.0,0.0,0.1
v920,0.3,0.3,0.3,0.3,0.3,0.3
v921,0.5,0.0,0.0,0.9,0.0,0.0
v922,1.0,0.0,0.0,0.0,0.8,0.4
v923,0.4,0.4,0.0,0.0,0.1,0.2
v924,0.5,0.5,0.5,0.6,0.0,0.5
v925,0.3,0.3,0.0,0.0,0.0,0.1
v926,0.0,0.9,0.9,0.9,0.5,0.3
v927,0.0,0.0,0.1,0.8,,0.0
v928,0.8,0.0,0.0,0.0,0.3,0.0
v929,0.0,0.0,1.0,0.0,0.0,0.0
v930,0.1,0.3,0.7,0.3,0.3,0.1
v931,0.0,0.0,0.0,0.0,0.0,0.0
v932,0.7,0.0,0.0,0.0,0.0,0.1
v933,0.2,0.3,0.0,0.2,0.0,0.4
v934,0.0,0.1,0.5,0.1,0.0,
v935,0.6,0.4,0.0,,0.2,0.4
v936,0.3,0.2,0.6,0.5,,
v937,0.5,0.5,0.7,0.4,0.0,0.1
v938,0.4,0.2,0.4,0.4,0.0,0.1
v939,0.6,0.0,0.0,0.0,0.0,0.3
v940,0.2,0.1,0.1,0.1,0.1,0.1
v941,0.0,1.0,0.1,1.0,0.1,0.1
v942,0.3,0.0,0.0,0.0,0.8,0.0
v943,0.0,0.8,0.0,0.0,0.0,0.0
v944,0.3,0.4,0.4,0.3,0.5,0.4
v945,0.0,0.7,0.0,0.0,0.0,0.1
v946,0.3,0.6,1.0,0.4,0.5,0.1
v947,0.0,0.0,0.0,0.0,0.0,0.0
v948,0.8,0.1,0.0,0.1,0.6,0.4
v949,,0.7,,0.6,0.9,0.7
v950,0.0,1.0,0.0,0.0,0.0,0.2
v951,0.8,0.2,0.0,0.1,0.3,0.7
v952,0.0,0.0,0.1,0.1,0.0,0.0
v953,0.8,0.0,0.0,0.0,0.2,0.0
v954,0.4,0.4,0.0,0.0,0.0,0.1
v955,0.4,0.0,0.0,0.0,0.1,0.1
v956,0.0,1.0,0.2,0.2,0.1,0.2
v957,0.8,0.3,0.1,0.1,0.0,0.3
v958,0.8,0.1,0.0,0.1,0.1,0.6
v959,0.8,0.0,0.0,0.0,0.8,0.2
v960,0.0,0.1,,,0.0,0.0
v961,1.0,0.0,0.0,0.0,0.0,0.5
v962,0.3,0.2,0.2,0.7,0.0,0.0
v963,0.6,0.1,0.0,0.0,0.0,0.2
v964,1.0,0.0,0.0,0.1,0.3,0.5
v965,0.1,0.1,0.0,0.0,0.0,0.1
v966,0.5,0.3,0.0,0.0,0.2,0.4
v967,0.5,0.5,0.0,0.0,0.0,0.5
v968,0.0,0.3,0.8,0.0,0.0,0.1
v969,0.0,0.0,0.0,0.0,0.0,0.0
v970,0.0,0.5,0.1,0.2,0.0,0.0
v971,0.0,0.9,0.0,0.0,0.0,0.0
v972,0.0,0.9,,0.0,0.5,0.0
v973,0.0,0.3,0.1,0.6,,0.2
v974,0.1,0.1,0.7,0.2,0.2,0.2
v975,0.1,0.3,0.6,0.8,0.4,0.2
v976,1.0,0.0,0.0,0.0,0.0,0.6
v977,0.0,0.0,0.0,0.0,0.0,0.0
v978,0.2,0.2,0.6,0.2,0.2,0.2
v979,0.1,0.1,0.1,0.1,0.1,0.1
v980,1.0,0.0,0.0,0.0,0.0,0.1
v981,0.0,0.9,0.0,0.0,0.3,0.0
v982,0.1,0.8,0.0,0.0,0.1,0.4
v983,0.0,0.0,0.0,0.0,0.0,0.0
v984,1.0,0.0,0.0,0.0,0.0,0.5
v985,0.7,0.6,0.1,0.1,0.2,0.3
v986,0.0,0.0,0.9,0.0,0.0,0.0
v987,,,,,,0.9
v988,1.0,0.0,0.0,,0.0,0.6
v989,0.1,0.2,0.4,0.0,0.0,0.2
v990,0.2,0.1,0.0,0.0,0.0,0.0
v991,0.0,1.0,0.2,0.0,0.3,0.0
v992,1.0,0.4,0.3,0.5,0.8,0.6
v993,0.9,0.0,0.0,0.0,0.0,0.0
v994,0.3,0.0,0.0,0.2,0.0,0.3
v995,0.9,0.0,0.0,0.0,0.3,0.1
v996,1.0,0.0,0.0,0.0,0.0,0.3
v997,0.1,0.4,0.0,0.0,0.4,0.2
