,A,B,C,F
v739,1.0,0.2,0.9,0.1
v740,0.0,1.0,0.0,1.0
v741,1.0,0.3,0.4,0.5
v742,0.8,0.1,0.9,0.2
v743,0.1,0.7,0.0,0.6
v744,0.7,0.7,0.8,0.0
v745,0.4,0.7,0.6,0.6
v746,0.4,0.3,0.7,0.3
v747,0.7,0.1,0.9,0.1
v748,0.4,0.4,0.4,0.4
v749,0.5,0.0,1.0,0.0
v750,0.9,0.6,0.0,0.5
v751,0.6,0.0,1.0,0.2
v752,0.0,0.0,0.0,0.0
v753,0.5,0.1,0.8,0.1
v754,0.6,0.6,,0.6
v755,0.0,0.0,0.0,0.0
v756,0.7,0.4,0.6,0.1
v757,0.9,0.1,1.0,0.1
v758,0.4,0.5,1.0,0.5
v759,0.6,0.6,0.5,0.6
v760,0.8,0.3,0.5,0.3
v761,0.8,0.4,0.7,0.3
v762,0.7,0.4,0.7,0.2
v763,0.3,0.9,0.0,0.9
v764,0.5,0.5,0.5,0.5
v765,1.0,0.7,0.6,0.6
v766,1.0,0.1,0.9,0.5
v767,0.6,0.8,0.1,0.8
v768,0.6,0.2,0.5,0.1
v769,0.4,0.0,0.8,0.0
v770,0.6,0.0,0.6,0.5
v771,0.9,0.8,0.0,0.9
v772,0.4,0.5,0.2,0.6
v773,0.7,0.5,0.5,0.2
v774,0.8,0.4,0.6,0.5
v775,0.2,0.9,0.2,0.8
v776,0.9,0.3,0.6,0.1
v777,0.5,0.5,0.5,0.2
v778,0.5,0.5,0.0,0.5
v779,1.0,0.4,0.7,0.2
v780,0.4,0.8,0.5,0.6
v781,0.9,0.6,0.7,0.4
v782,0.4,0.6,0.0,0.8
v783,0.3,0.3,0.3,0.3
v784,0.0,1.0,0.0,1.0
v785,0.7,0.0,0.8,0.7
v786,0.9,0.0,0.8,0.0
v787,0.5,0.4,,0.7
v788,0.5,0.7,0.6,0.6
v789,0.7,0.3,0.7,0.0
v790,0.5,0.5,0.0,0.3
v791,0.5,0.0,1.0,0.0
v792,0.4,0.8,0.2,0.6
v793,0.8,0.0,0.8,0.0
v794,0.4,0.9,0.1,0.5
v795,0.1,0.8,0.0,0.7
v796,0.6,0.3,0.3,0.3
v797,0.4,0.6,0.3,0.7
v798,0.7,0.6,0.6,0.3
v799,0.3,0.7,0.1,0.5
v800,0.6,0.8,0.6,1.0
v801,0.9,0.5,0.9,0.2
v802,0.6,0.0,1.0,0.4
v803,0.8,0.0,0.0,0.0
v804,0.5,0.4,0.6,0.2
v805,0.6,0.8,0.3,
v806,0.5,0.8,0.4,0.6
v807,0.7,0.4,0.8,0.5
v808,0.2,0.5,0.0,0.7
v809,0.6,0.5,0.2,0.2
v810,0.8,0.3,0.8,0.4
v811,0.4,0.5,0.4,0.5
v812,0.7,0.0,0.7,0.0
v813,0.5,0.1,0.3,0.1
v814,0.5,0.0,1.0,0.0
v815,0.5,0.8,0.5,0.5
v816,0.6,0.5,0.6,0.7
v817,0.3,0.7,0.0,0.5
v818,0.5,0.5,0.6,0.5
v819,0.7,0.6,1.0,0.5
v820,0.4,0.7,0.0,0.8
v821,0.2,0.7,0.0,0.7
v822,0.9,0.9,0.5,0.5
v823,0.3,1.0,0.2,0.8
v824,0.6,0.5,0.3,0.6
v825,0.5,0.5,0.5,0.5
v826,0.3,0.7,0.0,0.7
v827,0.5,1.0,0.0,1.0
v828,0.8,0.3,0.8,0.3
v829,0.3,0.5,0.0,0.9
v830,0.7,0.0,1.0,0.0
v831,0.8,0.3,0.7,0.3
v832,0.7,0.3,0.8,0.0
v833,0.8,0.2,0.9,0.3
v834,0.4,0.0,1.0,0.3
v835,0.2,0.7,0.5,0.7
v836,1.0,0.7,0.8,0.8
v837,0.7,0.3,0.6,0.3
v838,0.5,0.5,0.7,0.3
v839,0.9,0.2,0.7,0.0
v840,1.0,0.0,1.0,0.0
v841,0.8,0.2,0.7,0.2
v842,0.5,0.0,0.8,0.0
v843,0.6,0.4,0.5,0.5
v844,0.9,0.3,0.7,0.2
v845,0.7,0.3,0.8,0.2
v846,0.5,0.9,0.0,0.9
v847,0.5,0.5,0.5,0.1
v848,0.3,0.7,0.0,0.7
v849,0.8,0.8,0.5,0.5
v850,0.6,0.4,0.5,0.2
v851,0.1,1.0,0.1,1.0
v852,0.8,0.5,0.5,0.6
v853,0.6,0.2,0.7,0.1
v854,0.7,0.8,0.8,0.5
v855,0.8,0.3,0.7,0.1
v856,0.3,0.4,0.0,0.3
v857,0.5,0.6,0.5,
v858,0.5,0.7,0.5,0.9
v859,0.5,0.0,0.5,0.5
v860,0.5,0.7,0.5,0.7
v861,0.5,0.4,0.0,0.2
v862,0.6,0.7,0.1,0.5
v863,0.5,0.5,0.5,0.5
v864,0.7,0.4,0.9,0.2
v865,1.0,0.0,1.0,0.0
v866,0.5,0.0,0.5,0.1
v867,1.0,0.0,0.8,0.0
v868,0.4,0.8,0.4,0.7
v869,0.0,1.0,0.0,0.9
v870,0.8,0.6,0.7,0.5
v871,0.2,0.9,0.1,0.7
v872,0.2,0.8,0.0,0.7
v873,0.5,0.9,0.1,0.9
v874,0.1,0.0,0.1,0.1
v875,0.6,0.0,0.7,0.0
v876,0.6,0.7,0.8,0.2
v877,0.6,0.2,0.7,0.1
v878,1.0,0.8,0.2,0.0
v879,0.8,0.1,0.9,0.0
v880,0.6,0.3,0.6,0.5
v881,0.9,0.5,1.0,0.5
v882,0.1,0.3,0.0,0.8
v883,0.2,0.0,0.2,0.0
v884,0.8,0.0,1.0,0.2
v885,0.2,0.8,0.0,0.4
v886,0.3,0.6,0.0,0.5
v887,0.7,0.0,0.3,0.0
v888,0.6,0.4,0.7,0.2
v889,0.1,0.8,0.0,0.8
v890,0.3,0.7,0.6,0.7
v891,0.5,1.0,0.0,0.8
v892,0.4,0.8,0.5,0.6
v893,0.6,0.2,0.6,0.2
v894,0.6,0.3,0.5,0.4
v895,0.6,0.4,0.3,0.0
v896,0.7,0.3,0.7,0.4
v897,0.5,0.5,0.5,0.5
v898,0.3,0.3,0.3,0.3
v899,0.5,0.3,0.4,0.2
v900,0.3,0.6,0.6,0.4
v901,0.5,0.5,0.5,0.5
v902,0.3,1.0,0.0,1.0
v903,0.5,,0.0,0.7
v904,0.5,0.2,0.8,0.0
v905,0.7,1.0,0.2,0.9
v906,0.9,0.0,1.0,0.0
v907,0.5,0.2,0.3,0.1
v908,0.8,0.0,0.8,0.0
v909,0.4,0.7,0.3,0.8
v910,0.3,0.8,0.0,1.0
v911,0.7,0.2,0.6,0.3
v912,0.5,0.5,1.0,0.5
v913,0.4,0.5,0.4,0.5
v914,0.3,1.0,0.0,1.0
v915,0.9,0.0,0.9,0.0
v916,0.9,0.0,1.0,0.0
v917,0.7,0.3,0.7,0.3
v918,1.0,0.1,0.5,0.0
v919,0.0,0.0,0.1,0.0
v920,0.8,0.4,0.7,0.4
v921,0.5,0.8,0.8,0.8
v922,0.5,0.5,0.0,0.5
v923,0.9,0.7,0.9,0.4
v924,0.6,1.0,0.7,0.4
v925,0.9,0.1,0.7,0.1
v926,0.4,0.9,0.0,0.9
v927,0.0,0.9,0.0,0.9
v928,1.0,0.0,1.0,0.0
v929,0.0,0.0,0.0,0.0
v930,0.8,0.7,0.4,0.2
v931,0.7,0.6,0.7,0.6
v932,0.5,0.8,0.0,0.4
v933,0.3,0.4,0.4,0.3
v934,0.7,0.4,0.6,0.2
v935,0.5,0.1,0.5,0.1
v936,0.7,0.5,0.3,0.0
v937,0.6,0.5,0.6,0.3
v938,0.8,0.1,0.5,0.1
v939,0.5,0.6,0.0,0.9
v940,0.8,0.3,0.7,0.1
v941,1.0,0.1,1.0,
v942,0.8,0.0,1.0,0.0
v943,1.0,0.5,0.8,0.7
v944,1.0,0.1,0.8,0.1
v945,0.8,0.2,0.9,0.0
v946,0.6,0.3,0.6,0.3
v947,0.0,1.0,0.0,1.0
v948,0.5,0.5,1.0,0.5
v949,0.4,0.5,0.4,0.3
v950,0.0,0.0,0.0,1.0
v951,0.6,0.7,0.6,0.7
v952,0.9,0.0,1.0,0.0
v953,0.7,0.7,0.5,0.5
v954,0.9,0.0,0.8,0.0
v955,0.6,0.2,0.8,0.1
v956,0.4,0.8,0.4,0.5
v957,0.5,0.5,0.5,0.5
v958,0.2,0.7,0.0,0.9
v959,1.0,0.2,0.5,0.0
v960,0.7,0.1,0.4,0.0
v961,1.0,0.0,0.9,0.0
v962,0.4,0.4,0.4,0.4
v963,0.0,0.7,0.0,0.7
v964,0.4,0.5,0.2,0.3
v965,0.5,0.5,0.6,0.5
v966,0.9,0.5,0.5,0.5
v967,0.5,0.5,0.7,0.5
v968,0.8,0.2,0.5,0.2
v969,1.0,0.4,0.7,0.1
v970,0.7,0.0,0.7,0.4
v971,1.0,0.0,0.9,0.0
v972,0.5,0.9,0.5,0.8
v973,0.5,0.9,0.0,0.9
v974,0.0,0.8,0.0,0.8
v975,0.6,0.0,0.0,0.5
v976,0.6,0.2,0.7,0.3
v977,0.7,0.0,0.7,0.0
v978,0.5,1.0,0.0,1.0
v979,0.7,0.1,0.8,0.0
v980,0.9,0.1,0.9,0.0
v981,0.7,0.0,0.9,
v982,0.9,0.9,0.4,0.0
v983,0.4,0.7,0.1,0.6
v984,0.5,0.5,0.5,0.5
v985,0.6,0.5,0.7,0.3
v986,0.8,0.3,0.0,0.0
v987,0.6,0.4,0.8,0.1
v988,0.9,0.2,0.6,0.3
v989,0.8,0.6,0.5,0.5
v990,0.8,0.0,0.7,0.0
v991,0.0,1.0,0.0,1.0
v992,0.4,0.5,0.0,0.4
v993,0.3,0.4,0.0,0.3
v994,0.8,0.0,0.8,0.0
v995,0.7,0.5,0.5,0.4
v996,0.1,0.7,0.1,0.9
v997,0.4,0.5,0.3,0.5
v998,0.6,0.0,0.7,0.0
v999,1.0,0.5,0.2,0.3
v1000,0.5,0.8,0.1,0.5
v1001,0.8,0.5,0.7,
v1002,0.7,0.6,0.1,0.1
v1003,0.8,0.8,0.9,0.4
v1004,0.3,0.5,0.3,0.3
v1005,0.3,0.7,0.1,1.0
v1006,0.1,0.9,0.0,0.9
v1007,0.1,0.3,0.3,0.2
v1008,1.0,0.8,0.2,0.5
v1009,0.8,0.5,0.0,0.5
v1010,0.9,0.1,1.0,0.0
v1011,0.8,0.9,0.8,0.9
v1012,0.7,0.7,0.7,0.7
v1013,0.6,0.0,0.8,0.0
v1014,1.0,0.0,0.9,0.2
v1015,0.8,0.0,0.8,0.0
v1016,0.5,0.5,0.5,0.4
v1017,1.0,0.1,0.6,0.5
v1018,0.0,1.0,0.0,0.9
v1019,0.6,0.0,0.4,0.0
v1020,0.3,0.7,0.1,0.5
v1021,0.0,0.0,0.0,0.0
v1022,0.5,1.0,0.3,0.7
v1023,0.5,0.7,0.3,0.7
v1024,0.5,0.0,1.0,0.0
v1025,0.7,0.7,0.7,0.7
v1026,0.4,0.7,0.0,1.0
v1027,0.4,0.8,0.0,0.8
v1028,0.5,0.8,0.8,0.5
v1029,0.9,0.2,0.7,0.0
v1030,0.7,0.7,0.4,0.6
v1031,0.6,0.3,0.8,0.4
v1032,0.6,0.4,0.4,0.5
v1033,0.6,0.8,0.7,0.8
v1034,0.2,0.7,0.0,0.7
v1035,0.0,0.0,0.1,0.1
v1036,0.4,0.7,0.0,0.7
v1037,0.8,0.4,0.5,0.3
v1038,0.1,0.1,0.1,0.1
v1039,0.6,0.0,1.0,0.0
v1040,0.0,0.8,0.0,0.5
v1041,0.7,0.4,0.7,0.2
v1042,0.3,0.8,0.0,0.7
v1043,0.4,0.9,0.4,0.6
v1044,0.5,0.5,0.5,0.5
v1045,0.5,0.7,0.1,0.5
v1046,0.8,0.7,0.7,0.6
v1047,0.5,1.0,0.0,1.0
v1048,1.0,0.8,0.9,0.7
v1049,0.8,0.3,1.0,0.2
v1050,0.8,0.4,0.8,0.2
v1051,0.8,0.7,0.7,0.5
v1052,0.8,0.2,0.2,0.0
v1053,0.8,0.6,0.8,0.5
v1054,0.6,0.0,0.7,0.0
v1055,0.0,0.0,0.0,0.0
v1056,0.0,0.9,0.0,0.7
v1057,0.5,0.8,0.6,0.6
v1058,0.0,0.0,0.0,0.0
v1059,0.8,0.3,0.8,0.2
v1060,0.6,0.2,0.5,0.2
v1061,0.8,0.6,0.6,0.3
v1062,0.0,0.9,0.0,0.9
v1063,0.7,0.6,0.7,0.5
v1064,0.5,0.8,0.3,0.8
v1065,0.6,0.3,0.5,0.4
v1066,0.5,0.5,0.5,0.6
v1067,0.0,0.0,0.0,0.0
v1068,0.8,0.1,0.8,0.0
v1069,0.3,0.9,0.3,0.7
v1070,0.8,0.7,0.6,0.5
v1071,0.0,0.0,0.3,0.0
v1072,0.7,0.2,0.8,0.3
v1073,0.9,0.6,0.8,0.6
v1074,0.5,0.5,0.5,0.5
v1075,0.8,0.5,0.0,0.0
v1076,0.5,0.3,0.8,0.2
v1077,0.3,1.0,0.5,0.7
v1078,0.7,0.2,0.9,0.2
v1079,0.8,0.0,0.8,0.0
v1080,1.0,0.6,0.9,0.6
v1081,0.8,0.4,0.9,0.5
v1082,0.6,0.3,0.1,0.2
v1083,0.9,0.2,0.7,0.0
v1084,0.7,0.2,0.5,0.2
v1085,1.0,0.0,1.0,0.0
v1086,0.8,0.8,0.8,0.8
v1087,0.8,0.7,0.2,0.4
v1088,0.5,0.5,0.3,0.2
v1089,0.4,0.6,0.1,0.5
v1090,0.7,0.3,0.5,0.3
v1091,0.8,0.0,0.7,0.0
v1092,0.0,0.0,0.3,0.4
v1093,0.5,0.5,1.0,0.7
v1094,0.5,0.5,0.5,0.5
v1095,1.0,0.7,0.5,0.0
v1096,0.4,0.0,0.6,0.4
v1097,0.7,0.4,0.8,0.2
v1098,0.8,0.0,0.5,0.0
v1099,0.9,0.3,0.9,0.2
v1100,0.2,0.7,0.1,0.6
v1101,0.0,0.1,0.0,0.1
v1102,0.5,0.5,0.5,0.5
v1103,0.5,0.8,0.5,0.9
v1104,0.7,0.1,0.5,0.0
v1105,0.8,0.0,0.6,0.0
v1106,0.7,0.0,0.9,0.0
v1107,0.7,0.2,0.8,0.3
v1108,0.0,0.0,0.0,0.0
v1109,0.4,0.9,0.2,0.8
v1110,0.5,0.7,0.0,0.6
v1111,0.7,0.7,0.7,0.4
v1112,0.9,0.1,0.8,0.1
v1113,0.2,1.0,0.0,0.9
v1114,1.0,0.0,0.5,0.3
v1115,0.7,0.7,0.7,0.1
v1116,1.0,0.0,0.9,0.0
v1117,0.3,0.7,0.3,0.3
v1118,0.5,0.5,0.5,0.5
v1119,0.2,0.9,0.3,0.5
v1120,0.8,0.2,0.6,0.4
v1121,0.6,0.5,0.5,0.6
v1122,0.5,0.5,0.5,0.8
v1123,1.0,0.0,0.8,0.0
v1124,0.5,0.2,1.0,0.2
v1125,0.2,0.7,0.0,1.0
v1126,0.9,0.1,0.5,0.2
v1127,0.7,0.9,0.2,0.9
v1128,0.7,0.0,0.8,0.0
v1129,0.6,0.2,0.0,0.4
v1130,0.7,0.0,1.0,0.3
v1131,0.7,0.0,0.9,0.0
v1132,0.3,0.4,0.1,0.2
v1133,0.6,0.2,0.7,0.3
v1134,0.5,0.7,0.7,0.2
v1135,0.5,0.5,0.4,0.5
v1136,0.0,1.0,0.0,1.0
v1137,0.3,1.0,0.0,0.8
v1138,0.7,0.8,0.5,0.8
v1139,0.4,0.9,0.2,0.9
v1140,0.9,0.6,0.7,0.5
v1141,0.2,1.0,0.0,1.0
v1142,0.5,0.5,0.3,0.5
v1143,0.5,0.8,0.0,0.6
v1144,0.7,0.6,0.6,0.5
v1145,0.6,0.0,1.0,0.0
v1146,0.4,0.7,0.4,0.5
v1147,0.4,0.5,0.4,0.4
v1148,0.4,0.7,0.1,0.7
v1149,0.1,0.8,0.5,0.6
v1150,0.7,0.5,0.6,0.3
v1151,1.0,0.8,0.1,0.7
v1152,0.8,0.2,0.6,0.1
v1153,0.8,0.4,0.7,0.4
v1154,0.5,0.1,1.0,0.0
v1155,0.8,0.5,0.7,0.1
v1156,0.2,1.0,0.0,0.5
v1157,0.5,0.4,0.4,0.4
v1158,1.0,0.0,0.8,0.0
v1159,0.4,0.7,0.5,0.5
v1160,0.5,0.0,1.0,0.0
v1161,0.7,0.0,1.0,0.0
v1162,0.8,0.0,0.8,0.5
v1163,0.0,0.0,0.0,0.0
v1164,0.2,0.3,0.0,0.3
v1165,0.1,0.7,0.0,0.5
v1166,0.6,0.8,0.0,0.7
v1167,0.8,0.0,0.6,0.0
v1168,0.7,0.3,0.5,0.0
v1169,1.0,0.4,0.2,0.7
v1170,0.7,0.6,0.7,0.3
v1171,0.5,0.5,0.5,0.5
v1172,0.6,0.0,0.7,0.1
v1173,0.8,0.0,0.6,0.0
v1174,0.5,0.5,0.5,0.5
v1175,0.8,0.3,0.5,0.3
v1176,0.5,0.0,0.5,0.0
v1177,0.6,0.9,0.0,0.8
v1178,0.4,0.6,0.0,0.4
v1179,0.0,1.0,0.1,0.5
v1180,1.0,0.1,0.8,0.0
v1181,0.4,0.9,0.0,1.0
v1182,0.0,0.0,0.0,0.3
v1183,0.4,0.4,0.1,0.3
v1184,0.9,0.4,0.8,0.2
v1185,1.0,0.4,0.0,0.0
v1186,0.7,0.0,1.0,0.0
v1187,0.0,1.0,0.0,1.0
v1188,0.6,0.8,0.5,0.7
v1189,1.0,0.5,0.9,0.5
v1190,0.0,1.0,0.0,0.8
v1191,0.7,0.7,0.8,0.3
v1192,0.6,0.5,0.6,0.5
v1193,0.8,0.0,0.8,0.0
v1194,0.6,0.3,0.5,0.3
v1195,0.3,0.5,0.3,0.5
v1196,0.4,0.3,0.9,0.3
v1197,1.0,0.0,0.5,0.0
v1198,0.5,0.7,0.2,0.5
v1199,0.8,0.0,1.0,0.0
v1200,0.8,0.4,0.0,0.7
v1201,0.3,0.8,0.0,0.9
v1202,0.7,0.1,0.7,0.0
v1203,0.6,0.5,0.4,0.2
v1204,0.5,0.5,0.4,0.5
v1205,0.8,0.3,0.8,0.1
v1206,1.0,0.0,0.8,0.0
v1207,0.5,0.5,0.1,0.3
v1208,0.6,0.5,0.7,0.3
v1209,0.6,0.8,0.0,1.0
v1210,0.0,0.0,0.0,0.0
v1211,0.6,0.4,0.7,0.3
v1212,0.0,0.9,0.0,0.6
v1213,1.0,0.5,0.6,0.5
v1214,0.7,0.4,0.4,0.6
v1215,0.1,0.7,0.1,0.7
v1216,0.3,1.0,0.0,1.0
v1217,0.1,0.8,0.0,0.8
v1218,0.0,0.0,0.3,0.0
v1219,0.7,0.5,0.8,0.6
v1220,0.8,0.7,0.9,0.2
v1221,0.4,0.6,0.5,0.6
v1222,0.7,0.7,0.8,0.8
v1223,0.3,0.6,0.3,0.6
v1224,0.9,0.2,0.7,0.2
v1225,0.5,0.0,0.5,0.4
v1226,0.0,0.0,0.0,0.5
v1227,0.8,0.2,0.8,0.1
v1228,0.1,1.0,0.0,0.5
v1229,0.5,0.5,0.3,0.5
v1230,0.4,0.8,0.5,0.9
v1231,0.8,0.3,0.5,0.2
v1232,0.7,0.3,0.5,0.5
v1233,0.1,0.8,0.0,1.0
v1234,0.1,0.9,0.0,0.8
v1235,0.7,0.0,0.0,0.4
v1236,0.3,0.8,0.0,0.7
v1237,0.5,1.0,0.5,0.5
v1238,0.5,0.5,0.5,0.2
v1239,0.7,0.7,0.6,0.2
v1240,0.5,0.9,0.0,0.9
v1241,0.2,0.8,0.0,0.8
v1242,0.9,0.9,0.5,0.8
v1243,0.3,1.0,0.1,0.9
v1244,0.7,0.8,0.5,0.7
v1245,0.1,0.1,0.8,0.6
v1246,0.1,0.6,0.1,0.6
v1247,1.0,0.3,0.8,0.5
v1248,0.5,0.5,0.5,0.1
v1249,0.5,0.5,0.2,0.5
v1250,0.0,0.9,0.0,0.5
v1251,0.4,0.1,0.6,0.0
v1252,0.8,0.3,0.8,0.1
v1253,0.9,0.2,0.9,0.2
v1254,0.7,0.4,0.8,0.2
v1255,0.6,0.8,0.6,0.5
v1256,0.8,0.3,0.8,0.2
v1257,1.0,0.0,0.8,0.0
v1258,0.7,0.8,0.3,0.8
v1259,0.7,0.3,1.0,0.4
v1260,1.0,0.0,0.9,0.0
v1261,0.6,0.3,0.6,0.2
v1262,1.0,0.1,0.5,0.3
v1263,0.4,0.0,1.0,0.0
v1264,0.1,0.8,0.0,0.9
v1265,0.5,0.2,0.6,0.1
v1266,0.2,0.8,0.0,0.8
v1267,0.7,0.0,0.8,0.0
v1268,0.0,1.0,0.0,1.0
v1269,0.5,1.0,0.0,1.0
v1270,0.8,0.7,0.0,0.7
v1271,0.7,0.7,0.7,0.5
v1272,0.7,0.1,1.0,0.1
v1273,1.0,0.0,0.8,0.0
v1274,0.6,0.0,0.6,0.0
v1275,1.0,1.0,0.0,1.0
v1276,0.8,0.4,0.6,0.4
v1277,0.2,1.0,0.0,0.6
v1278,0.5,0.0,0.5,0.5
v1279,0.5,0.2,0.5,0.2
v1280,0.8,0.6,0.8,0.6
v1281,0.0,0.9,0.0,0.8
v1282,0.5,0.0,0.3,0.0
v1283,0.8,0.0,0.9,0.0
v1284,0.0,1.0,0.0,0.8
v1285,0.8,0.0,0.6,0.0
v1286,0.5,0.9,0.0,0.9
v1287,1.0,0.0,0.7,0.0
v1288,0.5,0.6,0.6,0.2
v1289,0.7,0.8,0.7,0.7
v1290,0.5,0.5,0.5,0.5
v1291,0.0,0.4,0.0,0.6
v1292,0.8,0.2,0.6,0.2
v1293,0.9,0.6,1.0,0.4
v1294,0.2,0.7,0.0,0.5
v1295,0.5,0.8,0.3,0.8
v1296,0.8,0.5,0.9,0.3
v1297,0.8,0.2,0.1,0.0
v1298,1.0,0.7,0.6,0.5
v1299,0.5,0.2,1.0,0.0
v1300,0.2,0.7,0.2,0.7
v1301,0.3,0.7,0.0,0.9
v1302,0.9,0.3,0.8,0.2
v1303,0.7,0.3,0.7,0.3
v1304,0.1,1.0,0.0,0.9
v1305,1.0,0.0,0.5,0.0
v1306,1.0,0.0,0.2,0.0
v1307,0.6,0.0,1.0,0.0
v1308,0.9,0.0,0.9,0.0
v1309,0.8,0.0,1.0,0.1
v1310,0.8,0.4,0.2,0.5
v1311,0.6,0.7,0.6,0.6
v1312,0.5,0.1,0.1,0.0
v1313,0.5,0.6,0.4,0.0
v1314,0.6,0.7,0.3,0.7
v1315,0.7,0.2,0.9,0.0
v1316,0.8,0.0,0.5,0.0
v1317,1.0,0.1,0.8,0.1
v1318,0.8,0.6,0.2,0.6
v1319,0.5,0.7,0.6,0.7
v1320,0.0,0.7,0.0,0.5
v1321,0.3,0.8,0.0,0.8
v1322,0.9,0.0,1.0,0.5
v1323,0.1,0.9,0.0,0.7
v1324,0.0,1.0,0.0,1.0
v1325,0.5,0.5,0.1,0.2
v1326,0.5,0.9,0.0,1.0
v1327,0.0,0.8,0.0,0.8
v1328,0.6,0.7,0.0,0.7
v1329,0.7,0.0,1.0,0.0
v1330,0.5,1.0,0.2,0.9
v1331,1.0,0.0,0.8,0.5
v1332,1.0,0.0,0.6,0.0
v1333,0.7,0.7,0.0,0.3
v1334,0.1,0.8,0.2,0.4
v1335,0.6,0.0,0.5,0.0
v1336,0.5,0.0,0.7,0.0
v1337,0.5,0.2,0.6,0.1
v1338,0.6,0.6,0.2,0.3
v1339,0.4,1.0,0.0,1.0
v1340,0.7,0.4,0.9,0.1
v1341,0.7,0.0,1.0,0.1
v1342,0.4,0.9,0.0,0.9
v1343,0.8,0.2,0.7,0.2
v1344,0.6,0.8,0.6,0.8
v1345,0.6,0.8,0.6,0.6
v1346,0.5,0.8,0.2,0.7
v1347,0.5,0.5,0.5,0.2
v1348,0.0,0.0,0.9,0.0
v1349,0.6,0.2,0.1,0.1
v1350,0.7,0.0,0.9,0.0
v1351,0.0,1.0,0.0,1.0
v1352,0.6,0.2,0.9,0.1
v1353,0.8,0.8,0.4,0.6
v1354,0.5,0.8,0.2,0.9
v1355,0.7,0.7,0.4,0.5
v1356,0.5,0.5,0.3,0.3
v1357,1.0,0.0,1.0,0.0
v1358,0.5,0.9,0.2,0.9
v1359,0.4,0.8,0.0,0.5
v1360,0.9,0.0,0.9,0.0
v1361,0.3,0.3,0.0,0.3
v1362,0.4,0.6,0.0,0.6
v1363,0.1,0.5,0.0,1.0
v1364,0.2,0.9,0.1,0.6
v1365,0.6,0.5,0.5,0.5
v1366,0.8,0.4,0.7,0.2
v1367,0.3,0.3,0.5,0.3
v1368,0.1,0.9,0.5,0.9
v1369,0.4,0.7,0.2,0.4
v1370,0.7,0.3,0.7,0.1
v1371,1.0,0.0,0.0,0.0
v1372,0.6,0.1,0.6,0.0
v1373,0.1,1.0,0.0,1.0
v1374,0.5,0.6,0.3,0.5
v1375,0.9,0.1,0.9,0.1
v1376,0.7,0.0,0.0,0.0
v1377,0.6,0.8,0.5,0.5
v1378,0.3,0.5,0.2,0.3
v1379,0.5,0.8,0.2,0.6
v1380,0.3,0.7,0.0,0.0
v1381,0.7,0.8,0.1,0.2
v1382,0.4,0.8,0.0,0.8
v1383,1.0,0.0,0.7,0.0
v1384,0.1,0.6,0.0,0.7
v1385,0.7,0.4,0.8,0.3
v1386,0.6,0.7,0.2,0.1
v1387,0.7,0.5,0.8,0.5
v1388,1.0,0.5,0.2,0.5
v1389,0.2,0.7,0.5,0.5
v1390,0.6,0.5,0.5,0.4
v1391,0.0,0.5,0.0,0.0
v1392,0.4,0.8,0.1,0.8
v1393,1.0,0.4,0.9,0.0
v1394,0.7,0.3,0.1,0.0
v1395,0.7,0.0,0.6,0.0
v1396,0.5,0.0,0.7,0.0
v1397,0.0,0.8,0.1,0.5
v1398,0.8,0.1,0.7,0.1
v1399,0.8,0.5,0.5,0.5
v1400,0.4,0.9,0.5,0.8
v1401,0.1,0.8,0.0,0.7
v1402,0.9,0.1,1.0,0.1
v1403,0.0,1.0,0.3,1.0
v1404,0.0,0.0,0.3,0.0
v1405,1.0,0.0,0.9,0.3
v1406,0.2,0.1,1.0,0.1
v1407,0.0,1.0,0.5,0.7
v1408,0.4,0.7,0.7,0.4
v1409,0.8,0.2,0.6,0.2
v1410,1.0,0.0,0.9,0.0
v1411,0.5,0.6,1.0,0.7
v1412,0.7,0.0,0.9,0.0
v1413,0.9,0.3,0.7,0.5
v1414,0.6,0.4,0.4,0.2
v1415,0.8,0.4,0.8,0.4
v1416,0.8,0.3,0.5,0.3
v1417,0.4,0.2,0.6,0.2
v1418,0.5,0.8,0.4,0.8
v1419,0.9,0.4,0.6,0.4
v1420,0.5,0.4,0.6,0.4
v1421,0.4,0.8,0.0,0.8
v1422,0.5,0.3,0.8,0.1
v1423,0.9,0.2,0.9,0.1
v1424,,0.0,0.9,0.0
v1425,0.6,0.0,0.9,0.4
v1426,1.0,0.0,0.7,0.0
v1427,0.5,0.5,0.0,0.0
v1428,0.6,0.0,0.6,0.1
v1429,0.8,0.0,1.0,0.0
v1430,0.2,0.0,0.2,0.2
v1431,0.7,0.1,0.7,0.0
v1432,0.1,0.9,0.0,0.9
v1433,0.7,0.8,0.7,0.7
v1434,0.9,0.8,0.7,0.5
v1435,0.5,0.5,0.5,0.5
v1436,0.6,0.3,1.0,0.0
v1437,0.0,1.0,0.0,1.0
v1438,0.6,0.2,0.5,0.4
v1439,0.5,0.0,0.5,0.2
v1440,0.5,0.5,0.0,0.3
v1441,0.3,0.5,0.4,0.3
v1442,0.7,0.4,0.7,0.1
v1443,0.6,0.3,0.8,0.3
v1444,0.5,0.5,0.7,0.5
v1445,0.8,0.4,1.0,
v1446,0.5,0.6,0.2,0.5
v1447,0.7,0.2,0.9,0.2
v1448,0.3,0.9,0.0,0.9
v1449,0.5,0.5,1.0,0.2
v1450,1.0,0.0,0.7,0.0
v1451,0.8,0.0,0.6,0.0
v1452,0.1,1.0,0.5,0.9
